step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
25000	-263.864039125446993	-262.352307623359820	-1.511731502087171	0.000483257618007	0.000138566052123	0.286733301162868	0.393857181621689	0	3	4	4	5	6	8	11	10	11	14	14	14	18	16	16	20	23	21	25	25	29	0	1	1	1	1	3	2	6	5	4	10	4	8	16	11	5	16	14	3	4	12	16	1	2	2	2	3	2	2	3	3	2	1	5	2	1	1	8	2	2	6	9	5	6
25500	-238.864026198527824	-237.323138811855813	-1.540887386672007	0.000384474502506	0.000103467987919	0.269115343787000	0.312652007096945	-3	3	3	4	5	4	7	10	11	11	12	13	13	18	18	15	20	22	21	25	26	27	0	1	1	1	1	1	4	7	5	6	9	11	9	12	11	9	11	11	13	2	13	9	1	3	4	2	4	5	2	2	3	4	1	1	2	3	2	2	4	6	4	12	8	8
26000	-238.527923280044376	-236.995834136670339	-1.532089143374042	0.000521066784806	0.000142853466931	0.274155772535776	0.506647433908987	-1	3	3	3	5	5	8	8	11	12	14	13	14	16	16	16	20	22	22	26	23	28	0	1	1	1	2	2	1	5	7	9	12	10	7	9	11	13	9	10	14	18	18	17	1	2	3	2	1	1	2	2	2	1	1	1	3	3	1	1	4	5	3	3	1	3
26500	-227.263598397119523	-225.524090076138947	-1.739508320980565	0.000558577581594	0.000107239914456	0.191987501807999	0.376677694641387	-2	2	4	3	5	5	7	10	9	11	14	14	15	17	15	17	20	21	23	24	26	27	0	1	1	1	4	1	5	5	3	9	10	9	3	13	9	12	14	13	15	16	18	8	1	2	3	1	1	4	1	3	2	1	2	2	6	1	3	2	1	3	4	4	2	9
27000	-210.346962588593158	-208.855735713150949	-1.491226875442196	0.000477098587853	0.000143578027957	0.300939955833378	0.377561837978996	0	4	4	5	5	5	8	9	11	9	12	14	15	16	17	15	21	23	22	24	27	29	0	1	1	1	1	1	1	2	7	7	10	9	7	11	11	5	11	9	7	13	13	16	1	2	2	3	3	2	4	2	2	1	1	2	3	3	2	4	4	5	5	4	5	7
27500	-226.092883405959782	-224.502046476375369	-1.590836929584404	0.000577287221524	0.000140898496690	0.244070007851458	0.444385342878087	0	2	4	5	5	4	7	11	11	11	14	13	15	18	17	16	19	22	23	25	26	28	0	1	2	2	2	2	2	2	7	7	9	5	8	16	11	7	14	11	13	18	9	20	1	1	1	2	2	1	2	5	2	2	1	4	2	1	2	4	1	4	5	1	7	2
28000	-214.747172103248175	-213.292219191940035	-1.454952911308129	0.000211036499220	0.000069909097780	0.331265435306742	0.702388188543973	-1	3	4	5	5	6	8	10	10	12	13	14	14	18	16	16	19	21	22	26	24	28	0	1	1	2	2	2	6	7	3	9	9	10	9	12	11	13	12	14	14	21	19	20	1	3	2	1	1	1	1	1	4	1	2	1	3	2	2	1	2	1	1	1	1	2
28500	-219.782516103070549	-218.235290794101132	-1.547225308969429	0.000416157781631	0.000110538233585	0.265616164021685	0.472737242537633	-1	2	5	4	5	5	9	11	11	11	12	15	11	17	18	16	20	23	20	25	25	28	0	1	1	2	2	2	1	5	7	7	9	10	7	9	11	13	11	14	8	16	17	19	1	2	3	1	2	2	4	3	1	1	1	2	1	3	3	3	4	3	3	5	3	3
29000	-224.719183280745455	-223.136502477483361	-1.582680803262082	0.000218900797827	0.000054243649705	0.247800146200191	0.475602683769352	-2	3	2	3	5	5	9	10	10	11	13	14	14	15	18	15	20	23	23	25	25	27	0	1	1	3	3	2	3	4	2	9	10	10	9	10	10	13	14	15	13	19	8	20	1	2	2	1	2	1	3	4	4	1	1	1	3	2	3	1	3	1	4	1	6	1
29500	-240.858504338924718	-239.156547194627933	-1.701957144296788	0.000438715551956	0.000089020870344	0.202912502067970	0.642914449077236	-1	3	2	4	5	6	8	10	9	11	12	15	12	17	18	16	20	22	22	25	27	28	0	3	1	3	2	2	4	7	6	9	10	11	6	10	11	13	14	11	16	16	18	18	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	1	7	2	4	2	2
