step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15
34500	-68.816218275174094	-77.867061655625434	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.951376647102632	-2	4	5	8	12	10	18	19	27	34	45	61	63	53	70	0	1	1	1	4	1	4	5	8	8	10	14	14	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35000	-71.950338751472344	-81.001182131923684	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989434235675278	-1	2	9	10	17	12	19	18	24	38	45	60	58	54	60	0	1	2	2	2	2	6	6	5	9	10	13	14	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35500	-74.374006365416065	-83.424849745867405	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985967462374595	-2	5	3	11	23	1	11	26	31	41	46	59	62	57	61	0	3	1	2	4	1	3	5	5	9	10	11	14	11	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36000	-77.242620536915965	-86.293463917367305	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.926253146376192	-5	5	9	8	20	15	17	27	28	40	45	62	57	52	71	0	1	2	2	3	2	2	3	5	9	9	14	11	10	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36500	-67.646387862664128	-76.697231243115468	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999471884482110	-3	3	3	9	17	10	19	20	27	38	45	59	63	50	68	0	1	1	3	6	2	4	6	8	8	10	14	14	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37000	-70.120638796025759	-79.171482176477099	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.950819044542065	-3	4	1	2	17	11	20	13	30	40	47	61	61	55	72	0	1	1	1	3	2	8	3	7	9	10	14	14	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37500	-75.173736937433830	-84.224580317885170	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987039154099240	-3	5	7	10	19	12	17	13	27	38	46	48	61	42	69	0	1	1	2	3	2	6	4	7	9	14	11	11	10	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38000	-77.633449906332530	-86.684293286783870	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990160711723457	0	5	9	5	17	9	17	22	23	34	48	57	51	58	61	0	1	1	1	4	2	6	1	5	5	10	11	11	11	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38500	-72.604806020533658	-81.655649400984998	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.829106541893645	-4	4	10	9	17	10	12	22	26	37	48	59	64	54	71	0	1	2	2	3	1	1	6	7	9	10	11	12	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39000	-70.019817436872742	-79.070660817324082	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.879631133923411	-9	-2	6	10	22	14	19	23	27	33	47	60	52	55	68	0	1	2	3	4	3	6	7	5	9	10	14	11	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
39500	-71.759534445898638	-80.810377826349978	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.909092370750945	0	4	8	10	14	11	20	23	29	36	47	62	60	52	72	0	1	2	2	1	1	6	6	7	8	10	11	14	11	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40000	-76.964248861219687	-86.015092241671027	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.971410690863751	-6	6	5	1	15	5	19	23	21	29	45	63	56	56	64	0	4	1	1	6	4	4	5	5	8	10	14	11	11	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40500	-77.309879624267950	-86.360723004719290	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979152483885985	-6	-2	2	8	21	12	10	27	22	37	49	59	63	52	71	0	1	2	1	6	1	3	5	5	8	10	11	12	11	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
