step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
22000	-185.119985267376904	-183.717856567972802	-1.402128699404095	0.000240884846614	0.000095830502408	0.397827027125836	0.453734588566041	2	5	7	7	8	10	9	9	14	10	13	11	11	12	13	15	17	20	21	19	20	21	22	20	0	0	2	1	3	4	4	2	5	3	13	8	4	8	2	8	8	12	20	17	10	20	9	16	1	1	1	3	1	1	1	1	3	1	1	1	2	2	3	2	2	5	1	1	5	2	4	3
22500	-193.557196934311520	-192.195464913625585	-1.361732020685942	0.000253516687499	0.000136988711059	0.540353822110813	0.607000955966116	2	5	7	8	9	10	9	9	14	10	13	10	12	11	13	15	17	20	19	19	17	20	22	23	0	0	2	1	2	4	4	2	10	5	13	8	4	5	14	15	5	12	15	14	14	14	20	22	1	1	1	3	2	1	1	3	2	1	1	1	3	1	1	1	4	5	2	3	2	4	1	1
23000	-177.195164210030953	-175.787545403170441	-1.407618806860522	0.000157831058152	0.000061353547799	0.388729243266403	0.417368806847256	1	4	5	8	7	11	9	9	13	12	13	12	11	11	13	15	17	19	20	18	18	20	22	23	0	0	2	1	3	4	4	2	14	8	13	14	4	2	8	9	15	12	20	17	10	17	8	18	1	1	1	2	1	3	1	3	1	2	1	1	2	3	2	1	2	4	1	1	2	2	7	3
23500	-189.441200461744614	-188.068629149507331	-1.372571312237296	0.000199591335616	0.000093900756362	0.470465093446046	0.406354930420483	1	4	6	7	8	11	9	9	12	12	14	11	9	13	13	14	14	19	20	18	21	20	20	23	0	0	2	1	2	7	4	3	3	5	13	5	4	8	12	14	3	12	10	9	8	5	17	22	1	1	1	3	2	1	1	2	3	2	3	2	1	2	1	1	3	4	5	3	7	7	3	1
24000	-186.055649045876947	-184.560570002937084	-1.495079042939866	0.000282438771088	0.000084205210734	0.298136160306966	0.498634467080345	2	4	7	7	8	10	8	10	13	12	13	9	11	13	14	14	17	19	21	19	17	19	21	22	0	0	2	1	2	7	4	12	2	8	13	2	4	8	14	10	3	12	15	9	10	12	15	17	1	1	2	2	2	1	1	1	4	1	1	2	2	1	1	1	5	5	4	2	2	5	4	2
24500	-175.811627302460721	-174.435438696610277	-1.376188605850436	0.000280814680131	0.000128525938248	0.457689527443688	0.442762793848958	2	4	6	7	8	10	9	9	13	10	13	11	13	13	14	13	18	18	19	19	19	21	20	20	0	0	2	1	3	7	4	5	12	5	4	3	4	12	12	10	9	15	18	14	10	14	17	20	1	1	1	2	1	1	1	1	1	1	2	2	3	1	2	2	2	2	1	4	5	5	1	1
25000	-179.412783539260488	-177.945090826018429	-1.467692713242054	0.000159291121739	0.000050925232437	0.319699126237693	0.458450139628146	1	5	7	8	9	10	9	9	14	11	13	12	12	11	14	13	17	19	21	19	20	21	22	23	0	0	2	1	3	4	4	3	3	8	4	14	4	2	14	8	15	15	17	14	16	20	18	23	1	1	1	2	1	2	1	1	2	1	4	1	2	3	2	2	2	2	2	3	2	1	1	1
25500	-195.972009233520623	-194.600701329324806	-1.371307904195823	0.000129513640365	0.000061580957582	0.475478547346175	0.410027372970203	2	4	6	7	8	9	8	10	14	12	10	12	11	12	14	14	18	16	19	19	20	22	20	21	0	0	2	1	3	7	4	2	10	3	4	2	11	2	12	5	18	14	15	17	10	17	12	18	1	1	2	3	1	1	1	3	1	2	3	4	1	5	1	2	1	2	2	1	3	3	3	2
26000	-172.607193003031938	-171.217072385410717	-1.390120617621224	0.000194394033150	0.000081847147625	0.421037345121831	0.538631702294810	1	5	6	8	9	10	9	8	13	11	14	10	13	12	12	14	17	18	20	19	19	21	21	20	0	0	2	1	3	4	4	3	10	5	13	5	4	12	12	8	14	14	20	17	16	17	17	18	1	1	1	4	2	1	1	1	1	1	1	1	3	1	1	3	2	3	1	1	3	2	4	1
26500	-177.819760648242095	-176.391995071989584	-1.427765576252517	0.000220732134402	0.000079606992878	0.360649767164647	0.487813547290334	-1	5	7	8	9	10	9	9	12	11	13	10	12	13	13	14	15	18	21	19	21	20	22	21	0	0	2	1	3	4	4	3	8	5	4	5	4	5	9	8	14	17	20	17	16	20	18	18	1	1	1	3	1	1	1	1	2	1	2	1	3	2	1	2	1	2	2	2	4	1	2	2
27000	-202.097933552788930	-200.657954681414878	-1.439978871374061	0.000256408390770	0.000088849585389	0.346515904265357	0.401659670084115	2	4	7	7	8	10	9	9	11	12	13	8	12	13	13	13	18	18	19	19	20	21	22	22	0	0	2	1	2	4	4	2	3	3	4	3	7	2	9	5	8	16	9	16	16	18	8	19	1	1	2	3	2	2	2	3	2	4	3	1	2	6	1	2	3	2	4	3	4	2	7	2
27500	-187.457608170715730	-185.933370576296028	-1.524237594419691	0.000322802389461	0.000090012450030	0.278846913680475	0.443675275267561	1	4	6	6	8	9	9	8	13	11	14	12	12	12	13	15	17	19	21	19	20	20	21	22	0	0	2	1	3	4	4	3	8	5	4	10	4	3	10	15	15	17	20	15	14	17	15	18	1	1	1	2	1	2	1	1	3	2	2	1	4	3	1	2	2	1	1	2	5	2	3	2
28000	-185.366375047713291	-183.947119163820844	-1.419255883892453	0.000239414936214	0.000088979940431	0.371655761492866	0.406059380186250	2	4	6	7	9	10	8	8	13	12	12	11	11	12	14	14	18	20	20	20	19	21	21	22	0	0	2	1	3	7	4	3	5	5	13	3	4	5	12	2	12	9	16	16	16	15	14	20	1	1	1	3	1	1	1	1	2	2	1	2	2	2	1	5	5	3	4	3	2	3	4	1
28500	-170.654492173282989	-169.284860510723519	-1.369631662559469	0.000180084486876	0.000121116558580	0.672554092142394	0.495284735129323	2	5	7	6	8	10	8	9	12	12	14	11	11	12	13	14	18	19	20	19	20	22	21	21	0	0	2	1	3	7	4	3	3	8	13	2	4	5	12	3	16	17	14	17	10	20	16	19	1	1	1	2	1	1	1	1	2	1	2	3	3	2	2	4	2	1	4	1	4	1	3	1
