step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
17500	-223.847666543470496	-230.703154494429867	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.398678923985847	2	6	6	4	5	7	9	8	11	11	12	11	13	13	14	15	17	17	19	18	20	23	23	26	25	27	29	33	0	4	1	0	4	0	5	1	7	6	7	7	7	2	13	2	7	14	7	16	16	19	21	25	0	23	24	23	1	1	2	1	1	1	2	3	1	2	2	1	1	5	1	4	3	2	7	2	3	2	2	1	1	2	1	7
18000	-220.213839884155703	-227.069327835115075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.424454822589708	2	6	5	4	5	6	8	9	11	10	12	12	14	15	12	15	16	16	19	18	19	22	24	25	24	28	28	32	0	5	1	0	4	0	5	1	2	6	7	5	2	9	2	7	13	12	18	15	14	18	21	25	0	21	24	21	1	1	2	1	1	1	2	4	2	2	3	3	3	2	2	2	1	1	1	3	2	3	2	1	1	3	1	7
18500	-190.376799168430750	-197.232287119390122	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.438075165101740	3	7	7	5	6	7	9	9	11	10	11	13	14	14	12	15	18	17	18	20	20	22	24	25	23	26	26	33	0	4	1	0	4	0	5	3	7	6	7	7	5	9	2	15	13	13	18	13	13	18	21	25	0	23	24	26	1	1	2	1	1	1	2	1	1	1	1	2	4	3	2	2	2	2	1	3	2	3	3	2	1	1	1	2
19000	-205.535015304364919	-212.390503255324290	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.528233663142100	3	7	6	5	6	8	9	9	11	11	12	11	14	14	12	14	17	17	19	20	18	22	24	26	25	27	28	32	0	4	1	0	4	0	5	3	4	6	7	4	9	15	9	15	11	15	18	12	15	18	21	25	0	21	24	26	1	1	2	1	1	1	2	2	2	1	2	2	2	1	1	1	3	2	1	2	3	4	3	1	1	5	1	3
19500	-211.272430111681729	-218.127918062641101	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.560963451235681	3	7	6	5	6	4	9	9	11	11	11	12	14	15	13	15	17	18	19	19	20	22	24	26	25	27	27	32	0	5	1	0	4	0	5	1	7	6	5	9	9	9	12	15	13	15	18	16	15	18	21	25	0	21	24	26	1	1	2	1	1	1	1	3	1	3	3	1	1	1	1	1	2	3	1	2	3	2	2	1	1	5	1	3
20000	-202.550362254684671	-209.405850205644043	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602290906839517	4	7	6	5	6	7	9	8	11	10	13	12	14	14	12	13	16	17	20	21	21	21	22	26	25	26	29	32	0	5	1	0	4	0	5	1	7	6	12	5	15	12	2	9	15	12	18	12	12	18	21	25	0	21	24	21	1	1	1	1	1	1	1	2	2	2	1	3	1	1	3	1	2	2	2	4	4	1	1	1	1	3	2	4
20500	-207.580999187682579	-214.436487138641951	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.591394765254666	3	7	6	5	6	7	9	9	10	11	13	12	12	15	13	15	17	16	20	20	20	21	23	26	25	27	28	33	0	4	1	0	4	0	5	1	4	6	7	7	7	2	4	9	14	14	18	15	16	18	21	25	0	21	24	26	1	1	1	1	1	1	2	4	2	3	2	2	1	4	2	3	2	1	2	3	2	1	1	1	1	2	1	2
21000	-197.309954667482373	-204.165442618441745	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638418622110216	3	6	6	4	5	7	9	9	11	11	12	11	14	15	13	15	18	17	19	19	19	22	24	26	25	27	28	32	0	4	1	0	4	0	5	3	5	6	5	7	15	15	5	11	11	11	18	15	15	18	21	25	0	21	24	23	1	1	2	1	1	1	2	2	2	2	4	1	1	1	4	2	5	2	1	2	2	3	2	1	1	3	1	4
21500	-197.195330622710202	-204.050818573669574	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.724397645003475	2	6	5	5	6	8	9	9	11	11	13	13	13	15	13	14	15	17	18	19	21	20	23	26	25	26	28	32	0	4	1	0	4	0	5	3	2	6	9	7	5	15	9	15	13	16	18	15	15	18	21	25	0	21	24	26	1	1	2	1	1	1	2	2	2	1	1	1	3	2	1	1	1	2	1	3	3	2	1	1	1	3	1	3
22000	-202.140686225132697	-208.996174176092069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.539377600385516	3	7	6	4	5	8	9	8	11	11	13	13	14	15	12	14	18	15	18	20	21	22	23	26	25	28	28	33	0	5	1	0	4	0	5	3	7	6	15	7	15	12	2	12	11	12	18	15	14	18	21	25	0	21	24	26	1	1	2	1	1	1	2	1	1	1	1	2	1	1	3	1	2	1	1	5	2	3	1	1	1	3	1	2
