"","R","w.mu","w.sigma","w.k","mu1","mu2","r.imp.cases","p.obs.cases","p.seq.data","type","n","prop.ances.ok","msup.ances","msup.kappa","merr.date","prop.imp.ok","mu.ok","mu1.ok","mu2.ok","merr.pi","time"
"970b954c601",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",99,0.612903225806452,0.382368421052632,0.578472222222222,0.776830808080808,0.666666666666667,1,1,1,0.353821711657725,1522
"9b170aacbc",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",117,0.761061946902655,0.472511061946903,0.600641025641026,0.727457264957265,1,1,1,1,0.334329970072429,1401
"9b170aacbc1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",117,0.725663716814159,0.37195796460177,0.578151709401709,0.739369658119658,1,0,0,1,0.360301035007001,951
"9e53a8692d",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",108,0.575471698113208,0.391686320754717,0.551331018518519,0.749479166666667,1,1,1,1,0.364129553250959,1197
"9e53a8692d1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",108,0.594339622641509,0.255837264150943,0.49693287037037,0.767418981481481,1,0,0,0,0.42747719996697,1303
"9e872620a9",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",88,0.64367816091954,0.508548850574713,0.591903409090909,0.77734375,NA,1,1,1,0.327723957895329,562
"9e872620a91",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",88,0.627906976744186,0.427729885057471,0.588068181818182,0.787428977272727,NA,0,0,1,0.335451178177456,1194
"b35635109c",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",123,0.621848739495798,0.389023109243697,0.519105691056911,0.779928861788618,1,1,1,1,0.383164171797456,1555
"b35635109c1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",123,0.605042016806723,0.360084033613445,0.51270325203252,0.787855691056911,1,1,1,0,0.393665268740704,1634
"b6d02a71b4",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",104,0.67,0.4651875,0.523076923076923,0.791225961538462,1,1,1,1,0.383153667210814,1116
"b6d02a71b41",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",104,0.7,0.4418125,0.513521634615385,0.790264423076923,1,1,1,1,0.395652425472009,1693
"bb6d0d12be",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",109,0.60377358490566,0.411438679245283,0.498738532110092,0.680160550458716,1,1,1,1,0.398560209672137,1227
"bb6d0d12be1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",109,0.60377358490566,0.416096698113208,0.50401376146789,0.677465596330275,1,1,1,1,0.396466809492301,1167
"bc4e5f3dce",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",104,0.627450980392157,0.427791262135922,0.604086538461538,0.690625,NA,1,1,1,0.325179692267836,1106
"bc4e5f3dce1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",104,0.607843137254902,0.428640776699029,0.617788461538462,0.688701923076923,NA,1,1,1,0.317630732508805,1175
"c6068fa149",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",111,0.622641509433962,0.448820754716981,0.551689189189189,0.770777027027027,1,1,1,1,0.359972921690944,1249
"c6068fa1491",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",111,0.567307692307692,0.416509433962264,0.552083333333333,0.773085585585586,1,1,1,1,0.36293690519187,801
"c85c95d8c0",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",99,0.552083333333333,0.410416666666667,0.53364898989899,0.783901515151515,1,1,1,1,0.37973745865493,1021
"c85c95d8c01",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",99,0.541666666666667,0.368815104166667,0.519760101010101,0.79709595959596,1,1,1,1,0.399330673683287,674
"d05f095580",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",102,0.686868686868687,0.428661616161616,0.552328431372549,0.768198529411765,1,1,1,1,0.367478520088979,756
"d05f0955801",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",102,0.646464646464647,0.368939393939394,0.527512254901961,0.780330882352941,1,1,0,1,0.393224591938454,1655
"d1bf996889",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",101,0.62,0.4169375,0.489480198019802,0.825,NA,1,1,1,0.404597325664687,759
"d1bf9968891",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",101,0.64,0.412,0.481188118811881,0.841893564356436,NA,1,1,1,0.410972805986086,1594
"d58942db00",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",62,0.655172413793103,0.455711206896552,0.684375,0.794556451612903,1,1,1,1,0.268922505589298,383
"d58942db001",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",62,0.568965517241379,0.296228448275862,0.535987903225806,0.827217741935484,0.666666666666667,0,0,1,0.442361902544806,431
"efa3c1f536",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",123,0.483333333333333,0.314166666666667,0.520325203252033,0.894715447154472,1,1,1,1,0.381798859941299,1094
"efa3c1f5361",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",123,0.470588235294118,0.292239583333333,0.533943089430894,0.889278455284553,1,1,1,1,0.374719832361805,1638
"f3bcfe075d",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",116,0.734513274336283,0.551493362831858,0.549946120689655,0.708135775862069,1,1,1,1,0.358389535170547,971
"f3bcfe075d1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",116,0.699115044247788,0.467533185840708,0.525915948275862,0.728071120689655,1,0,0,0,0.385205197992235,2132
"f5ac6dad64",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",83,0.728395061728395,0.505246913580247,0.605346385542169,0.689457831325301,1,1,1,1,0.319259010597261,697
"f5ac6dad641",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",83,0.728395061728395,0.458641975308642,0.590135542168675,0.700451807228916,1,0,1,0,0.338047652740979,745
"fb16abfa7f",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",96,0.67741935483871,0.450201612903226,0.566666666666667,0.756705729166667,1,1,1,1,0.356149146408812,671
"fb16abfa7f1",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",96,0.655913978494624,0.321841397849462,0.519856770833333,0.788671875,1,0,0,1,0.414220580490689,646
"fc00829e60",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",117,0.573913043478261,0.376195652173913,0.537553418803419,0.811271367521368,1,1,1,1,0.37156824433535,1410
"fc00829e601",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",117,0.556521739130435,0.350326086956522,0.526442307692308,0.812232905982906,1,1,1,1,0.380121101054344,1495
"fd7759f025",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base-fixedMu",90,0.471910112359551,0.322823033707865,0.580763888888889,0.729097222222222,NA,1,1,1,0.338407875715962,832
"fd7759f0251",1.5,2,0.7,5,8e-05,2e-05,0.05,1,1,"base",90,0.49438202247191,0.345716292134831,0.586041666666667,0.715347222222222,NA,1,1,1,0.330750357126247,561
"04f76e3396",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",76,0.666666666666667,0.409166666666667,0.468832236842105,0.787582236842105,NA,1,1,1,0.424157184999728,615
"04f76e33961",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",76,0.653333333333333,0.38075,0.456332236842105,0.792023026315789,NA,1,1,1,0.442018746596569,944
"080a778a29",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",110,0.724770642201835,0.48256880733945,0.527784090909091,0.773636363636364,NA,1,1,1,0.377575211732543,907
"080a778a291",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",110,0.675925925925926,0.43526376146789,0.517840909090909,0.785227272727273,NA,1,1,1,0.394246014332128,1826
"0d4a637dfb",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",92,0.725274725274725,0.440247252747253,0.609782608695652,0.756182065217391,NA,1,1,1,0.323329912609328,879
"0d4a637dfb1",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",92,0.714285714285714,0.387293956043956,0.58539402173913,0.76039402173913,NA,1,1,1,0.348565382921349,908
"0d6e6d2d0a",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",91,0.550561797752809,0.360625,0.471085164835165,0.776442307692308,NA,1,1,1,0.427357623043801,620
"0d6e6d2d0a1",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0",91,0.579545454545455,0.344097222222222,0.465934065934066,0.784752747252747,NA,1,1,0,0.434187554446809,886
"0dd66efb56",1.5,2,0.7,5,8e-05,2e-05,0,1,1,"imp-0-fixedMu",123,0.680327868852459,0.441495901639344,0.515091463414634,0.77484756097561,NA,1,1,1,0.387696605953985,1114
