beta[0,0]	beta[0,1]	beta[1,0]	beta[1,1]	betaWardOut	betaOutOut	Se	Pi	mu	sigma	nu1	nu2	tau	alpha
0.210984	0.017633	0.003829	0.058286	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.156738	0.031227	0.006998	0.058286	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.181192	0.075885	0.014095	0.065640	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.095336	0.075885	0.003296	0.053048	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.174071	0.030647	0.000161	0.071659	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.168955	0.014528	0.010989	0.071659	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.150308	0.065766	0.008560	0.055350	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.248914	0.014250	0.012092	0.038715	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.183103	0.051250	0.016612	0.029625	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.146498	0.063025	0.000341	0.048001	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.161801	0.014416	0.011374	0.027315	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.142137	0.028631	0.003045	0.042944	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.143340	0.028631	0.004084	0.065228	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.187118	0.045314	0.014511	0.038564	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.228344	0.024411	0.007654	0.052604	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.182282	0.031425	0.000783	0.050378	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.237008	0.051953	0.000284	0.049810	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.218758	0.004233	0.005822	0.066451	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
0.242882	0.025691	0.016354	0.063808	0.100000	0.100000	0.900000	0.100000	5.000000	1.000000	0.010000	0.010000	10.000000	0.500000
