step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25
30500	-145.978976153097278	-144.566702543122403	-1.412273609974869	0.000093562109559	0.000035701158539	0.381577101108475	0.722884639413029	1	3	5	6	7	10	12	11	14	11	16	12	12	14	15	16	15	15	14	16	16	17	16	18	20	0	0	2	2	3	3	8	5	6	5	19	6	8	7	7	19	10	7	10	12	12	15	14	20	16	1	1	1	2	1	2	1	2	1	2	1	1	1	2	2	1	1	1	2	3	2	1	1	1	2
31000	-131.543761407434914	-130.103149791158643	-1.440611616276264	0.000093930881387	0.000032484032015	0.345829098328924	0.744025693166015	0	5	6	7	7	9	11	11	14	11	16	12	12	14	16	16	13	13	14	15	17	16	17	16	20	0	0	2	2	3	5	5	6	10	5	10	7	8	18	18	9	7	6	7	12	20	18	17	12	16	1	1	1	1	1	1	3	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	3	1	1
31500	-123.873693483027054	-122.506394630770671	-1.367298852256377	0.000078759731666	0.000038929204150	0.494278019057821	0.818928087844997	1	5	6	6	8	9	11	11	13	11	15	11	13	14	17	15	15	15	15	14	15	15	17	17	21	0	0	2	2	3	5	6	6	7	6	12	6	8	10	22	9	10	10	20	12	12	10	17	11	16	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	2	2	1	1	2
32000	-124.053359741487569	-122.611609642525963	-1.441750098961607	0.000073524958219	0.000025336962658	0.344603564166607	0.929110748864838	0	4	6	6	8	10	11	10	12	12	15	12	12	13	16	16	15	14	13	15	16	15	18	17	21	0	0	2	2	3	5	5	5	6	7	19	6	8	10	22	9	10	10	12	12	12	7	17	21	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2
32500	-132.655024696966990	-131.294150256440787	-1.360874440526208	0.000114539905010	0.000064516331054	0.563265100039513	0.616958916868385	0	4	6	6	8	10	11	10	14	11	15	12	12	15	16	17	16	14	14	15	17	16	17	17	20	0	0	2	2	3	5	5	5	6	5	19	6	8	7	18	22	18	6	12	5	11	14	9	20	7	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	2	1	3	1	1	2	1	4
33000	-131.222019005718380	-129.732688360132045	-1.489330645586337	0.000069220958308	0.000020928620785	0.302345146563545	0.642759582736253	0	4	5	7	7	9	11	11	14	10	15	13	13	14	16	17	14	13	14	15	18	16	17	17	19	0	0	2	2	3	3	5	10	6	5	7	7	8	10	18	9	18	7	7	12	12	17	17	12	16	1	1	1	2	1	2	2	1	3	2	2	1	1	2	1	2	1	1	2	1	2	1	2	2	1
33500	-139.750338016108827	-138.352060398914460	-1.398277617194366	0.000107344497227	0.000043443678975	0.404712678310113	0.835485969151309	1	5	6	7	8	10	12	11	14	11	16	13	13	13	17	14	15	14	14	12	18	16	16	16	20	0	0	2	2	3	5	6	5	7	5	19	20	8	10	18	6	10	10	20	6	16	16	17	20	22	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	2	2	1	1	1	1	1	1	2	2
34000	-140.969660018727950	-139.581768410422143	-1.387891608305800	0.000129598091215	0.000055210010907	0.426009444963114	0.848030904569869	1	4	5	6	7	10	10	11	14	12	15	13	12	14	13	15	15	15	14	12	15	15	16	18	19	0	0	2	2	3	5	5	7	15	5	12	20	8	7	10	9	6	15	10	7	10	15	14	21	16	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	3	1	1	1	1	1	1	1	2
34500	-133.014126493845851	-131.365525159234608	-1.648601334611233	0.000109529923937	0.000024176827126	0.220732620424630	0.908497745898311	0	3	5	4	8	9	11	11	13	12	15	13	10	14	16	17	15	14	15	15	18	17	17	17	20	0	0	2	2	3	5	6	13	5	7	18	6	5	10	14	15	18	10	12	12	20	14	17	11	22	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1
35000	-129.830081638250533	-128.382510166630851	-1.447571471619694	0.000115371676151	0.000039057077161	0.338532631789149	0.718296606651344	0	5	6	7	8	9	11	11	13	11	16	12	12	15	17	15	15	14	14	15	17	16	16	17	20	0	0	2	2	3	5	6	5	10	5	19	5	10	10	22	9	10	10	12	12	20	18	10	11	16	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	2	1	2
35500	-155.475722776196733	-154.106872820498666	-1.368849955698077	0.000075449389011	0.000036696144596	0.486367684047205	0.561605305009722	-2	4	5	7	7	9	11	12	14	11	14	12	11	14	14	16	15	13	15	15	18	15	18	15	20	0	0	2	2	3	5	6	10	7	6	10	7	6	10	5	9	10	5	11	10	12	7	18	6	15	1	1	1	2	1	1	1	1	1	2	1	1	1	1	3	1	2	3	1	2	2	2	2	4	2
36000	-134.938839429373701	-133.577488610265419	-1.361350819108275	0.000102424105054	0.000060757121172	0.593191623593091	0.825398678738110	0	3	5	5	7	9	11	11	14	11	15	13	13	13	16	16	15	14	15	15	17	16	17	18	20	0	0	2	2	3	5	6	5	7	6	12	7	7	10	9	10	10	6	18	12	20	18	9	20	16	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	2	3
36500	-151.016456493273097	-149.575372181860757	-1.441084311412328	0.000120041892507	0.000041452707427	0.345318676345681	0.537461138253072	-2	5	6	7	7	9	11	12	14	12	15	13	13	14	16	17	15	13	14	16	18	16	18	17	21	0	0	2	2	3	5	5	7	6	6	6	7	7	10	19	7	6	2	7	12	12	17	7	7	24	1	1	1	1	1	1	2	1	2	1	3	1	1	1	1	2	3	4	2	2	2	1	4	4	2
37000	-141.223616322254372	-139.825392617692245	-1.398223704562114	0.000136295273333	0.000055174015224	0.404812389122215	0.681448287481679	1	4	6	6	8	10	12	12	14	12	15	13	13	14	14	16	15	14	14	16	18	16	16	18	19	0	0	2	2	4	5	5	5	6	6	19	10	7	7	6	7	14	7	12	12	20	15	7	20	16	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1
37500	-149.092482620762894	-147.707137732570629	-1.385344888192269	0.000094194974428	0.000070784384420	0.751466676963599	0.715511587635553	-2	3	6	6	7	10	12	11	14	12	15	12	12	15	17	16	16	14	11	16	16	17	17	18	19	0	0	2	2	3	3	5	5	7	6	6	6	6	7	11	6	10	10	6	10	12	11	17	21	22	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	3	2	1	1	2	2	1	1	1	2
38000	-139.252308512989998	-137.545614535738423	-1.706693977251586	0.000087002079119	0.000017528144502	0.201468110639810	0.600149905468689	0	4	5	7	8	8	10	10	14	11	15	13	13	15	15	13	15	14	11	15	17	17	17	17	19	0	0	2	2	3	3	6	6	7	5	19	10	8	18	7	7	18	7	5	12	20	18	17	12	15	1	1	1	1	2	1	1	1	2	2	2	1	1	1	3	1	1	2	2	1	1	1	1	2	2
38500	-155.265865123265627	-153.847716415619033	-1.418148707646587	0.000101711851549	0.000037955889492	0.373170765389107	0.558851553588097	0	4	5	6	7	9	11	10	14	12	15	13	13	15	16	16	14	15	14	16	17	15	18	18	20	0	0	2	2	3	2	5	6	10	3	10	6	7	17	18	12	5	7	7	12	11	6	18	20	16	1	1	1	1	1	1	2	1	1	3	2	3	1	1	1	1	3	3	2	2	1	2	2	1	2
39000	-143.464297655410007	-141.828166312238409	-1.636131343171612	0.000148417977464	0.000033448381215	0.225366103128907	0.667911995065890	1	3	5	5	7	9	11	10	13	11	15	13	13	14	15	17	14	14	14	15	17	15	17	17	19	0	0	2	2	3	5	6	6	6	5	19	7	7	9	14	22	10	7	10	12	12	18	14	22	23	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1
39500	-128.197654148151798	-126.779576800378663	-1.418077347773134	0.000077616587417	0.000028971875531	0.373269123203204	0.675410384283490	0	5	6	7	8	10	11	11	14	11	15	11	13	15	17	16	15	14	13	15	18	16	17	17	20	0	0	2	2	2	5	6	5	6	5	12	5	8	18	22	9	18	10	12	12	11	9	10	20	16	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2
40000	-147.105740115861693	-145.665164295864997	-1.440575819996685	0.000085598025266	0.000029605604439	0.345867843871667	0.516062868523155	0	4	5	7	8	9	11	12	14	11	16	11	13	14	16	17	14	15	14	16	17	16	17	17	20	0	0	2	2	3	5	6	10	3	6	19	5	8	10	9	18	10	7	6	12	12	7	17	12	22	1	1	1	2	2	1	1	1	3	1	2	1	1	2	1	1	2	2	2	3	2	2	1	2	2
40500	-139.834116080418170	-138.339556693815439	-1.494559386602745	0.000105497912520	0.000031492234723	0.298510501022820	0.672811857056740	-1	4	6	6	7	8	10	11	14	12	12	12	13	15	16	16	16	14	14	15	17	17	17	18	21	0	0	2	2	3	5	6	7	7	5	7	6	8	7	18	10	18	10	12	12	20	17	12	20	22	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	1	2	1	1	2	1	2
41000	-148.251128633535330	-146.562390542526629	-1.688738091008697	0.000074350047363	0.000015394442175	0.207053562447501	0.604693128157510	0	5	6	7	7	9	12	10	13	12	13	11	12	14	15	17	15	15	14	14	17	17	17	17	20	0	0	2	2	3	5	6	5	7	6	7	5	8	6	14	9	10	10	11	12	12	15	17	20	22	1	1	1	1	1	1	2	3	1	2	1	2	1	3	1	2	2	2	1	2	3	2	1	1	3
41500	-154.357002492510105	-152.910430947527573	-1.446571544982525	0.000128169672784	0.000043520399724	0.339553022008487	0.758086851618418	1	5	6	7	8	10	11	12	15	11	14	12	13	15	14	15	16	13	14	15	16	15	18	18	20	0	0	2	2	3	5	6	5	7	5	12	6	8	18	10	7	15	10	7	12	19	11	18	16	20	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	4	2	2
42000	-132.594883623052908	-131.164577318517644	-1.430306304535272	0.000080228907546	0.000028686784268	0.357561696214541	0.762189306934049	-1	4	6	6	8	10	12	11	14	12	15	12	13	14	17	16	16	14	14	15	17	16	17	18	20	0	0	2	2	3	5	5	5	8	8	7	6	7	10	22	9	10	6	7	12	20	9	18	12	16	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	3	1	1	1	1	2	2	1
42500	-146.191734373700370	-144.819495100190466	-1.372239273509903	0.000074613776624	0.000035199074832	0.471750344571518	0.629283634220009	0	3	4	6	8	9	12	11	13	10	16	11	12	13	17	16	14	15	14	16	17	16	18	18	18	0	0	2	2	3	5	5	6	5	6	12	6	8	7	22	6	10	5	12	19	20	17	17	20	16	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	3	2	3	2	1	1	1	2	1	1
43000	-137.746780818583233	-136.269673088612620	-1.477107729970608	0.000093204766008	0.000029064113677	0.311830767050261	0.681268899858205	-1	4	6	6	8	10	11	10	13	11	14	12	12	14	16	16	15	13	15	15	17	16	18	17	21	0	0	2	2	3	5	5	5	7	5	6	6	8	18	12	9	10	10	12	11	20	6	17	22	16	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	2	2	1	2	1	1	3	2	1	1
43500	-132.162995366519766	-130.698830779450077	-1.464164587069698	0.000151778459893	0.000048992472830	0.322789365926388	0.627108879180330	0	4	5	7	7	9	11	9	13	11	16	12	13	14	15	16	16	14	14	16	17	16	17	17	19	0	0	2	2	3	5	6	5	7	6	19	7	8	10	9	18	18	10	12	12	9	9	17	12	16	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	4	1
44000	-141.383152680966305	-139.958154924355995	-1.424997756610314	0.000111541014230	0.000040613491243	0.364112622818306	0.615032280100602	0	4	6	5	7	9	11	11	14	11	15	12	13	13	16	16	15	14	14	14	18	17	16	16	20	0	0	2	2	3	3	6	6	5	4	10	6	8	7	10	18	18	6	12	12	12	14	17	12	16	1	1	1	1	1	1	1	1	4	3	2	1	1	1	2	1	1	2	1	2	2	2	1	2	2
44500	-130.213366822452741	-128.512868987747737	-1.700497834705000	0.000102337675055	0.000020811553209	0.203361598725109	0.735421044264606	-1	4	5	6	7	9	11	10	13	10	12	13	12	14	16	16	14	14	15	15	17	16	17	17	19	0	0	2	2	3	5	6	6	7	6	7	11	8	10	18	9	6	10	11	12	20	8	17	20	16	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	2	1	1	3	2	1	2
45000	-143.854583769465904	-142.466839216034117	-1.387744553431800	0.000115040111949	0.000049046966579	0.426346652029261	0.770482964682698	1	4	6	6	8	9	11	11	15	11	15	12	12	14	16	17	16	15	14	15	14	17	16	18	20	0	0	2	2	3	5	6	6	7	6	21	5	8	10	9	21	12	7	12	14	7	23	10	23	16	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	2	2	2	1	1	2	1	3	1	2
45500	-127.223691259336960	-125.772970521100589	-1.450720738236376	0.000106267463879	0.000035639594789	0.335376355926104	0.826605591336151	0	4	6	6	8	9	11	10	14	11	16	13	11	14	17	16	15	14	14	16	16	15	17	17	18	0	0	2	2	3	5	6	6	7	5	18	6	8	10	18	18	12	10	12	19	12	9	18	21	16	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1
46000	-148.252107098914223	-146.622769335444644	-1.629337763469581	0.000105538440988	0.000024060272133	0.227976383846268	0.630368765918826	-1	3	5	7	8	9	12	12	14	11	16	12	13	15	16	17	16	14	14	15	17	16	17	16	20	0	0	2	2	4	5	5	3	7	5	20	5	8	7	18	6	7	10	12	12	12	7	7	12	16	1	1	1	2	1	1	2	3	1	1	1	2	1	2	1	3	2	1	1	2	2	2	2	1	1
46500	-122.735717926479694	-120.835344538994406	-1.900373387485290	0.000115369272132	0.000017942133688	0.155519172105582	0.865798920153668	0	5	6	7	8	10	11	12	13	11	13	13	12	14	16	16	15	13	15	16	17	15	17	18	19	0	0	2	2	3	5	5	7	5	5	7	7	7	10	9	22	18	10	11	12	20	7	17	12	16	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
47000	-144.493530232610794	-142.999499264424145	-1.494030968186654	0.000091267541762	0.000027279173102	0.298892383596559	0.531542621208818	1	4	5	7	8	8	11	11	14	11	14	12	12	15	16	16	15	14	15	15	17	13	17	17	20	0	0	2	2	3	3	5	6	7	5	12	10	7	10	18	18	7	10	11	12	12	5	17	20	15	1	1	1	2	2	3	2	2	2	2	1	1	1	2	1	1	2	2	1	2	2	3	1	1	3
47500	-172.058997382674363	-170.673540416438357	-1.385456966236006	0.000051556470726	0.000038767463390	0.751941761027741	0.574676330204889	1	3	5	6	8	9	12	11	14	10	16	12	13	13	17	16	15	13	15	14	17	14	18	17	21	0	0	2	3	3	3	5	5	6	5	12	5	8	10	10	7	10	10	4	12	20	7	15	12	16	1	1	1	1	3	3	2	2	2	1	2	1	1	2	3	2	2	2	7	1	2	1	1	3	3
48000	-131.930989893797403	-130.402639013595632	-1.528350880201758	0.000126838332414	0.000035053760757	0.276365670297521	0.767296319367560	0	4	5	6	7	10	11	12	14	11	14	12	13	15	16	16	14	14	15	16	17	15	16	17	20	0	0	2	2	3	5	5	6	7	6	6	6	8	10	22	18	10	10	11	11	12	11	17	7	21	1	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	3	2
48500	-139.190313699760395	-137.707388872484273	-1.482924827276108	0.000052965962317	0.000016272236760	0.307220638466765	0.591720625486270	-1	4	5	6	7	10	11	12	13	12	13	12	13	15	15	16	16	13	14	15	17	16	15	17	20	0	0	2	2	3	5	5	7	6	5	7	7	8	10	6	7	23	7	11	9	12	10	10	20	16	1	1	1	1	1	2	2	1	2	3	2	1	1	2	2	2	1	1	1	1	3	2	2	1	2
49000	-113.379694107708644	-111.835152775912235	-1.544541331796411	0.000127900120884	0.000034160208098	0.267085033714403	0.880642529872225	1	5	6	7	8	10	11	12	14	12	13	13	13	14	15	17	15	14	14	15	16	17	17	17	19	0	0	2	2	3	5	6	6	10	6	7	7	8	10	18	9	18	6	11	12	12	15	17	21	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1
49500	-135.048927442831229	-133.686789279669171	-1.362138163162063	0.000053700523489	0.000032616207747	0.607372249441080	0.660323377628309	1	4	6	6	8	9	11	11	14	11	16	12	13	13	14	16	16	13	14	15	16	16	17	18	19	0	0	2	2	3	5	6	5	6	3	19	6	8	10	18	9	10	10	12	12	20	15	17	12	22	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	3	1	1	1	1	2	1	2	2
50000	-145.092784138481761	-143.663885961270068	-1.428898177211693	0.000121900341084	0.000043794254911	0.359262775820517	0.620041378019742	1	3	5	6	7	9	12	12	14	11	15	12	12	15	16	15	16	13	14	14	17	14	17	18	20	0	0	2	2	3	5	5	5	7	6	20	6	6	10	22	12	7	6	18	7	20	6	14	20	16	1	1	1	2	1	1	2	3	1	1	1	2	1	2	1	2	2	2	1	1	1	1	1	2	2
50500	-131.510515160234661	-130.149075521949925	-1.361439638284728	0.000081559045928	0.000048540584340	0.595158805348120	0.716379554809025	-1	3	5	4	8	10	10	10	14	12	14	12	12	14	15	16	16	13	14	15	17	16	17	16	20	0	0	2	2	3	4	5	5	7	7	12	7	6	10	10	9	18	10	12	12	12	15	17	20	16	1	1	1	1	2	3	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2
51000	-137.433340980712956	-135.905590331025024	-1.527750649687931	0.000099803434701	0.000027618051305	0.276724457309998	0.639912522876621	1	4	5	6	6	9	11	10	14	11	16	13	13	14	17	16	16	14	14	15	18	16	18	17	20	0	0	2	2	3	5	6	6	6	5	12	10	8	7	18	18	10	10	10	12	12	18	17	11	16	1	1	1	1	1	2	1	1	2	2	2	1	2	2	3	1	2	1	1	1	2	1	1	1	3
51500	-146.748195935090394	-145.077924675713717	-1.670271259376663	0.000135845117283	0.000028952458504	0.213128444240660	0.735696265797690	0	4	6	6	8	10	11	12	14	11	16	12	10	14	17	15	15	15	14	14	14	16	18	17	19	0	0	2	2	3	5	5	5	7	6	20	6	5	7	16	7	10	10	7	12	12	10	18	11	15	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	2	2	2	1	3	1	1	1
52000	-159.512916798683619	-158.064829194808993	-1.448087603874637	0.000098107312741	0.000033161197009	0.338009431536379	0.653164247267589	0	5	6	7	7	8	9	11	12	11	13	12	12	15	17	14	15	14	15	15	18	16	16	16	21	0	0	2	2	3	5	5	5	7	6	5	10	8	10	11	10	18	10	12	9	20	14	19	11	16	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	1	1	1	2	3
52500	-128.995327329392296	-127.421349372919138	-1.573977956473144	0.000108803675983	0.000027409984818	0.251921495948454	0.880052889121386	0	4	6	6	7	9	10	11	13	11	14	12	13	14	16	15	14	13	14	15	17	16	18	18	20	0	0	2	2	3	5	6	6	7	6	12	7	8	10	6	9	18	10	12	12	20	18	17	21	16	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	1	2
53000	-133.874575449039980	-132.427446033130195	-1.447129415909794	0.000045741803723	0.000043808113709	0.957725978056722	0.616701912830506	1	4	5	6	8	9	11	10	14	11	14	12	12	14	16	16	15	14	15	16	18	14	17	14	20	0	0	2	2	3	3	5	5	6	5	7	6	8	10	9	9	18	6	11	11	20	7	17	12	16	1	1	1	1	2	2	2	1	2	2	2	1	1	1	2	1	1	2	1	1	1	2	1	1	2
53500	-132.636998239777739	-131.266940757988294	-1.370057481789440	0.000074598615716	0.000035867436541	0.480805658341363	0.781079122326168	1	4	5	7	8	9	12	11	14	11	16	12	13	15	16	17	13	15	14	14	17	14	17	16	20	0	0	2	2	3	3	5	6	7	6	19	6	8	5	22	9	10	10	6	12	20	7	17	12	16	1	1	1	1	2	2	1	1	1	1	1	1	1	3	1	2	1	2	2	1	1	1	2	1	2
54000	-138.998059090245789	-137.367377196613120	-1.630681893632664	0.000146343169364	0.000033286476408	0.227454937275796	0.802700685593576	1	4	6	6	8	9	11	11	14	11	15	12	13	15	14	16	16	14	15	15	16	16	17	16	20	0	0	2	2	3	5	6	6	7	5	9	5	10	10	6	9	15	10	15	12	12	9	18	15	16	1	1	1	1	1	1	1	1	2	1	1	2	1	2	3	1	1	1	1	2	2	1	2	1	1
54500	-121.845686112749917	-120.458811495629419	-1.386874617120496	0.000089338614481	0.000038269640254	0.428366171512898	0.920198140327166	0	5	6	7	8	10	12	10	14	12	16	12	11	15	15	15	14	14	14	15	16	17	16	18	19	0	0	2	2	3	5	6	5	7	5	19	6	8	18	17	9	10	10	12	12	20	7	17	20	22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1
55000	-150.686502653247089	-149.290597809100348	-1.395904844146754	0.000111984112416	0.000045823383402	0.409195397573659	0.534188947718980	0	3	5	6	7	10	11	11	13	12	15	12	12	13	16	16	14	14	13	14	17	17	17	17	19	0	0	2	2	3	5	4	6	5	6	19	3	6	10	14	18	9	10	7	6	20	18	17	20	22	1	1	2	1	1	1	3	1	2	1	1	3	1	1	2	1	1	2	1	2	2	2	1	1	1
55500	-127.475081940553522	-126.106272318975584	-1.368809621577945	0.000108388734471	0.000052737797181	0.486561610279502	0.840841092456725	0	4	5	6	7	9	10	12	14	11	14	11	13	14	16	16	16	15	15	14	17	16	17	17	19	0	0	2	2	3	5	6	7	7	6	12	7	8	10	20	18	10	10	11	12	12	9	17	20	16	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	2	1	1	3	1	1	1	2
56000	-141.890213886025236	-140.519968219199086	-1.370245666826140	0.000058673505849	0.000039686196055	0.676390399393109	0.760532119405331	1	4	5	6	7	9	11	11	14	11	15	12	12	15	16	17	15	14	14	15	16	15	17	18	20	0	0	2	2	3	5	3	5	10	3	10	7	7	18	9	22	18	7	7	12	12	10	17	20	9	1	1	1	1	1	2	4	2	1	3	1	1	1	1	1	1	1	1	1	1	2	3	1	2	3
56500	-133.277964706874883	-131.891147462084007	-1.386817244790883	0.000085351456627	0.000036573173844	0.428500874963745	0.574109517427325	0	4	5	6	7	9	12	11	14	12	15	11	12	15	16	16	15	14	13	15	17	17	15	18	19	0	0	2	2	3	5	5	6	7	6	19	6	8	10	7	9	10	10	12	12	12	17	10	20	22	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	3	1	2	2	2
57000	-146.869356471577134	-145.216686352973596	-1.652670118603542	0.000116803299167	0.000025610633131	0.219262925904927	0.501543008056296	0	4	6	7	7	10	12	9	15	10	15	10	11	14	16	15	15	15	13	15	17	16	18	17	19	0	0	2	2	3	5	10	5	10	5	19	5	8	10	7	7	10	10	12	19	16	7	18	20	9	1	1	1	2	1	2	1	1	2	1	1	2	1	2	2	2	2	2	1	1	2	1	1	1	2
57500	-144.078801893355831	-142.517793252570954	-1.561008640784878	0.000098932011530	0.000025559640743	0.258355615614676	0.575169123594932	1	4	5	6	7	9	12	11	15	11	16	12	13	13	16	14	15	12	14	15	17	16	17	17	20	0	0	2	2	3	5	5	6	10	5	20	6	7	10	7	7	7	5	12	7	10	7	17	20	22	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	1	2	2	1	2	3	2	2	1	3
58000	-138.323756300559836	-136.647708251941793	-1.676048048618031	0.000098160176863	0.000020730453595	0.211190059533331	0.644113135405572	1	4	5	6	7	9	11	10	14	11	15	11	12	14	17	16	15	14	14	12	17	15	17	17	18	0	0	2	2	3	5	5	5	6	5	19	6	8	10	18	7	18	6	7	12	12	7	17	12	16	1	1	1	1	1	1	2	2	3	2	1	1	1	1	1	2	1	3	1	1	2	3	1	3	1
58500	-146.885335165330105	-145.213808650367469	-1.671526514962627	0.000062176249232	0.000013225149800	0.212704207200482	0.432436306570817	1	4	5	7	8	9	11	11	14	11	16	13	12	14	16	15	16	15	13	15	17	17	18	17	21	0	0	2	2	3	3	6	6	7	6	19	5	8	10	7	9	18	10	6	12	19	16	15	12	16	1	1	1	2	2	2	2	1	2	1	2	3	1	2	2	1	1	2	3	1	1	1	1	2	3
59000	-129.581049364511671	-128.216815636980073	-1.364233727531602	0.000077569618992	0.000048997946345	0.631664135795549	0.768242162380602	0	5	6	7	8	9	12	11	13	11	16	13	12	14	15	16	15	14	14	15	16	17	17	17	18	0	0	2	2	3	5	6	6	10	5	20	10	8	10	7	9	7	10	7	12	20	15	17	20	7	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
59500	-135.922120906494683	-134.424703446095236	-1.497417460399434	0.000080486878019	0.000023861646532	0.296466295124454	0.692735796021621	0	5	6	7	7	9	11	11	13	11	14	13	13	14	16	17	15	13	13	15	17	14	16	17	19	0	0	2	2	3	2	5	6	10	6	12	10	7	6	22	9	18	10	7	12	20	10	18	20	16	1	1	1	1	1	3	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	2	1
60000	-152.359053235014386	-150.876560586785303	-1.482492648229077	0.000106160738703	0.000032650476695	0.307556984760157	0.558532955861771	1	5	6	7	8	7	12	10	14	10	16	11	12	14	16	16	13	13	13	14	18	17	17	17	19	0	0	2	2	6	3	5	5	7	5	19	5	8	10	14	18	10	10	12	6	7	18	17	20	21	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	3	3	3	2	2	1
60500	-129.132082770790220	-127.752459103721648	-1.379623667068568	0.000082691782276	0.000036976793180	0.447164061076899	0.836822821866953	0	4	5	6	7	10	12	11	14	11	15	12	13	15	16	16	14	14	15	15	16	17	17	17	20	0	0	2	2	4	5	6	6	10	6	12	6	8	10	9	9	10	7	6	12	12	15	20	20	9	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	2
61000	-134.821299123615518	-133.430769583963098	-1.390529539652424	0.000063929143272	0.000026859966554	0.420152143129952	0.578579329103838	0	4	5	5	8	10	11	11	14	10	15	12	13	14	16	16	15	14	14	15	18	15	17	17	20	0	0	2	2	3	5	5	5	6	5	12	5	8	10	18	9	12	10	12	12	12	6	17	20	22	1	1	1	1	2	1	2	1	1	1	2	3	1	2	1	1	1	2	1	1	4	2	1	1	3
61500	-141.384331835358125	-140.019185723854889	-1.365146111503239	0.000085914428535	0.000043586289310	0.507322111699575	0.526924555513454	0	4	5	6	7	8	11	10	14	11	15	12	13	14	16	16	16	13	14	16	16	15	18	18	20	0	0	2	2	3	5	5	6	18	6	7	10	8	18	5	9	18	6	12	12	12	6	10	15	16	1	1	1	1	1	1	2	2	1	2	1	1	2	1	4	1	2	2	1	2	1	3	4	1	2
