step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
18000	-105.582789851069464	-112.438277802028836	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579846765079085	0	2	2	5	6	8	5	6	8	8	9	7	11	13	14	16	15	18	17	0	1	1	3	2	5	3	2	8	8	4	7	11	9	10	15	0	17	17	1	1	1	1	2	1	2	2	1	1	2	1	1	2	5	1	1	2	1
18500	-122.451638519895397	-129.307126470854769	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.459261195584244	-1	3	1	4	6	8	5	7	7	9	7	8	12	11	15	13	13	17	19	0	3	1	3	2	5	2	2	1	3	4	9	4	10	10	5	0	17	18	1	1	1	1	2	2	1	2	5	4	2	1	3	1	4	4	1	2	1
19000	-120.368945961545847	-127.224433912505219	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.473290907986646	-1	1	2	4	7	7	4	5	8	8	10	9	12	12	14	15	14	17	19	0	1	1	3	1	3	3	2	8	2	10	6	11	8	6	2	0	17	18	1	1	1	1	4	3	1	2	1	3	1	1	1	3	4	7	1	2	1
19500	-121.657081381214738	-128.512569332174110	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595102694059651	-2	2	2	4	6	7	5	6	8	9	9	8	12	12	13	14	15	17	18	0	1	1	2	7	7	2	3	2	5	4	4	11	9	10	15	0	17	18	1	1	2	1	1	1	1	3	2	2	3	2	1	2	2	1	1	2	1
20000	-122.540112167185043	-129.395600118144415	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602409209307908	-1	3	1	4	6	7	5	7	8	8	8	8	11	12	11	15	16	18	17	0	1	1	3	2	4	3	5	8	2	4	2	2	9	5	15	0	17	17	1	2	1	2	1	1	1	1	1	2	1	2	4	2	2	2	1	1	1
20500	-121.194288062618853	-128.049776013578224	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.407680641805335	0	2	2	4	6	7	4	8	7	8	9	8	12	13	14	15	16	18	20	0	1	1	2	2	2	1	5	1	2	4	6	5	2	14	14	0	17	18	1	2	1	1	2	3	1	1	4	3	2	1	4	6	1	2	1	1	2
21000	-138.352057794669776	-145.207545745629147	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727474330540136	-1	2	3	5	5	7	4	7	7	8	10	8	9	12	15	15	14	17	20	0	1	1	2	3	4	2	7	5	8	10	7	12	9	5	5	0	17	17	1	1	1	1	1	1	2	2	1	1	1	3	1	3	5	6	1	1	3
21500	-116.631898230742379	-123.487386181701751	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648745432903903	0	2	2	4	5	6	5	6	8	9	9	8	12	12	13	15	16	18	21	0	1	1	2	1	7	2	1	5	3	4	7	4	9	10	14	0	17	18	1	1	1	1	2	1	1	2	1	3	2	2	4	2	2	1	1	1	1
22000	-120.341502903694661	-127.196990854654032	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622423286126159	0	2	2	4	6	7	4	8	7	6	10	8	12	12	13	15	16	17	21	0	1	1	1	3	2	1	10	10	3	4	10	11	10	11	15	0	17	17	1	1	1	2	1	4	2	1	1	3	2	2	1	2	2	1	1	1	1
22500	-117.293752005482759	-124.149239956442131	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.428254343648149	-1	1	3	4	6	8	5	6	7	9	9	9	12	12	12	16	15	18	20	0	1	2	3	3	3	1	2	8	5	4	7	4	9	1	15	0	17	18	1	1	1	1	1	3	3	3	1	2	2	2	5	2	7	2	1	2	1
