step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27
17500	-220.551880850296698	-219.064056477865506	-1.487824372431197	0.000251441088402	0.000076305703832	0.303473486839482	0.439403405251128	4	2	5	7	8	8	8	9	10	12	15	18	15	18	18	17	20	20	21	21	20	19	22	22	21	24	25	2	0	1	3	2	2	3	4	3	8	10	9	10	1	3	10	12	0	11	10	16	2	15	17	15	24	20	1	1	1	2	3	3	2	1	3	1	2	3	1	6	6	3	1	1	3	5	1	9	2	1	1	1	2
18000	-203.250002973957550	-201.668508504714936	-1.581494469242622	0.000284217794604	0.000070586389247	0.248353166433666	0.481551613782983	4	3	8	7	8	10	9	10	9	11	13	17	16	20	18	18	20	19	20	20	20	20	23	21	21	23	25	2	0	4	1	2	2	4	4	2	8	10	13	6	15	11	8	11	0	15	3	10	16	22	13	14	20	26	1	1	1	1	3	4	1	2	4	1	1	1	3	1	3	5	4	1	1	3	5	1	1	2	1	1	1
18500	-220.959800206766431	-219.541685986185399	-1.418114220581033	0.000282386011413	0.000105391624083	0.373218289233878	0.470438415542317	4	3	6	7	8	9	8	11	9	10	15	17	16	18	18	19	18	20	19	20	20	20	23	21	23	23	22	2	0	1	1	3	2	3	10	2	7	8	11	7	2	7	8	10	0	15	11	11	12	16	20	12	24	11	1	1	1	1	1	2	1	1	2	1	1	2	5	10	5	5	3	1	1	2	2	1	2	1	2	1	3
19000	-204.655827715932304	-203.017095197156209	-1.638732518776106	0.000276266061848	0.000061989419948	0.224383044133282	0.456083984712889	4	1	5	7	9	9	8	10	10	11	14	18	14	19	18	20	18	20	20	20	20	20	24	23	22	24	25	2	0	1	3	1	2	4	4	2	8	6	11	8	9	10	17	6	0	15	12	15	12	22	16	19	14	24	2	1	1	2	2	4	1	1	4	1	2	3	2	4	3	1	3	1	1	1	1	1	2	1	1	3	1
19500	-224.328543128761368	-222.800775453491354	-1.527767675270006	0.000250901365102	0.000069427986829	0.276714264988020	0.327075629837770	4	3	6	7	8	8	8	9	9	11	13	17	16	19	18	19	19	21	20	20	20	20	24	19	23	22	23	2	0	1	1	2	2	4	3	2	4	4	8	10	2	4	4	10	0	17	3	15	16	8	13	19	12	15	1	1	1	1	2	2	1	2	2	2	4	4	3	6	4	5	5	1	1	8	2	1	7	1	2	3	2
20000	-216.939149476433300	-215.363372545542973	-1.575776930890323	0.000261272063813	0.000065594219935	0.251057150840808	0.424887786151226	3	2	5	7	9	10	9	10	8	11	14	17	17	17	17	19	19	21	21	20	20	20	22	23	22	23	25	2	0	1	3	1	5	4	9	2	3	8	9	8	9	7	14	3	0	22	8	13	14	10	16	22	11	24	1	1	1	1	5	1	1	1	3	4	1	7	3	4	5	1	8	1	1	4	1	2	5	2	1	5	1
20500	-218.018550820012166	-216.559431241960766	-1.459119578051399	0.000271262343732	0.000088799115332	0.327355113540020	0.406913977353044	4	2	7	7	7	8	7	10	8	12	14	17	16	19	18	18	20	21	20	20	19	20	23	22	22	23	26	2	0	2	1	2	3	1	1	5	8	4	3	4	3	7	12	13	0	15	12	12	3	15	16	15	10	24	1	1	4	2	2	1	2	2	1	1	4	5	3	6	4	1	2	1	1	1	1	9	3	2	2	5	2
21000	-230.707933858875890	-229.084742655973571	-1.623191202902316	0.000334367953277	0.000077036094594	0.230393175657925	0.280609371966483	3	2	7	7	9	9	9	10	10	10	15	18	16	19	19	18	18	21	20	20	21	19	23	20	23	24	25	2	0	2	2	3	2	2	3	2	1	9	2	7	1	9	9	6	0	4	3	22	9	24	9	24	3	25	1	1	2	3	1	3	3	1	4	4	2	8	3	8	6	5	5	1	6	5	1	4	2	4	2	8	1
21500	-214.156340069593512	-212.597029780837005	-1.559310288756521	0.000227007843278	0.000058846279401	0.259225754277674	0.554811965959384	4	3	7	6	8	9	8	9	9	12	14	15	16	18	18	18	20	20	20	20	21	20	21	23	21	22	25	2	0	4	1	2	2	4	3	2	8	8	2	11	8	10	11	11	0	14	10	17	12	15	10	14	17	26	1	1	1	1	2	2	2	1	2	1	2	4	1	2	3	2	3	1	2	4	1	3	2	7	1	1	1
22000	-238.452143431716053	-236.935324174229692	-1.516819257486370	0.000329589850847	0.000093425629065	0.283460272896975	0.397166900511681	4	3	7	8	7	10	9	11	8	12	15	16	17	19	17	20	16	20	20	20	21	19	23	23	23	23	25	2	0	1	3	2	3	9	7	2	7	3	7	10	6	17	15	8	0	7	14	17	13	13	12	12	14	16	1	1	2	1	3	1	1	1	2	1	6	4	2	4	1	1	2	1	6	1	2	1	3	4	3	2	3
22500	-219.886169164688596	-218.346049606365028	-1.540119558323566	0.000223707807083	0.000060299672298	0.269546570966706	0.400938068671178	3	2	7	6	9	9	8	9	10	11	15	15	16	17	17	19	19	21	21	20	20	18	23	23	23	24	25	2	0	1	1	1	7	1	4	2	1	8	5	8	7	3	7	13	0	15	14	8	12	22	14	19	8	11	1	1	3	2	3	1	3	2	4	3	3	3	3	5	5	6	1	1	2	2	5	1	4	2	1	7	5
23000	-211.124736568782509	-209.635844330947549	-1.488892237834958	0.000265377808805	0.000080322548047	0.302672436738956	0.597650692369012	4	2	8	7	9	10	8	10	9	11	15	15	16	18	18	19	19	20	20	20	20	19	22	21	22	23	26	2	0	1	1	2	4	1	7	4	8	10	3	12	5	11	8	14	0	5	12	14	2	19	17	16	15	15	1	1	2	2	3	1	1	1	1	1	2	4	1	4	2	3	1	1	4	2	1	5	1	1	1	3	3
23500	-203.127096231001076	-201.714819560088131	-1.412276670912950	0.000216023037984	0.000082428461352	0.381572549489555	0.583161051090732	4	2	7	7	9	9	8	10	8	12	14	17	16	18	18	19	19	21	20	20	20	19	23	22	22	23	25	2	0	1	1	9	2	3	3	2	8	6	4	10	4	10	1	13	0	14	14	17	14	22	11	16	24	26	1	1	1	1	1	4	1	1	2	1	2	4	2	3	3	8	2	1	1	1	1	1	1	3	2	1	1
24000	-203.033826255330126	-201.527716611757825	-1.506109643572295	0.000181112481958	0.000052605923363	0.290459955022778	0.444418422006825	3	2	7	7	9	9	9	9	9	11	15	16	17	17	17	19	19	21	21	21	20	20	23	22	22	23	25	2	0	1	1	2	2	1	3	4	8	7	6	11	4	11	10	12	0	12	4	14	12	19	15	20	16	13	1	1	2	3	3	4	3	1	1	1	3	4	1	3	1	4	2	1	2	7	1	2	1	2	1	3	4
