step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54
15000	-317.653665481501491	-324.509153432460892	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613323097379018	-1	0	2	2	4	1	3	3	6	6	3	5	7	7	5	6	5	7	8	7	10	9	9	9	11	12	14	14	15	16	16	16	16	13	18	18	19	19	19	20	21	24	22	21	21	21	22	22	24	25	27	27	27	28	0	1	1	2	11	1	6	1	3	4	6	7	4	10	4	11	5	9	10	4	1	13	17	10	23	21	21	21	27	34	21	34	28	21	0	33	32	34	35	36	36	38	46	39	38	39	41	38	48	39	49	48	48	52	1	1	2	1	1	1	2	2	2	2	2	1	3	1	1	2	1	1	1	3	5	1	2	2	1	1	2	2	1	2	2	1	1	1	1	1	3	3	1	1	2	3	1	1	1	1	1	1	1	3	2	3	1	1
15500	-329.089665482606620	-335.945153433566020	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.599621138834735	-1	1	2	3	4	2	3	3	6	9	4	6	6	6	6	8	7	8	7	8	11	10	9	9	11	12	14	14	14	15	17	18	16	14	16	18	19	21	19	21	20	23	22	20	21	20	22	22	24	24	28	24	24	27	0	1	1	2	6	1	6	1	3	14	6	6	4	2	2	17	11	13	4	14	22	10	17	13	17	20	10	14	24	34	29	33	30	26	0	33	30	32	35	36	33	32	46	39	32	39	41	32	42	44	48	48	42	42	1	1	2	1	1	1	1	1	2	2	1	2	1	3	3	1	2	1	1	1	1	1	1	1	2	1	3	3	2	1	1	1	1	1	1	1	2	2	3	3	2	3	2	1	2	1	1	2	1	2	3	1	1	1
16000	-313.999547898710944	-320.855035849670344	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.633760438929958	-1	1	3	3	4	2	4	3	5	8	4	5	5	5	5	7	6	7	8	8	9	11	9	9	12	12	13	14	13	14	15	17	16	17	17	18	18	21	19	20	22	23	22	21	20	21	23	22	23	24	27	27	26	27	0	1	1	2	6	2	6	1	3	13	6	6	2	4	2	12	11	15	13	13	14	15	5	4	23	20	21	20	24	26	27	30	30	30	0	33	34	45	35	36	36	48	46	39	32	39	36	34	48	44	49	48	42	38	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	3	3	2	3	2	5	2	1	1	3	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	2	2	2	4
16500	-304.678503551644667	-311.533991502604067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699875036110758	-1	0	3	1	5	2	4	3	6	7	4	6	5	6	6	6	5	4	8	8	10	10	9	9	11	13	11	13	15	14	17	17	16	16	17	18	20	20	19	20	21	22	22	21	22	20	23	23	24	24	28	25	27	28	0	1	1	1	11	1	6	1	3	14	6	6	2	18	18	11	11	4	13	9	15	14	17	14	17	21	21	20	27	26	27	30	30	30	0	33	34	32	35	34	33	38	46	39	38	39	41	42	38	44	49	48	48	52	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	2	2	3	2	3	1	1	3	2	1	2	1	1	2	1	1	2	2	1	2	2	1	1	2	1	1	1	1	2	1	2	2	1	2
17000	-294.040880324506361	-300.896368275465761	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.721131874512428	-1	0	2	3	3	1	3	3	6	9	5	4	6	6	5	7	6	8	8	9	10	10	9	10	10	12	13	14	14	16	16	18	17	16	17	19	19	20	19	20	21	22	22	21	20	20	21	23	23	24	27	27	26	28	0	1	1	2	6	1	6	1	3	13	5	7	4	4	4	11	11	14	14	4	20	14	17	13	23	15	13	20	21	26	29	30	34	28	0	34	30	32	35	30	36	38	46	39	32	39	40	42	38	44	49	53	42	53	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	3	1	1	1	1	1	4	3	3	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1
17500	-294.205317335791449	-301.060805286750849	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636357668968353	-1	0	1	3	3	2	4	3	6	8	5	5	6	6	5	7	6	7	8	8	10	10	9	9	12	12	12	15	14	16	17	18	16	16	18	18	19	20	19	20	22	21	22	21	19	21	22	23	24	23	27	26	25	27	0	1	1	2	6	1	6	1	3	4	5	6	15	2	4	11	11	15	14	4	13	13	17	2	11	20	24	26	27	26	29	30	22	26	0	33	34	45	35	36	36	34	46	39	34	39	33	42	42	44	49	53	48	53	1	1	1	2	1	2	1	2	2	2	1	2	1	4	1	1	1	1	1	2	1	2	2	3	3	2	2	2	1	2	2	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	2	2	1	1	1
18000	-305.724410678999675	-312.579898629959075	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673087112221209	-1	0	2	2	3	1	3	4	6	9	5	5	7	6	5	6	7	8	8	9	11	10	9	9	11	13	11	15	14	15	15	17	16	17	18	18	19	19	19	21	21	21	20	20	21	22	23	23	23	23	27	27	25	28	0	1	2	2	6	1	6	1	3	14	5	7	14	3	4	11	11	14	13	14	22	13	17	13	23	20	14	20	27	26	22	30	30	20	0	33	34	32	35	36	34	38	39	35	38	43	41	42	42	46	49	42	48	52	1	1	1	1	1	1	1	3	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	3	2	2	1	2	2	1	3	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	3	3	1	1
18500	-292.954126789975192	-299.809614740934592	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670033709986443	-1	0	1	2	4	2	4	3	7	8	5	4	5	6	6	7	6	8	8	8	9	11	9	9	10	12	14	14	15	14	16	17	16	15	18	18	18	19	19	19	21	23	21	22	21	22	23	21	23	24	28	27	26	27	0	1	1	2	6	1	6	1	13	14	5	6	4	13	4	11	11	4	15	14	18	14	17	15	23	20	21	20	27	20	29	34	34	20	0	33	34	32	35	30	36	38	39	39	38	43	41	38	48	44	49	48	48	53	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	1	2	3	3	1	3	1	1	1	4	1	2	1	1	1	2	2	2	1	2	1	1	1	1	1	1	3	3	2	1
19000	-268.455900778348109	-275.311388729307509	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.701835158033647	-1	0	2	2	3	1	4	4	6	6	5	4	4	5	6	7	7	7	8	8	11	10	10	9	11	12	12	14	15	17	16	17	17	15	19	18	19	20	20	20	21	24	21	22	21	22	23	22	24	24	27	28	26	27	0	1	1	2	6	1	6	2	3	13	5	6	2	4	14	11	11	14	10	13	24	14	17	15	23	22	22	26	27	34	27	34	34	26	0	33	30	32	35	36	36	48	39	39	38	43	41	38	48	39	49	48	42	53	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	1	1
19500	-272.006305670837719	-278.861793621797119	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.881194960343491	0	1	2	2	4	2	3	3	6	8	5	6	6	6	5	7	6	6	9	8	11	10	8	9	10	12	13	13	14	17	16	18	17	16	17	19	20	20	19	20	21	23	20	21	20	21	23	21	23	23	26	26	26	28	0	1	1	2	6	1	6	1	3	13	5	6	4	2	4	11	11	15	14	13	19	19	17	13	17	20	26	26	27	34	29	34	34	26	0	34	30	30	35	33	36	48	39	39	32	43	41	38	48	44	49	48	42	52	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1
20000	-297.868059925822422	-304.723547876781822	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594415513326032	0	1	2	3	5	2	3	3	6	8	3	5	7	6	5	7	6	8	8	8	11	8	10	9	11	12	11	13	13	15	15	17	16	15	18	19	19	19	19	18	21	23	20	22	20	22	23	22	24	24	28	27	25	27	0	1	1	2	11	1	6	1	3	14	6	6	4	3	2	5	11	13	14	15	24	4	17	22	17	20	24	20	27	20	29	30	30	26	0	33	30	30	35	33	36	48	39	39	38	43	36	38	30	46	49	42	42	53	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	1	2	1	2	2	1	2	2	1	2	1	4	2	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	4	2	2	2	1	1
20500	-304.153990113818622	-311.009478064778023	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660461444132493	-1	0	1	2	5	2	3	3	6	9	4	4	6	6	6	7	7	7	7	8	11	11	10	10	10	12	13	14	14	16	16	18	17	17	17	19	19	20	19	19	22	23	19	20	22	21	24	22	23	25	26	26	26	28	0	1	1	2	11	1	6	1	1	19	6	7	4	4	4	11	11	15	14	14	24	24	17	9	17	20	24	26	27	26	29	34	30	10	0	33	34	32	35	34	33	48	35	39	34	43	40	38	45	44	49	42	48	53	1	1	1	1	1	1	1	2	3	2	1	1	2	3	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	5	1	1	1	1	2	1	3	1	1	1	2	2	3	1	1	2	2	2	2	1
21000	-329.780251903066642	-336.635739854026042	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519914114981433	0	1	3	3	5	2	4	3	6	8	3	6	5	6	5	8	6	7	8	8	11	11	9	8	10	13	13	12	14	15	16	18	16	16	18	17	20	20	19	20	21	24	20	21	22	22	24	22	23	25	27	27	26	28	0	1	1	2	11	1	6	1	1	4	6	7	2	4	4	5	11	9	14	4	1	8	17	13	17	22	22	20	27	21	27	34	22	28	0	30	34	32	35	30	40	48	39	39	34	43	41	38	38	44	49	48	45	53	1	1	1	1	2	1	1	1	3	3	1	1	2	1	2	2	1	1	2	2	5	3	2	2	2	1	2	3	1	3	2	1	1	2	1	1	2	2	1	3	1	2	1	1	2	1	1	1	2	2	2	3	2	1
21500	-284.006782630996156	-290.862270581955556	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702211256084521	-1	1	1	3	3	2	3	3	6	8	5	5	6	6	5	7	7	8	9	8	10	10	7	9	11	12	13	13	15	17	17	17	16	14	18	18	20	19	19	20	21	22	21	21	21	22	24	23	23	25	27	27	26	28	0	1	1	2	6	1	6	1	3	14	5	6	15	4	4	11	11	15	4	4	13	19	11	13	17	20	24	26	27	34	27	34	34	26	0	33	30	30	35	36	36	38	39	39	38	43	40	42	42	44	49	48	42	53	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	3	2	2	1	1	1	2	2	2	1	1	2	3	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	2	2	3	1
22000	-311.809922354758498	-318.665410305717899	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657741101068354	-1	1	1	3	5	2	3	2	5	7	3	6	6	5	6	8	6	7	7	9	9	11	8	10	12	10	13	14	15	16	17	18	17	16	18	18	19	20	20	19	21	23	21	21	21	22	24	22	23	25	27	27	27	28	0	1	1	2	11	1	6	1	3	14	6	6	14	4	4	6	11	2	2	18	10	14	17	18	23	20	21	26	27	20	29	34	34	28	0	33	30	32	35	33	36	32	39	39	38	43	41	38	38	44	42	42	42	53	1	1	1	1	1	2	1	1	2	1	1	3	1	1	2	3	2	3	3	1	1	2	1	2	2	1	2	2	1	4	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	2	2	2	2	4	2	2	1
22500	-284.174717589724139	-291.030205540683539	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.699726131048416	-1	0	2	2	5	2	3	4	7	8	4	4	6	5	4	8	6	8	8	9	10	8	9	9	12	11	13	15	15	17	16	18	17	15	17	19	20	20	19	21	21	21	21	21	21	22	24	23	23	25	27	27	25	27	0	1	1	2	11	1	6	4	3	14	6	6	4	2	4	11	11	15	13	13	18	4	17	18	23	13	24	26	27	34	27	34	34	26	0	34	34	32	35	36	36	32	39	39	38	43	36	42	42	44	49	53	48	53	1	1	1	1	1	2	1	1	3	2	1	1	2	2	1	1	1	2	1	1	1	2	2	1	2	3	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	2	2	1	1	1
23000	-294.229605088185735	-301.085093039145136	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667851757994185	-1	0	2	2	5	2	4	2	5	8	4	6	6	6	6	7	6	7	8	8	11	10	7	9	11	12	14	14	12	16	15	17	16	15	18	17	20	20	19	20	20	22	21	20	21	22	23	23	24	25	27	28	25	27	0	1	1	2	11	2	6	1	3	13	6	6	4	4	4	5	11	14	14	14	24	13	17	14	17	20	29	26	24	26	27	34	26	26	0	33	33	32	35	36	36	41	39	39	38	43	41	42	42	44	49	54	42	53	1	1	2	1	1	1	1	2	2	1	1	3	1	2	2	1	2	1	1	1	1	2	1	1	3	2	1	1	2	2	1	1	3	2	1	1	3	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	2	2
23500	-303.126422740886142	-309.981910691845542	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.759981696546044	-1	0	1	2	5	1	2	4	6	9	3	5	6	6	4	8	7	7	8	8	10	9	10	8	12	12	14	15	12	17	16	16	15	16	18	19	19	19	19	19	22	24	21	21	20	20	21	21	23	25	27	27	26	28	0	1	1	2	11	1	6	1	3	13	6	6	4	15	2	5	5	4	14	13	14	13	17	13	17	20	29	26	21	33	29	26	15	26	0	33	34	32	35	34	36	48	46	39	38	39	36	38	48	44	49	42	42	53	1	1	1	1	1	1	1	2	2	1	1	2	2	1	3	1	1	3	1	1	2	1	2	1	2	2	1	2	2	1	2	2	4	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1
24000	-282.657213646624825	-289.512701597584226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559881046734074	-1	1	1	2	4	3	4	4	4	9	5	5	6	6	5	7	7	7	8	8	11	11	9	9	11	12	13	14	14	17	17	18	16	14	18	19	19	20	19	20	21	24	21	21	20	22	22	22	24	24	27	27	26	28	0	1	1	2	6	1	6	1	3	19	5	7	4	4	2	11	11	4	13	4	24	15	17	14	23	13	22	26	27	34	27	22	34	26	0	32	30	32	35	36	33	48	39	39	32	43	36	32	48	35	49	42	48	53	1	1	1	1	1	2	1	2	2	1	1	1	2	3	2	1	1	2	1	3	1	3	1	2	2	3	1	1	1	2	2	4	1	1	1	1	2	1	1	1	3	1	1	1	1	1	2	2	1	4	2	2	2	1
24500	-283.843501999071179	-290.698989950030580	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.717103886643603	0	1	3	2	4	3	4	2	5	9	5	5	4	6	5	7	6	6	8	9	10	9	9	9	11	12	13	13	15	15	16	18	16	16	19	18	19	20	20	20	21	23	21	22	22	22	23	22	21	24	26	28	26	28	0	1	4	2	6	1	6	1	3	18	5	7	4	4	4	11	11	4	15	14	22	13	17	18	23	19	22	20	27	28	27	34	30	30	0	33	30	32	35	36	33	48	39	39	38	43	41	38	38	44	49	53	48	53	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1
25000	-291.775739281260371	-298.631227232219771	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.750981380393863	-1	1	2	3	5	3	4	3	7	7	4	5	6	5	5	7	6	8	8	8	10	10	9	9	11	12	13	14	15	14	17	18	15	16	18	17	20	19	19	20	21	24	21	21	20	22	22	22	23	25	27	28	26	28	0	1	2	2	11	1	6	2	3	4	6	6	4	4	8	11	11	13	10	14	18	14	17	14	23	20	21	24	21	13	27	30	30	30	0	33	30	32	35	36	36	48	39	39	38	43	41	38	48	44	49	53	42	53	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	2	2	2	1	1	1	1	3	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	1	1
25500	-282.567783330570762	-289.423271281530162	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.771506023473644	-1	0	3	3	4	2	3	1	6	7	5	6	6	5	5	7	6	7	8	8	11	9	8	8	11	12	12	15	15	15	16	18	17	17	18	18	19	21	19	20	21	23	21	21	20	20	20	22	23	25	27	24	25	27	0	1	1	2	6	1	6	1	3	13	5	6	2	3	4	11	11	13	14	13	24	4	17	9	23	20	24	26	27	26	29	34	30	30	0	30	30	45	35	36	30	48	46	39	32	39	36	38	48	44	49	48	52	53	1	1	2	2	1	2	1	1	2	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	2	2	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1
26000	-324.510788549575807	-331.366276500535207	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590919873267182	-2	0	1	2	4	2	4	4	7	8	5	5	3	6	4	8	6	7	9	8	10	9	8	8	12	11	13	13	14	16	16	18	16	15	17	19	19	20	19	20	22	23	22	22	20	21	23	22	23	23	28	27	26	27	0	1	1	2	6	1	6	13	13	4	5	6	2	4	4	11	11	13	20	13	14	18	17	4	23	24	24	20	27	28	29	34	34	26	0	26	30	33	35	30	40	48	46	39	32	39	36	38	38	39	49	53	48	53	1	1	2	1	1	2	2	1	2	2	1	1	1	2	1	2	1	1	1	3	1	1	1	3	2	1	3	3	1	1	1	1	1	2	1	3	2	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	2	1
26500	-307.988233055708974	-314.843721006668375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637897552833595	-1	0	2	3	4	2	4	3	7	6	4	5	6	6	6	8	6	7	8	8	10	10	9	8	10	12	13	14	14	16	16	17	17	15	18	19	19	18	19	21	21	24	20	21	20	22	23	20	24	24	28	27	24	27	0	1	1	2	6	1	6	1	3	4	6	6	4	1	4	5	5	15	15	13	24	4	17	18	17	14	24	26	14	34	22	34	30	22	0	33	26	30	35	36	36	48	39	39	38	43	41	38	48	44	49	53	48	53	1	1	1	1	1	1	1	2	2	1	1	2	2	4	2	1	1	1	1	1	1	4	2	1	1	3	2	1	3	1	2	1	1	2	1	1	3	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	1	1
27000	-277.569445700152698	-284.424933651112099	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657191830403748	-1	1	2	3	5	1	3	3	6	7	4	5	7	5	5	7	6	7	8	7	10	10	10	10	12	12	12	14	15	16	16	17	16	15	18	17	20	19	19	21	22	24	22	21	21	21	24	21	23	25	27	26	26	28	0	1	1	2	11	1	6	3	3	14	6	6	15	2	4	5	11	4	13	14	9	13	17	4	23	22	24	26	27	34	29	34	34	26	0	34	30	32	35	34	36	48	46	39	38	39	41	38	48	44	49	42	42	53	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	1	2	2	1	2	4	2	1	1	1	2	1	1	1	1	2	1	1	3	1	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1
27500	-282.831027237221690	-289.686515188181090	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.797251825578884	-1	0	1	2	4	1	3	4	7	8	3	6	6	6	4	8	6	8	9	9	11	7	8	9	12	13	12	13	14	15	16	17	17	17	18	18	20	20	19	21	22	23	22	21	21	20	23	22	23	24	27	27	25	28	0	1	1	2	11	1	6	1	3	22	6	6	2	4	4	17	11	14	14	14	24	4	17	14	23	10	24	20	27	26	27	30	30	30	0	33	34	32	35	36	36	48	46	39	38	39	41	38	48	44	49	42	42	53	1	1	1	1	1	1	1	2	2	1	1	1	3	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	1	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1
28000	-298.645812074917103	-305.501300025876503	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.618571344758152	0	1	2	3	5	2	3	3	6	7	4	6	7	6	5	7	7	8	9	7	10	11	9	9	12	12	13	13	14	16	16	18	17	16	18	19	20	21	19	20	21	23	22	20	22	20	24	22	23	24	26	25	26	27	0	1	1	2	11	1	6	3	3	4	6	6	2	4	4	11	11	15	10	2	20	10	17	18	17	22	22	22	27	26	29	34	34	13	0	33	34	30	35	36	36	32	46	39	38	39	36	38	38	44	49	38	45	42	1	1	1	1	1	1	1	1	2	2	1	2	3	1	1	1	2	2	1	3	1	2	1	1	2	1	1	1	1	2	1	1	1	4	1	1	2	3	1	1	1	3	1	1	1	1	2	1	1	2	2	1	2	3
28500	-310.959646656490747	-317.815134607450148	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718714635752106	-1	0	2	2	5	1	3	4	7	9	4	5	6	5	5	7	7	7	8	8	10	10	8	9	10	12	14	14	15	15	16	18	16	17	17	18	20	20	19	20	21	24	22	22	22	20	23	22	23	23	27	27	26	27	0	1	1	2	11	1	6	4	3	13	6	6	14	4	2	5	11	14	14	15	24	13	11	13	11	20	20	26	27	26	29	30	30	26	0	33	34	32	35	33	36	48	46	46	38	39	41	36	32	39	49	53	48	53	1	1	1	1	1	1	1	1	3	1	2	2	1	2	2	1	2	1	1	2	1	2	3	1	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1	3	1	1	1	1	1	1	1	3	3	2	2	1	2	1
29000	-274.144767706613948	-281.000255657573348	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762381019769805	-1	1	2	3	4	3	4	4	6	7	5	5	7	5	5	6	6	7	8	9	10	10	8	9	11	13	12	15	14	15	16	16	17	15	18	18	19	19	20	20	21	23	22	21	21	21	23	21	23	24	26	24	26	27	0	1	1	2	6	1	6	2	3	14	5	7	2	2	2	11	11	14	10	10	24	13	17	13	23	20	24	26	27	26	29	34	34	20	0	33	30	32	35	36	40	48	46	39	38	39	41	38	48	44	49	42	52	53	1	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1
29500	-279.743803299091553	-286.599291250050953	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.791114524043064	-1	1	3	3	5	2	3	3	5	8	4	4	6	6	5	8	7	8	9	9	10	10	8	10	11	11	13	14	15	16	16	17	17	15	17	18	19	19	18	20	21	24	21	21	21	20	24	21	24	25	27	26	26	27	0	1	1	2	11	1	6	2	3	14	6	6	4	4	4	11	11	13	14	14	10	10	17	4	23	20	24	24	27	34	29	30	34	26	0	33	30	34	35	36	36	48	46	39	38	39	41	38	48	44	49	48	42	53	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	3	2	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	2	1	1	2	2	3	1	1
30000	-283.005314196084726	-289.860802147044126	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647094976044915	-1	0	1	2	4	2	3	4	6	8	5	6	5	6	6	7	6	8	9	8	10	9	8	8	11	12	13	14	14	15	17	17	17	16	17	18	19	19	19	20	21	22	21	21	21	22	22	21	23	23	28	24	26	28	0	1	1	2	6	1	6	1	3	9	5	6	4	4	8	11	11	15	10	13	14	4	17	14	23	20	24	26	27	26	29	30	34	26	0	34	34	34	35	36	36	48	39	39	38	43	41	32	48	44	49	42	52	53	1	1	1	1	1	2	1	2	3	1	1	2	1	2	1	1	1	1	1	1	2	3	1	1	2	2	2	1	1	2	2	2	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1
30500	-291.984599543461172	-298.840087494420573	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.708104864404666	-1	1	2	2	3	2	4	3	7	7	4	6	6	6	5	8	7	6	9	8	11	10	9	9	12	12	11	15	13	16	16	18	17	15	17	19	19	20	19	21	22	24	21	22	22	22	24	22	24	24	27	27	25	26	0	1	1	2	6	1	6	1	3	13	5	6	4	2	4	11	11	15	10	4	19	13	17	15	23	22	24	26	27	34	29	30	34	20	0	34	34	32	35	36	36	48	39	39	38	43	41	38	48	35	49	54	48	53	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	1	1	2	3	1	2	2	1	2	1	1	2	1	1	2	1	1	3	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	4	2	1	1	1
31000	-292.550617388244518	-299.406105339203918	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736838103155363	-1	1	2	2	4	2	4	3	6	5	5	6	7	5	4	7	7	7	8	9	9	11	10	9	11	12	13	14	14	15	17	17	16	16	17	17	19	19	19	20	22	24	20	21	21	22	23	22	24	25	27	27	25	28	0	1	1	2	6	1	6	1	3	4	5	7	10	4	4	11	11	15	4	14	13	14	17	13	17	14	24	26	27	22	29	30	20	30	0	30	33	32	35	36	36	48	39	39	30	43	40	38	48	44	49	48	42	42	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	3	2	1	2	1	1	2	3	2	1	1	2	1	1	3	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	2	1	2	1	2
