step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
24000	-57.306198045372298	-55.537798450422294	-1.768399594950006	0.000147996396417	0.000027279283611	0.184323971879374	0.651133236412057	0	3	6	4	4	5	4	5	6	7	6	0	1	4	2	1	4	2	2	6	6	8	1	1	2	1	2	1	1	1	1	1	1
24500	-52.567402439444834	-50.967781346294323	-1.599621093150512	0.000102135235266	0.000024531549523	0.240186939002695	0.668430805981631	0	2	6	2	2	4	4	6	5	7	9	0	1	4	1	1	4	4	2	6	6	8	1	1	2	1	1	1	1	2	1	1	2
25000	-47.506768015290412	-46.102554365397111	-1.404213649893300	0.000105673932117	0.000041665084120	0.394279679813723	0.933838182182365	1	2	4	3	3	4	5	5	5	8	9	0	1	4	1	1	4	4	5	6	7	8	1	1	1	1	1	1	1	1	1	1	2
25500	-46.594663894944070	-45.233549985002355	-1.361113909941712	0.000099322938372	0.000058297150176	0.586945484418164	0.965510055668663	0	1	5	3	4	5	5	5	6	6	7	0	1	4	2	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
26000	-51.315988776389730	-49.923714128667058	-1.392274647722669	0.000045883358453	0.000019108650782	0.416461467214006	0.904889161637523	0	3	5	2	4	5	5	5	6	7	7	0	1	4	1	2	4	4	5	6	3	8	1	1	1	1	1	2	1	1	1	1	1
26500	-51.403656447909306	-49.129220429862528	-2.274436018046780	0.000110809482987	0.000011653822000	0.105169897786835	0.882417517293273	0	2	4	2	4	4	4	5	5	8	8	0	1	4	1	2	4	4	5	3	6	8	1	1	2	1	1	1	1	1	1	2	2
27000	-41.963641557024012	-40.560339382444980	-1.403302174579031	0.000048151802764	0.000019059246132	0.395815837369314	0.843362875678818	1	2	5	3	4	4	4	6	5	7	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
27500	-39.385810476193065	-37.686896694113038	-1.698913782080024	0.000083792944602	0.000017081301261	0.203851306836977	0.977204502373369	1	2	5	3	4	4	5	6	5	6	8	0	1	4	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
28000	-49.369708306830859	-48.006197852424130	-1.363510454406730	0.000109244801562	0.000056803847441	0.519968425308373	0.897570604776031	1	2	3	2	4	4	4	5	6	8	8	0	1	4	1	2	3	4	5	6	6	8	1	1	1	1	1	1	1	1	1	1	1
28500	-49.134870223255440	-47.704667943678253	-1.430202279577190	0.000081595318251	0.000074059607421	0.907645303779009	0.820423954298111	1	3	5	3	4	4	4	5	5	7	9	0	1	6	1	2	4	4	5	6	6	8	1	1	1	1	1	1	1	1	1	2	2
