step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
15500	-295.133431923359296	-293.407038641117651	-1.726393282241649	0.000374159524399	0.000073212124989	0.195670884246903	0.323396585466169	0	1	5	8	12	12	14	19	17	19	20	20	22	23	22	22	22	23	25	24	23	25	25	27	31	34	33	38	0	1	1	2	2	2	2	1	6	7	9	4	12	12	9	9	11	4	7	14	8	17	15	18	8	8	18	25	1	1	3	5	5	4	6	10	3	2	2	3	1	2	2	2	2	8	4	1	3	2	1	2	8	8	6	4
16000	-282.292571474185138	-280.549052140831861	-1.743519333353256	0.000458858086047	0.000087590270674	0.190887495147208	0.366871281467131	-2	2	5	8	11	12	12	19	17	18	18	20	21	23	20	23	22	22	24	23	24	25	25	30	31	34	32	39	0	1	1	1	1	1	2	9	5	5	9	11	8	11	10	10	2	11	9	13	17	8	9	17	5	6	17	25	1	1	3	6	6	7	6	2	3	3	1	2	1	3	1	3	10	2	4	1	1	3	3	5	10	10	7	3
16500	-309.716617835706757	-308.048693725634564	-1.667924110072170	0.000462133138133	0.000098862434604	0.213926304881196	0.355763794241267	0	2	5	7	11	12	14	20	17	17	18	20	20	23	22	22	23	22	24	23	22	26	24	29	32	34	35	38	0	1	1	2	2	2	4	9	3	5	10	11	11	18	12	10	18	8	18	15	5	14	18	21	9	5	5	25	1	1	3	3	4	5	4	2	7	4	1	1	1	1	1	3	1	1	1	1	3	2	1	3	8	13	12	3
17000	-284.453948052778060	-282.835918718305834	-1.618029334472248	0.000450152381295	0.000104644604461	0.232464847036993	0.316940744541113	0	2	6	7	11	12	15	20	17	19	21	20	21	21	23	22	22	21	24	23	24	26	24	29	32	34	33	37	0	1	2	2	1	2	2	3	6	6	4	2	3	9	10	10	9	6	16	14	8	23	17	21	13	12	13	26	1	1	3	3	7	4	8	6	3	3	6	9	8	2	2	1	2	5	1	1	2	1	2	2	3	8	6	1
17500	-341.692010266037755	-340.030723530352930	-1.661286735684844	0.000538956099090	0.000116530713078	0.216215593950184	0.212655049427814	0	2	6	9	12	11	15	18	17	19	17	20	22	23	22	21	20	22	23	22	23	26	25	30	30	34	33	37	0	1	1	1	1	1	1	3	3	3	3	9	3	17	16	12	10	9	10	12	10	17	15	6	7	18	18	27	1	2	3	5	6	5	6	6	4	7	5	1	8	2	1	1	1	4	2	1	2	3	1	7	8	4	7	2
18000	-279.501704384475033	-277.781001133295206	-1.720703251179801	0.000437970554322	0.000086416732061	0.197311739815570	0.254715548034139	0	3	7	7	11	10	13	19	17	18	21	20	21	21	23	21	23	22	25	23	25	25	24	29	30	34	34	39	0	1	2	1	3	1	2	3	4	3	2	10	2	10	18	9	16	14	18	18	11	9	18	8	8	11	11	8	1	1	2	3	2	6	5	8	3	5	11	1	8	1	1	2	1	1	1	1	2	6	1	7	6	7	5	9
18500	-289.478632381856130	-287.823051574039027	-1.655580807817122	0.000464729831721	0.000101415102136	0.218223783397667	0.220785399317624	-1	3	6	8	12	12	13	19	17	17	21	20	20	23	20	23	19	20	24	23	24	26	25	30	31	33	33	38	0	1	2	2	2	3	2	2	4	5	4	5	10	9	3	10	10	9	20	13	8	10	20	8	15	8	11	25	1	2	1	3	5	3	6	7	4	2	7	4	2	3	7	3	1	2	1	2	3	6	1	6	6	8	6	4
19000	-310.230138877201455	-308.724171034633173	-1.505967842568307	0.000441152234783	0.000128179211152	0.290555506797619	0.208174395387528	-1	3	7	7	12	12	13	20	18	15	19	19	20	23	21	22	23	20	23	21	24	26	23	29	31	32	33	38	0	1	1	1	1	1	2	2	3	7	2	10	10	15	12	7	15	12	13	13	8	13	13	21	5	6	5	7	1	2	5	4	7	7	4	7	6	2	6	2	2	1	2	5	1	1	2	1	2	3	1	2	7	9	10	9
19500	-270.843742173844021	-269.181387503757549	-1.662354670086499	0.000415688503104	0.000089723830296	0.215843906256436	0.250814253799780	-1	3	6	8	12	12	13	20	17	16	20	19	20	23	23	22	22	22	24	23	24	26	25	29	31	34	35	39	0	1	1	1	2	1	2	2	4	5	3	9	3	9	17	10	9	12	17	12	11	23	20	11	11	8	8	11	1	2	3	3	6	7	5	9	4	2	8	1	7	2	1	4	2	2	1	3	2	1	1	5	6	8	5	7
20000	-261.478959540420931	-259.881447556660191	-1.597511983760761	0.000312289413992	0.000075295171940	0.241107026261361	0.349993281602818	-1	2	7	8	9	10	14	20	18	18	20	21	20	22	23	23	22	21	24	23	23	26	26	29	30	34	33	38	0	1	2	1	2	5	5	1	4	4	7	9	10	12	13	17	10	9	17	13	8	15	14	8	8	8	8	8	1	1	2	4	3	1	2	12	4	4	4	1	2	1	2	1	3	3	1	1	1	2	2	5	4	8	7	10
20500	-285.797337677740700	-284.218869485672542	-1.578468192068176	0.000385973917358	0.000096407139141	0.249776305614183	0.313776714384143	0	2	6	7	12	11	15	20	18	18	21	21	21	19	22	23	22	22	24	23	23	25	25	30	31	34	33	37	0	1	1	2	1	2	1	2	3	4	2	14	14	4	12	12	10	10	18	12	11	15	17	21	11	8	11	8	1	1	2	2	5	5	7	8	8	7	8	1	1	4	1	1	2	2	1	1	1	1	1	4	5	8	6	8
21000	-301.211955422919004	-299.545962922692524	-1.665992500226507	0.000392173262851	0.000084155461828	0.214587453555193	0.189742266050829	0	2	7	8	11	12	13	18	17	18	21	18	22	21	22	21	22	22	24	22	24	25	25	30	30	33	33	39	0	1	1	1	1	2	1	1	3	4	6	4	3	3	2	10	12	16	18	10	8	18	20	13	15	15	15	13	1	2	4	5	5	4	7	7	6	5	7	5	8	8	10	2	2	1	2	2	3	2	2	5	5	5	6	8
21500	-296.421277102510146	-294.829111686690624	-1.592165415819498	0.000475809811933	0.000115847325028	0.243474014453688	0.245299249653619	0	3	7	7	11	12	14	19	17	17	20	21	21	22	22	21	23	22	23	20	24	26	25	30	32	33	35	39	0	1	2	1	1	2	2	2	4	7	3	3	10	3	2	2	10	10	10	10	8	13	13	15	12	11	11	15	1	1	2	4	7	6	5	8	6	2	7	7	3	4	8	8	3	3	2	1	2	4	2	3	5	5	7	9
22000	-256.958142576222883	-255.366039621614874	-1.592102954607988	0.000360360630009	0.000087748521582	0.243501965184977	0.253538166864461	-1	3	7	9	11	11	14	19	17	18	20	20	22	22	23	22	19	22	24	23	25	25	26	29	32	35	34	38	0	1	1	1	2	1	2	2	4	5	10	4	11	17	11	2	9	17	17	11	16	14	4	16	16	16	16	12	1	2	4	4	4	5	5	6	4	4	1	7	1	1	1	10	1	2	3	1	2	1	6	3	6	6	6	10
22500	-291.014703210877542	-289.421062225769276	-1.593640985108250	0.000402450259708	0.000097721256111	0.242815736240772	0.186655215131037	-1	3	6	7	11	12	12	17	17	17	20	20	22	20	23	21	22	22	24	23	24	26	25	29	31	34	33	38	0	1	1	1	1	1	2	2	4	7	7	2	4	9	14	1	14	9	14	9	16	15	20	16	13	16	13	8	1	3	3	3	5	6	4	5	4	2	5	8	9	1	2	10	2	3	3	3	2	2	1	4	3	7	6	9
23000	-259.639851768819710	-257.758333668918795	-1.881518099900940	0.000469131697081	0.000074648323456	0.159120187189260	0.280752384345373	0	2	7	8	11	13	13	19	17	19	20	21	19	22	22	22	22	22	24	23	25	26	25	28	32	33	34	38	0	1	2	2	1	1	2	1	5	7	9	3	9	11	13	3	10	10	11	10	8	13	14	12	8	8	8	12	1	1	2	3	4	6	4	8	3	3	2	7	1	1	1	6	2	2	2	2	3	4	2	4	6	6	8	7
23500	-278.672349811459299	-276.739770555454868	-1.932579256004445	0.000377878012607	0.000056565131214	0.149691512411642	0.258172767743501	-1	2	7	8	12	12	15	20	18	18	20	21	21	23	23	22	22	20	25	22	25	24	25	29	32	35	35	38	0	1	1	2	1	2	2	2	4	3	4	1	10	17	3	10	13	10	17	13	15	13	18	12	15	12	12	15	1	2	5	4	5	5	5	7	4	5	5	10	3	1	10	2	1	1	2	1	2	2	2	3	5	6	6	6
