step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65
38000	-321.065796882019185	-327.921284832978586	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.668165600870312	0	1	3	4	4	2	4	3	5	7	6	2	3	4	5	6	5	5	6	4	6	6	7	7	8	10	9	9	9	11	9	11	10	10	11	11	11	12	10	11	11	11	10	9	12	12	12	12	13	12	13	14	13	13	14	15	14	15	16	18	17	16	17	18	18	0	1	1	13	8	2	8	1	2	5	18	2	2	13	8	3	3	6	18	8	13	14	19	16	21	44	23	16	24	21	21	43	44	27	29	39	39	25	25	26	26	31	44	21	28	35	35	41	32	35	31	54	31	46	53	47	50	55	56	50	58	56	56	62	56	1	1	2	1	1	1	1	3	2	2	1	1	2	1	2	3	2	3	1	1	1	1	1	1	2	1	1	1	2	4	2	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	4	1	1	1	1	2	2	1	1	2	2	1	2	1	3
38500	-280.325145516108591	-287.180633467067992	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746644003650594	0	2	3	3	4	4	4	4	5	7	6	5	5	3	5	6	7	5	6	6	6	5	7	8	8	9	9	9	10	9	9	11	10	10	11	11	11	12	13	11	11	11	10	12	11	11	12	13	13	13	13	14	13	12	14	15	15	15	16	17	17	16	17	18	19	0	1	2	2	4	14	4	14	3	5	18	7	14	2	14	2	9	6	18	22	15	8	19	9	13	25	23	24	28	25	25	43	26	27	24	30	30	30	30	26	26	26	31	32	28	29	35	41	42	35	42	54	41	46	53	47	50	55	56	57	58	56	62	63	56	1	2	1	1	1	1	1	1	2	2	1	1	2	1	2	4	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	1	1	2	1	1	2	2	2	1	2	2	1	1	3	2	1	1	2	2	1	1	1	1
39000	-295.495863090604757	-302.351351041564158	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.722192390743449	-1	1	3	4	4	4	4	2	5	7	5	5	5	6	5	6	7	6	6	5	6	3	7	8	9	8	8	9	10	9	10	11	10	9	11	11	11	12	13	11	11	10	9	12	12	12	12	13	12	13	13	14	11	12	14	13	15	15	16	18	17	17	17	18	19	0	1	2	8	8	22	8	2	3	14	6	7	4	12	22	9	9	11	11	2	13	8	19	16	26	21	23	24	24	13	43	43	43	27	29	30	25	30	25	31	26	26	26	32	28	24	35	41	43	46	32	54	26	35	53	47	50	55	56	57	58	56	56	63	63	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	2	2	3	3	1	1	2	1	1	2	3	1	2	2	1	2	2	2	1	2	1	2	1	2	3	2	1	2	1	2
39500	-302.583197131407189	-309.438685082366590	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.718618599827053	0	1	3	3	3	3	4	2	4	5	5	5	5	6	5	5	7	6	6	6	6	5	7	8	9	8	8	9	10	9	10	10	9	10	11	11	11	9	12	11	11	11	11	12	12	11	12	13	12	13	13	14	13	12	14	15	15	15	16	17	17	17	16	18	18	0	1	2	8	8	8	4	1	3	5	6	7	4	22	8	9	3	11	11	13	13	7	19	9	13	21	23	24	16	21	26	30	26	27	29	25	30	13	30	31	31	31	32	31	28	29	29	41	43	35	42	54	30	46	53	47	50	55	56	57	58	56	56	62	56	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	1	2	1	1	1	1	1	1	3	4	1	1	1	4	3	2	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	3	2	1	1	2	2	1	1	1	2
40000	-304.173481416736990	-311.028969367696391	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637514342829763	0	2	3	3	4	4	4	2	4	7	5	4	5	5	4	6	6	6	6	6	6	6	7	8	9	8	9	9	9	10	9	10	10	10	11	11	11	12	13	11	11	10	11	12	12	12	11	12	13	13	13	14	12	12	14	15	15	15	16	18	17	16	17	18	19	0	1	2	8	4	8	4	1	3	5	6	8	12	4	4	12	9	11	6	13	13	8	19	16	13	21	23	24	24	21	26	25	25	27	22	30	30	30	37	26	31	31	32	32	28	35	29	41	43	47	42	54	41	35	53	47	46	55	56	50	58	56	56	62	63	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	2	1	2	2	1	2	1	1	4	1	1	1	1	4	1	1	2	1	2	2	1	1	2	3	1	2	1	2	2	2	2	1	1	1	2	1	1	1	4	2	1	1	2	2
40500	-303.105838531548045	-309.961326482507445	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666946582374193	0	1	3	2	4	4	4	3	4	7	5	5	3	5	5	6	7	6	6	6	6	5	7	8	9	8	9	9	10	8	10	10	9	10	11	11	11	10	13	11	11	11	11	12	12	12	12	13	13	13	13	14	13	12	14	14	12	14	15	18	16	16	17	17	19	0	1	2	1	4	4	8	4	3	5	6	7	4	7	8	9	22	11	11	22	13	4	19	16	14	21	23	24	24	21	33	26	26	27	24	30	30	25	25	31	32	26	33	32	28	35	35	41	43	57	42	54	32	35	53	47	35	53	56	46	58	47	56	62	59	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	1	3	2	2	1	2	2	1	2	1	1	2	2	2	1	3	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	4	2	3	3	1	2
41000	-311.201431301166224	-318.056919252125624	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638120513195279	-3	1	2	2	4	3	4	4	5	7	6	5	5	6	5	6	7	6	5	6	6	3	7	8	9	8	8	8	10	11	9	9	10	10	11	11	11	12	13	11	11	10	11	12	12	12	12	13	11	13	13	14	12	13	13	14	12	14	16	17	17	17	17	18	18	0	1	2	2	22	4	4	4	3	5	6	7	8	8	22	9	9	19	6	13	13	4	19	3	13	21	23	9	9	25	26	26	26	27	29	25	25	30	37	31	25	26	32	43	28	35	35	41	32	46	42	54	33	57	53	47	29	55	56	57	55	56	59	62	63	1	2	1	1	1	1	1	1	2	2	3	1	1	1	2	1	2	1	2	1	1	1	2	4	2	2	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	4	3	2	1	1	1
41500	-276.165091674212590	-283.020579625171990	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.822421276127741	0	1	3	2	4	4	4	4	5	5	5	5	5	3	5	6	7	6	6	6	6	6	7	8	8	9	9	8	10	11	10	11	10	10	11	11	11	12	13	11	11	11	10	12	12	12	12	13	12	13	13	14	14	13	14	14	12	15	16	17	17	17	17	16	18	0	1	4	2	4	4	14	14	7	5	6	7	8	4	4	9	9	11	11	13	13	4	19	16	13	13	23	16	24	25	26	43	26	27	29	25	25	30	30	31	26	31	26	32	28	35	35	41	32	57	42	54	26	46	48	47	35	55	56	50	58	56	59	56	63	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	2	3	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1	2	1	1	2	2	2	2	1	2	1
42000	-292.368670489205272	-299.224158440164672	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600041859826095	0	2	3	3	4	4	4	4	5	6	3	5	5	6	5	6	6	6	6	6	6	5	7	8	8	9	9	8	10	9	10	11	10	8	11	10	10	12	13	11	10	11	10	12	12	12	12	13	13	13	13	14	14	12	14	15	12	15	16	16	17	16	17	18	18	0	1	2	2	4	11	4	4	3	5	2	7	4	8	4	3	9	11	11	13	13	8	18	16	13	21	19	16	28	25	26	43	26	19	24	25	25	36	13	26	26	26	26	32	35	35	29	41	32	57	42	54	48	35	39	47	35	55	56	35	58	56	62	56	63	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	2	1	1	1	1	2	3	2	2	2	2	1	1	1	1	1	2	2	1	2	4	2	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	2	1	1	1	2	2	1	1	2	1
42500	-311.463631799581435	-318.319119750540835	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626974529594027	0	2	3	3	4	4	4	4	4	7	5	2	5	5	5	6	6	6	6	6	6	6	7	8	6	9	9	9	9	11	10	11	10	10	11	9	11	12	10	11	11	10	10	12	12	12	12	13	11	13	12	14	14	12	14	15	15	15	16	18	17	17	17	18	19	0	1	2	2	4	2	12	4	3	5	6	1	8	8	4	7	3	11	11	13	13	14	11	16	8	21	23	24	16	36	26	43	26	23	29	4	39	36	10	26	26	26	26	43	28	35	35	51	26	45	42	54	48	35	48	47	50	55	56	50	58	56	56	62	56	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	2	5	1	1	3	1	1	1	1	1	3	1	1	1	1	1	2	2	1	1	1	1	2	1	1	3	1	2	2	1	3
43000	-296.798675558480227	-303.654163509439627	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695077083522549	0	1	3	2	4	3	4	3	5	6	5	5	5	4	5	6	6	6	6	6	6	6	7	8	9	10	9	9	10	10	10	9	10	10	11	11	11	12	10	10	11	11	11	11	11	12	12	13	13	13	13	14	13	12	14	15	15	15	16	18	15	16	17	17	19	0	1	1	1	8	4	8	4	3	5	6	7	14	1	3	9	9	11	11	14	14	12	11	16	13	32	23	16	24	25	32	21	32	27	29	39	30	30	14	32	31	32	31	31	29	35	35	41	43	28	42	54	32	35	53	47	46	53	56	50	55	56	62	56	56	1	1	1	1	1	1	1	1	1	2	2	1	1	3	2	1	1	1	1	2	2	1	1	2	2	1	2	2	2	1	1	2	1	1	1	1	1	2	3	1	1	2	1	1	1	1	1	2	1	2	2	2	2	1	1	2	3	2	1	3	1	1	1	2	2
43500	-320.459694847660103	-327.315182798619503	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617868635344384	0	1	3	2	4	3	3	4	5	7	6	5	5	6	5	5	7	4	6	6	6	6	7	8	8	9	7	9	10	10	10	8	10	10	11	11	11	12	11	11	11	11	10	12	12	12	12	13	13	12	12	14	13	12	14	15	15	13	16	18	17	17	17	18	18	0	1	1	1	4	4	4	4	2	7	18	7	5	4	8	3	9	6	18	13	13	12	19	9	13	25	11	24	24	25	26	21	25	27	24	25	13	30	30	31	26	26	32	41	28	29	29	41	31	35	42	54	41	35	58	47	50	41	56	57	58	56	56	62	63	1	1	2	2	2	1	1	2	1	3	1	2	1	2	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	2	2	2	1	2	2	2	1	2	1	1	2	2	1	1	2	2	1	1	2	3	1	2	1	1
44000	-310.134561705539397	-316.990049656498798	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.733541953668875	0	2	3	1	4	2	3	4	5	4	5	5	5	6	5	4	7	3	4	5	6	6	7	6	9	9	9	9	10	10	10	8	10	10	11	10	11	12	13	11	11	11	11	12	11	12	12	13	11	13	13	14	14	13	14	15	15	13	16	18	17	16	17	18	19	0	1	2	1	7	4	4	4	16	7	18	7	8	4	8	3	9	6	18	7	20	8	19	16	14	32	23	24	24	25	26	14	26	23	29	25	30	30	30	31	31	31	31	31	28	35	29	41	32	35	42	54	58	46	58	47	50	41	56	57	58	56	62	62	62	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	3	1	1	2	2	1	1	2	1	2	1	1	1	2	3	1	1	1	1	1	2	1	2	2	2	2	2	1	1	1	1	3	2	2	1	1	3	1	1	2	3
44500	-288.469813875124828	-295.325301826084228	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702693329173799	0	2	3	3	4	4	4	4	5	6	6	5	5	6	5	6	7	5	6	6	6	6	7	8	8	10	9	9	10	9	10	8	9	10	11	11	11	12	13	9	11	11	11	12	10	12	12	13	13	13	13	14	14	13	14	15	15	13	16	16	16	16	17	18	19	0	1	2	2	4	4	4	4	3	5	18	7	7	15	4	3	9	6	18	15	13	15	19	16	13	32	19	24	24	25	32	21	32	11	29	13	30	25	37	32	31	31	32	43	28	35	35	32	43	47	42	54	48	46	58	47	50	31	56	57	58	56	56	63	63	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	3	1	4	2	2	2	1	1	1	2	1	1	1	1	4	2	1	1	1	1	1	1	2	2	2	1	1	3	1	2	1	2
45000	-297.820007477588604	-304.675495428548004	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608641542585364	0	2	3	4	4	3	4	3	5	7	6	5	5	5	5	6	7	4	5	6	6	5	7	8	9	10	9	9	9	11	10	8	10	10	11	10	11	12	13	11	11	11	11	11	12	10	11	13	13	13	13	14	14	12	14	15	15	13	16	18	17	17	17	18	19	0	1	2	8	8	1	8	2	3	5	18	7	8	8	8	9	9	6	18	13	13	4	11	9	20	32	23	24	24	31	32	21	32	27	24	25	25	37	37	26	31	26	26	32	28	24	29	41	43	46	42	54	58	46	58	47	50	26	56	57	55	59	56	56	63	1	2	1	1	1	2	1	1	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	2	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	2	1	2	2	1	2	1	2	2	3	1	3	2	1	2	2	2
45500	-310.097807254902420	-316.953295205861821	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690821353140144	0	2	3	4	4	3	4	3	5	7	6	5	5	6	5	6	6	4	6	6	6	4	7	7	9	9	9	8	10	10	10	8	10	10	11	11	10	12	13	11	10	11	11	12	12	10	12	13	13	13	13	14	14	12	14	15	15	13	16	17	16	17	17	18	19	0	1	1	8	8	1	8	2	3	5	18	7	22	9	8	15	9	6	18	13	15	8	19	16	13	32	23	16	24	25	26	21	32	27	29	25	25	30	30	26	26	31	33	26	24	24	35	43	44	35	42	54	58	46	58	47	35	44	56	45	55	56	56	63	63	1	2	3	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	3	2	3	1	2	1	2	2	2	1	2	1	2	2	1	1	4	2	1	2	1	1
46000	-296.770376918245461	-303.625864869204861	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700384783655408	0	1	3	4	4	4	4	3	5	5	6	4	5	6	5	5	4	5	6	6	6	6	7	8	9	10	9	9	9	9	10	9	10	10	11	11	11	12	12	11	11	11	11	12	12	10	12	13	13	13	12	14	14	13	14	14	15	15	15	18	17	15	17	17	19	0	1	2	8	8	8	8	1	3	8	18	8	4	4	8	3	3	6	18	13	13	4	19	16	21	21	23	24	16	13	32	21	32	27	46	13	30	37	37	26	33	26	26	43	28	24	35	31	26	35	42	54	48	46	32	47	46	55	56	57	58	56	56	56	63	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	2	1	1	2	2	1	2	1	1	1	4	2	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	2	2	2	3	1	1	1	2	1	2	2	2
46500	-294.673364746317588	-301.528852697276989	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594536597905131	0	2	3	4	4	4	4	3	5	6	6	5	5	6	5	6	7	5	6	5	6	5	7	8	9	10	8	8	10	11	10	10	9	10	11	11	10	12	12	11	11	11	11	12	12	12	11	13	13	13	13	14	14	13	14	14	15	15	15	18	17	17	16	18	19	0	1	2	8	8	8	8	2	2	5	18	7	2	13	8	3	9	6	18	8	22	2	19	9	13	33	23	9	28	13	33	33	21	27	29	25	25	36	37	31	26	31	32	32	24	35	24	41	43	46	42	54	48	45	48	45	50	55	56	50	58	56	56	56	62	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	2	2	1	1	2	1	3	1	2	2	1	1	2	2	6	1	1	2	1	1	1	1	1	2	1	1	1	1	2	3	1	2	2	2	1	1	1	1	1	1	1	2	1	1	4	2	2	2	2	1
47000	-279.334911331155638	-286.190399282115038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.665283490425191	-3	2	3	4	4	4	4	3	5	6	6	5	5	5	5	6	7	5	6	6	6	6	6	8	9	10	9	7	9	10	10	11	9	10	11	11	11	12	13	11	11	11	10	12	12	12	12	13	12	13	13	13	14	14	14	15	15	15	16	18	17	17	17	16	18	0	1	2	8	8	2	8	2	3	5	18	7	4	7	8	3	2	6	18	13	2	13	18	28	21	33	23	16	24	25	33	43	13	27	29	25	30	30	30	31	26	31	33	32	24	35	24	41	32	35	42	35	48	46	48	47	47	55	56	57	58	64	59	56	63	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	3	1	2	2	1	2	3	1	1	1	1	1	3	1	3	2	1	2	2	1	1	2	1	3	3	1	1	2	2	1	1	1	1
47500	-288.360998944454252	-295.216486895413652	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651432732420410	0	2	3	4	4	3	4	3	4	7	6	5	5	6	4	6	7	5	6	6	6	5	7	8	9	10	8	9	10	10	10	10	8	10	11	10	11	12	13	11	11	11	11	12	12	12	12	13	13	13	12	13	14	14	14	15	15	15	16	18	17	17	17	17	19	0	1	2	8	8	2	2	1	2	5	18	15	15	22	8	9	3	6	6	13	13	7	19	16	14	33	23	24	28	21	21	33	21	27	29	25	30	37	38	33	31	26	32	43	28	35	35	41	43	46	42	46	48	52	40	47	50	55	56	50	58	56	56	56	63	1	1	1	1	1	1	2	1	2	3	1	1	1	1	1	2	3	2	1	1	1	1	1	2	3	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	2
48000	-329.181209220253209	-336.036697171212609	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.682747318799519	0	2	3	3	3	4	4	4	5	7	6	3	5	5	5	6	6	5	6	6	6	6	7	8	7	9	8	9	10	11	9	10	7	9	11	11	11	11	12	11	10	11	11	11	12	11	12	12	12	13	13	11	14	13	13	13	15	15	15	18	17	17	16	18	19	0	1	2	1	2	4	12	4	3	22	18	2	7	8	4	9	9	6	18	13	13	4	19	9	15	33	23	9	28	25	33	31	21	27	29	25	25	25	36	26	33	26	32	32	29	29	46	42	32	47	40	28	48	52	48	47	50	55	46	57	58	63	56	59	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	1	3	1	2	2	1	1	1	1	3	2	2	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	2	1	1	2	1	3	2	2	1	2	1	4
48500	-291.036154898478685	-297.891642849438085	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660911746834230	-1	2	3	3	4	3	4	4	5	6	6	5	5	6	5	6	7	5	6	6	6	6	7	8	9	9	9	9	10	10	10	10	8	10	11	11	11	12	13	11	11	11	11	12	12	12	12	13	13	13	13	12	11	14	14	13	15	15	14	18	17	17	16	17	18	0	1	2	2	4	2	4	4	1	5	18	7	4	15	4	3	16	6	18	13	13	9	18	16	21	33	19	16	28	25	26	26	9	27	29	30	25	13	30	31	31	26	32	43	24	35	35	26	31	45	42	35	31	52	48	47	50	55	56	57	58	63	56	63	56	1	2	1	1	1	1	1	1	5	2	1	1	2	1	2	2	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	1	2	6	2	1	1	2	1	1	2	1	1	2	2	1	2	1	1	2	1	1	2	1	1	3	2	1	2	1	4
49000	-284.911442330016769	-291.766930280976169	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595470912173872	0	2	3	3	4	4	4	4	5	7	6	5	4	6	5	6	6	5	6	6	6	6	7	8	9	9	9	9	10	10	10	11	10	10	11	10	11	11	13	11	11	11	10	11	12	12	12	13	11	13	13	12	13	14	14	15	15	15	16	18	17	17	16	18	19	0	1	2	1	4	2	4	4	3	14	18	7	4	4	7	9	9	6	18	13	13	4	19	16	13	21	18	16	9	22	26	43	26	27	29	25	30	30	30	31	31	31	26	26	24	29	35	44	43	35	42	24	41	52	53	29	50	55	56	50	58	63	56	62	63	1	2	1	2	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	1	2	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	1	2	2	1	2	1	2	2	1	1	2	2	1	1	1	2
49500	-304.206254619363506	-311.061742570322906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.692226403759651	0	1	3	3	3	4	4	4	5	7	6	5	4	6	5	4	7	5	6	5	5	5	7	8	9	9	9	9	10	8	10	11	10	10	9	10	11	11	13	11	11	11	10	11	11	11	12	13	13	13	13	13	13	14	14	15	15	15	16	17	17	17	17	18	19	0	1	1	2	2	4	4	4	3	8	18	7	4	5	8	3	9	6	18	13	13	8	19	9	13	30	23	16	35	21	26	43	26	27	24	30	30	25	38	31	31	31	26	43	24	35	28	41	43	47	26	45	26	52	53	29	46	55	56	57	58	57	56	62	62	1	1	2	2	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	2	3	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	3	2	2	1	3	1	3	2	3	1	1	3	3	1	1	2	2	1	2	1	1
50000	-272.623411355512474	-279.478899306471874	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.730909446097414	0	2	3	4	4	3	4	4	5	7	6	5	5	6	5	6	7	4	6	6	6	3	7	7	8	9	8	9	10	9	10	11	10	9	11	10	11	10	11	11	11	11	10	12	11	12	11	12	13	12	10	14	13	13	14	13	15	15	15	17	17	17	17	18	19	0	1	2	22	22	2	22	22	22	5	18	7	4	8	8	9	9	6	18	13	13	2	19	16	13	21	23	3	28	25	25	43	26	27	29	30	38	30	38	43	31	51	26	32	28	35	29	41	32	35	26	54	48	50	53	47	50	55	56	57	58	56	59	63	63	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	3	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1
50500	-273.473522035912254	-280.329009986871654	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.778505316703015	0	2	3	4	4	3	4	4	5	7	6	5	5	6	5	6	7	5	6	6	6	3	7	8	7	9	9	9	10	9	10	11	10	10	11	11	9	12	13	11	11	11	10	12	10	12	12	11	13	13	10	13	13	11	14	15	15	15	16	17	17	17	17	18	19	0	1	2	22	22	2	22	22	3	5	18	7	22	8	4	9	9	6	18	13	13	2	19	9	13	13	23	16	28	25	26	43	26	27	29	30	25	36	38	31	31	51	26	43	28	35	35	26	32	29	26	54	26	28	53	47	46	55	56	57	58	56	56	62	62	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	3	2	3	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	2	1	1	2	2	1	1	1	2	2	2	1	1
51000	-275.118796699924189	-281.974284650883590	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.760923543804446	0	1	3	4	4	4	4	3	5	6	6	5	5	6	5	6	4	5	6	6	6	3	7	7	8	9	9	9	10	11	10	11	10	10	11	10	10	12	13	11	11	11	10	12	11	12	12	13	11	13	10	14	14	12	14	15	14	15	16	17	17	17	16	18	18	0	1	2	22	8	22	22	2	2	5	18	7	4	8	8	9	3	6	18	15	13	2	19	9	13	25	23	24	24	37	26	43	26	27	29	25	25	30	30	31	31	51	26	43	28	35	35	44	43	35	26	54	41	35	48	47	45	55	56	50	58	63	56	62	63	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	2	2	1	1	2	2	1	1	1	2
51500	-329.700256482908799	-336.555744433868199	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.680574603885090	-1	2	3	3	4	4	4	3	5	6	6	5	4	4	5	6	7	5	6	6	6	6	7	6	8	9	8	8	10	9	9	11	9	9	11	11	11	12	13	11	11	10	10	12	12	10	12	13	13	12	13	14	13	13	14	15	15	15	16	17	17	16	17	18	19	0	1	2	2	4	4	4	1	3	5	18	8	8	4	2	8	8	6	18	8	13	7	19	3	13	21	23	16	8	8	25	43	21	27	46	25	21	36	38	26	33	26	31	40	28	24	46	40	32	46	42	54	26	29	53	47	46	55	56	57	58	56	62	62	63	1	3	1	1	1	1	1	3	2	2	1	2	1	1	1	2	3	1	1	2	2	1	1	2	1	2	1	2	3	2	1	1	2	1	1	3	3	1	1	2	1	1	1	1	2	2	1	2	2	2	2	1	3	3	1	3	3	1	1	2	2	1	1	1	2
