step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
29000	-97.546545470722378	-104.402033421681750	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.753013082573423	1	5	4	5	6	6	4	7	8	11	9	13	15	16	0	1	1	7	2	2	1	2	5	2	5	11	11	13	1	2	2	1	1	1	1	1	1	2	1	2	3	1
29500	-81.427971848962500	-88.283459799921872	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636864230886989	2	5	5	4	7	6	6	9	8	11	11	12	14	18	0	1	1	1	4	2	2	5	5	2	5	11	12	13	1	1	1	1	2	1	1	1	1	3	2	1	1	2
30000	-85.259527439412693	-92.115015390372065	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.818337904327249	3	4	5	4	7	5	5	9	9	10	11	12	13	17	0	1	1	1	4	1	1	2	5	1	5	5	12	13	1	1	1	1	1	1	1	1	1	3	2	2	1	2
30500	-94.381951676316064	-101.237439627275435	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.503175045502674	3	5	4	5	7	6	5	5	9	10	11	13	15	18	0	1	1	1	4	1	1	1	5	2	2	5	12	12	1	1	1	1	1	2	1	1	1	1	2	4	1	3
31000	-88.631146691139591	-95.486634642098963	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.877437086171527	3	5	4	4	8	5	5	8	9	10	12	10	14	17	0	4	1	1	4	1	1	2	5	2	5	5	12	13	1	1	1	1	2	2	1	2	1	1	2	1	2	1
31500	-87.488364709364262	-94.343852660323634	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745163205909421	3	5	5	5	7	7	5	8	9	8	11	13	13	17	0	1	1	1	4	2	1	1	5	2	5	11	5	13	1	1	1	1	1	1	1	2	1	3	2	1	3	2
32000	-79.573102510287328	-86.428590461246699	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.732217428926300	3	6	4	4	6	6	5	9	8	8	10	13	15	17	0	1	1	1	4	1	1	2	5	2	5	5	12	13	1	2	1	1	1	1	1	1	1	2	2	3	1	1
32500	-84.963817054406150	-91.819305005365521	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.730210704472458	3	5	5	5	8	6	5	7	9	9	10	12	14	16	0	1	1	1	4	2	1	2	5	1	5	5	12	12	1	1	1	1	1	1	1	2	1	4	1	2	1	2
33000	-87.355103153732031	-94.210591104691403	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664258900920596	3	5	5	4	8	7	6	7	9	9	11	12	14	17	0	1	1	1	4	1	1	7	5	4	5	5	12	13	1	1	1	1	2	2	2	1	1	3	2	2	1	1
33500	-80.845127909571403	-87.700615860530775	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.807001090645775	3	5	4	4	7	6	5	9	8	10	10	12	14	16	0	1	1	1	4	2	1	2	5	2	5	11	12	13	1	1	1	1	1	1	2	2	1	3	2	1	1	1
