step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
17000	-178.823471996347621	-176.776302673371816	-2.047169322975804	0.000160365881555	0.000021124702110	0.131728157544977	0.363794989734165	2	9	9	12	9	14	17	22	19	21	20	22	21	22	24	23	25	27	25	28	31	33	0	0	1	3	0	4	3	10	7	6	7	5	5	11	13	9	4	17	8	17	17	17	1	1	3	1	1	1	4	1	1	4	2	6	3	1	2	3	7	1	2	2	4	4
17500	-170.839516759267923	-168.740673573067028	-2.098843186200907	0.000157531188735	0.000019657870357	0.124787164466797	0.426815912694964	2	8	11	14	11	15	16	21	18	20	20	21	20	23	24	22	23	26	26	27	31	33	0	0	1	3	0	4	3	6	7	6	7	5	5	11	12	9	8	8	17	11	7	7	1	1	5	2	1	1	2	2	1	2	2	4	5	2	1	2	1	2	2	3	8	8
18000	-178.205089824236467	-176.147048389163558	-2.058041435072902	0.000239930178265	0.000031242492805	0.130214935992719	0.398442082840762	3	8	9	13	12	15	15	21	20	21	20	21	19	22	23	24	24	27	25	28	32	32	0	0	1	3	0	4	4	6	7	6	7	5	5	8	13	7	10	8	10	11	11	14	1	1	3	2	1	1	1	3	3	3	3	5	4	1	2	3	2	3	3	4	6	6
18500	-164.593885798992147	-162.994722616862816	-1.599163182129322	0.000087503102565	0.000021034525645	0.240386055223890	0.567788464176805	3	9	10	13	11	14	16	21	18	22	21	23	20	23	22	23	23	27	25	27	30	33	0	0	1	3	0	4	3	3	7	4	7	15	5	11	13	9	8	10	17	7	20	21	1	1	5	2	1	1	3	5	1	3	3	1	4	1	1	2	1	3	1	4	2	1
19000	-178.384648538652755	-176.745455964745872	-1.639192573906888	0.000140946296270	0.000031601583325	0.224210101021837	0.335235411672162	2	8	10	14	12	12	16	21	20	22	20	23	21	24	24	20	24	25	27	27	32	33	0	0	1	6	0	3	3	3	7	6	7	13	5	3	12	7	10	8	17	11	14	14	1	1	4	1	1	1	2	6	2	3	2	1	5	5	1	2	1	3	2	3	5	5
19500	-189.513084483545867	-187.510520200876783	-2.002564282669095	0.000156999683523	0.000021706628913	0.138259061585583	0.321096454964189	2	7	11	13	8	14	15	21	19	21	20	23	21	23	22	24	24	27	24	28	31	33	0	0	1	3	0	4	3	3	7	6	3	15	2	9	13	3	3	6	10	14	14	20	1	1	5	1	1	1	3	5	2	4	4	1	6	2	1	7	6	6	2	2	4	2
20000	-174.021034031578353	-172.411249668611049	-1.609784362967296	0.000100301025249	0.000023656703299	0.235857043740510	0.472483222787321	2	7	10	13	11	15	17	21	19	21	20	23	22	24	23	23	24	26	27	28	32	33	0	0	1	3	0	4	3	3	7	4	3	13	5	7	13	9	10	6	17	14	11	14	1	1	3	1	1	1	2	4	1	3	4	1	6	4	1	2	1	6	2	2	7	4
20500	-174.622479860943031	-173.019763388583726	-1.602716472359299	0.000174281020304	0.000041627060555	0.238850222944933	0.451112940318789	3	7	10	13	12	15	16	21	19	18	20	22	21	23	24	24	24	27	26	28	32	33	0	0	1	3	0	4	4	10	7	6	7	13	5	11	12	9	8	6	8	11	11	9	1	1	3	2	1	1	1	2	2	2	3	1	5	2	1	2	1	6	2	3	5	8
21000	-171.572414157743680	-169.685925289004729	-1.886488868738963	0.000100808737712	0.000015943564138	0.158156569560249	0.251188091736574	2	8	10	14	10	15	15	21	18	22	20	23	21	23	23	23	24	25	26	27	31	31	0	0	1	3	0	4	3	4	7	6	7	13	5	11	13	9	8	10	8	11	14	11	1	1	3	2	1	1	3	5	2	3	2	1	4	2	1	2	2	2	3	3	6	5
21500	-195.751263540174563	-194.225041583224197	-1.526221956950375	0.000165012235151	0.000045814536992	0.277643272631157	0.358901583167171	3	8	10	14	11	14	16	21	19	20	18	22	21	23	23	23	25	27	25	27	31	33	0	0	1	3	0	3	3	4	7	4	7	13	2	8	12	11	7	6	8	14	20	9	1	1	5	2	1	2	2	3	2	3	1	1	6	1	1	2	4	7	2	2	2	7
