step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
38000	-34.464575875927771	-32.989920424406982	-1.474655451520786	0.977112482373202	1.010808737347181	1.034485543457738	0.887188882066987	1	4	6	6	7	7	6	8	8	9	9	8	9	0	1	2	2	7	2	2	3	5	12	12	2	12	1	1	1	1	1	1	1	1	1	1	1	1	1
38500	-37.654485423072046	-36.073642608673779	-1.580842814398264	0.698837228490818	0.912414396450609	1.305617902499306	0.830615020467065	1	4	6	7	7	8	8	8	9	9	10	8	10	0	1	1	3	3	3	2	3	4	4	10	2	12	1	1	2	1	1	1	1	1	1	1	1	1	1
39000	-36.322370231296880	-34.955130006094855	-1.367240225202026	0.294333905443958	0.193200039461461	0.656397499194150	0.842984332763116	0	4	4	6	8	8	6	7	8	9	10	8	10	0	1	1	2	8	7	3	7	7	8	12	8	7	1	2	1	1	1	1	1	1	1	1	1	1	1
39500	-35.435803489097260	-32.925890028560339	-2.509913460536924	0.027208149911154	0.103128740329798	3.790362103507849	0.709803554253113	0	4	5	6	8	6	7	8	8	9	10	8	10	0	1	2	2	7	2	2	6	6	7	12	6	7	1	3	1	1	1	1	1	1	1	1	1	1	2
40000	-40.935451172813458	-37.483412492720277	-3.452038680093185	0.712128645300795	5.229794241244655	7.343889725199368	0.989302285214989	-1	4	6	6	8	7	8	6	8	9	10	8	10	0	1	2	2	3	3	8	2	8	8	9	2	9	1	1	1	1	1	1	1	1	1	2	1	1	1
40500	-39.393195612836394	-37.929314820082347	-1.463880792754048	0.089421721308197	0.089867650381445	1.004986809320195	0.849904555103843	1	4	5	5	6	7	7	7	7	9	9	9	11	0	1	1	2	3	5	5	5	3	6	4	6	12	1	1	1	1	1	1	1	1	1	1	1	1	1
41000	-41.690220407765750	-37.187846610150501	-4.502373797615248	0.431790502865629	5.645987889487071	13.075757461122482	0.751759192136093	1	4	5	6	7	7	7	9	9	9	10	8	10	0	1	2	3	3	2	2	7	5	6	3	3	9	1	1	1	1	2	1	2	1	1	1	2	1	1
41500	-35.167423772050249	-33.801118338638332	-1.366305433411918	0.233081268532587	0.151361387116882	0.649393184058974	0.909237619431041	0	4	5	6	5	8	7	7	7	8	11	9	10	0	1	2	5	2	9	3	3	4	4	12	8	10	1	1	1	1	1	1	1	1	1	1	1	1	1
42000	-38.086538597392661	-36.404190987698300	-1.682347609694359	0.971524395395415	0.203161487675958	0.209116197842125	0.967915406969720	0	3	5	6	8	7	7	8	8	7	10	8	10	0	1	2	3	2	4	4	4	10	3	6	7	8	1	1	1	1	1	1	1	1	1	1	2	1	1
42500	-50.785978950880050	-44.953174711031870	-5.832804239848176	0.479704201921961	11.487022032985976	23.946052561062853	0.794514549123386	1	4	5	4	6	6	7	7	6	10	11	9	9	0	1	4	1	2	2	9	3	4	6	12	3	6	1	1	1	1	1	1	1	1	1	1	1	1	2
43000	-38.138259623491074	-36.151253831620608	-1.987005791870468	0.152345667022663	0.351604223945946	2.307937145948774	0.960078737406429	0	3	5	7	7	6	7	8	8	9	9	8	9	0	1	2	3	2	3	6	6	5	4	6	4	9	1	1	1	1	2	1	1	1	1	1	2	1	1
43500	-33.036646145071281	-30.939958532393739	-2.096687612677540	0.580300505863884	1.506391474328113	2.595881718361716	0.924469782023576	1	3	5	5	7	7	8	6	9	9	10	9	11	0	1	2	2	4	3	4	4	6	7	7	7	9	1	1	1	1	1	1	1	1	1	1	1	1	1
44000	-33.087674431713523	-30.104354348771853	-2.983320082941674	0.361320070842970	1.956654296670095	5.415293681596943	0.919568210133213	1	5	4	6	7	7	8	8	7	10	9	8	10	0	3	1	3	2	2	6	9	4	8	5	6	8	1	1	1	1	1	1	1	1	1	1	1	1	1
44500	-33.369766750321403	-30.610763208014603	-2.759003542306801	0.146529649098616	0.675201697401751	4.607952735540449	0.969630290761807	1	4	3	6	8	5	6	8	8	9	10	9	10	0	1	1	6	4	3	2	7	7	9	8	5	8	1	1	1	1	1	1	1	1	1	1	1	1	1
45000	-48.535952286588156	-46.623795709616061	-1.912156576972094	0.408035558640290	0.863887889302273	2.117187757314668	0.682457288567562	0	2	6	6	8	7	7	9	8	9	10	8	9	0	1	1	1	7	1	1	5	4	5	5	6	7	1	1	3	2	1	2	2	1	1	1	1	1	1
45500	-38.672945090668705	-37.301981812146153	-1.370963278522552	0.197755097883459	0.094310908997510	0.476907599383805	0.810585972995569	1	5	5	6	7	6	7	8	9	8	10	9	9	0	1	1	2	3	3	6	3	7	4	5	8	5	1	2	2	1	1	1	1	1	1	1	2	1	1
