step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13
32000	-98.535816355561522	-105.391304306520894	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663792350979882	-5	9	16	15	24	26	25	28	23	30	34	35	54	0	1	2	2	4	3	9	3	2	7	8	8	0	1	3	1	1	2	2	1	2	3	1	2	2	1
32500	-91.067493684989614	-97.922981635948986	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.658084345535216	-2	9	16	15	21	24	23	25	26	26	34	30	53	0	1	2	2	4	2	5	3	5	7	6	6	0	1	1	1	1	1	2	1	2	1	1	2	1	1
33000	-80.733348156807466	-87.588836107766838	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.924474459364345	-5	11	14	13	19	19	24	27	24	27	31	35	56	0	1	2	2	4	3	5	6	5	7	8	11	0	1	2	1	1	1	1	1	1	1	1	1	1	1
33500	-89.483134638132981	-96.338622589092353	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.709347845902807	-2	7	14	12	24	21	22	25	19	24	33	31	54	0	1	2	2	4	3	9	6	4	7	8	8	0	1	1	1	1	2	1	1	1	1	1	2	1	1
34000	-98.039479826740560	-104.894967777699932	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.531009030683003	-5	8	15	11	21	23	23	28	26	30	28	38	53	0	1	2	2	4	2	5	3	5	7	3	11	0	1	3	1	1	3	2	1	2	1	2	3	1	1
34500	-102.173112828306898	-109.028600779266270	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.758062203157846	-1	4	12	10	22	16	21	25	24	30	33	34	53	0	1	2	2	4	2	4	6	5	7	8	8	0	1	1	2	1	2	2	1	2	1	3	1	1	1
35000	-88.822889205270485	-95.678377156229857	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.833529291673106	-3	10	16	14	17	26	22	25	24	27	32	37	52	0	1	2	2	4	3	5	3	5	7	6	8	0	1	1	1	1	1	2	1	2	1	1	1	2	1
35500	-89.500989064958006	-96.356477015917378	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.728857347728814	-2	8	14	12	20	23	24	27	27	27	27	34	55	0	1	2	2	4	2	5	6	7	7	6	11	0	1	2	1	1	1	3	1	1	1	1	1	1	1
36000	-88.665723225189666	-95.521211176149038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.941884547945662	-2	7	12	13	24	21	23	29	21	29	35	39	50	0	1	2	2	4	2	9	6	4	7	8	11	0	1	2	1	1	1	1	1	1	1	1	1	1	1
36500	-91.348570951060594	-98.204058902019966	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645826826119759	-2	5	14	13	19	24	25	22	27	30	31	39	53	0	1	2	2	4	3	5	3	5	7	8	11	0	1	2	1	2	1	2	1	1	1	1	1	2	1
37000	-93.114759729945334	-99.970247680904706	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643916416047538	-1	6	12	9	21	25	23	24	23	31	32	35	53	0	1	2	2	4	3	5	2	5	7	6	6	0	1	2	1	1	1	2	1	3	1	1	1	1	1
37500	-90.951585009713696	-97.807072960673068	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.856921318140573	-4	9	13	14	19	23	23	25	22	28	29	32	50	0	1	2	2	4	3	5	6	5	7	2	6	0	1	2	1	1	1	2	1	1	1	1	2	2	1
38000	-98.715948480041249	-105.571436431000620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.881044106645882	0	7	10	14	15	16	18	28	25	30	20	33	49	0	1	2	2	4	3	5	11	5	7	3	8	0	1	1	1	1	1	1	1	1	1	2	1	1	1
38500	-95.359090356507480	-102.214578307466851	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.715358071582873	-3	12	7	14	20	26	23	21	25	29	27	33	54	0	3	1	2	4	8	5	2	5	7	3	11	0	1	1	1	1	1	1	1	1	2	1	2	1	1
