step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34
15000	-234.504370106367105	-241.359858057326477	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.665983721687660	1	6	6	4	8	9	10	10	10	12	11	10	11	13	12	14	14	15	16	18	17	19	22	22	25	33	35	36	37	37	40	41	43	45	0	4	4	1	3	3	5	5	4	8	8	6	2	6	9	14	12	14	15	21	19	21	18	16	24	25	26	0	27	0	29	31	32	33	1	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	1	1	2	1	1	1	4	2	2	4	1	1	1	1	2	1	1	1
15500	-229.755841649778802	-236.611329600738173	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.576342577206541	3	6	6	5	8	10	11	9	10	10	12	10	11	12	12	14	14	16	16	19	15	18	23	22	26	33	34	36	38	40	40	41	44	45	0	4	4	1	3	3	8	5	4	5	7	8	2	6	4	15	12	6	15	19	15	15	18	16	24	24	26	0	27	0	29	29	32	32	1	1	1	1	1	2	1	1	2	1	1	1	3	1	4	2	2	2	2	1	2	3	3	4	2	5	1	1	2	1	1	2	2	1
16000	-234.271592375739402	-241.127080326698774	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525202396683872	2	6	5	4	8	9	11	9	10	13	10	11	10	12	14	13	14	16	17	19	16	18	21	23	25	32	35	35	37	40	39	41	43	45	0	3	4	1	3	3	11	5	4	7	5	8	2	6	4	4	12	14	15	15	15	21	18	15	24	24	26	0	27	0	29	27	32	32	1	1	1	1	1	2	1	1	3	1	2	1	2	2	6	4	1	1	2	2	1	1	2	4	1	4	2	1	1	1	1	3	1	2
16500	-251.652596183117367	-258.508084134076739	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554048812802138	2	5	6	4	9	9	11	10	11	12	11	11	12	11	14	13	15	16	16	17	17	18	19	21	25	32	34	35	38	40	39	41	43	43	0	4	4	1	3	3	5	6	6	11	8	5	2	6	6	9	12	14	15	15	19	21	15	16	24	24	26	0	27	0	29	29	32	32	1	1	1	1	2	2	2	1	1	1	1	1	3	1	2	1	2	3	1	2	1	1	3	4	2	5	1	1	2	1	1	2	2	1
17000	-237.653652056486351	-244.509140007445723	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542470060603361	3	6	8	5	9	10	11	10	9	13	11	11	10	11	13	13	13	14	15	17	16	19	23	21	25	34	35	36	39	40	41	41	42	45	0	4	4	1	3	3	5	5	4	5	8	8	2	6	4	3	12	14	15	15	19	21	18	16	24	25	26	0	27	0	29	29	32	29	1	1	1	1	1	1	1	1	3	2	1	1	2	1	4	2	1	2	2	2	1	2	3	3	2	5	1	1	2	1	1	2	1	3
17500	-217.450204669247199	-224.305692620206571	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622260419460480	2	6	5	4	9	7	10	10	9	12	11	11	12	11	13	13	14	15	15	18	17	19	21	22	26	33	35	35	38	40	41	41	43	43	0	3	4	1	6	3	5	5	4	5	7	7	2	6	14	9	12	14	15	21	19	21	18	16	24	25	26	0	27	0	29	29	32	32	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	2	2	1	1	1	1	2	3	3	3	1	1	2	1	2	1	1	1
18000	-225.215769181665109	-232.071257132624481	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629117325879670	2	6	5	4	9	8	10	10	10	11	11	12	10	12	12	12	15	13	16	19	17	19	22	21	25	34	35	35	38	41	40	41	43	45	0	3	4	1	6	3	5	5	4	7	5	5	2	6	4	6	12	15	15	21	15	21	18	21	24	25	26	0	27	0	29	29	32	33	1	1	1	1	1	2	1	1	3	1	1	2	2	2	3	2	1	1	2	1	3	1	3	2	2	4	1	1	2	1	1	1	1	1
18500	-248.877440673982363	-255.732928624941735	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.600770286231898	2	6	5	4	9	8	10	10	10	12	11	11	9	12	12	13	14	15	13	18	17	17	22	20	25	32	35	34	37	39	40	41	43	45	0	3	4	1	6	3	5	5	6	11	8	5	2	6	4	15	12	14	6	15	19	15	18	16	24	25	26	0	27	0	29	27	31	32	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	1	2	2	2	3	2	2	4	2	2	3	3	1	1	1	1	3	1	2
19000	-232.725711791554488	-239.581199742513860	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.653129990452809	3	6	5	4	9	8	11	10	10	12	11	12	10	12	14	14	14	15	17	19	16	17	21	19	26	33	35	35	37	41	40	40	42	45	0	3	4	1	6	3	5	5	4	7	5	8	2	6	6	9	12	14	15	21	15	15	18	16	24	25	26	0	26	0	29	29	32	33	1	1	1	1	1	2	1	1	3	1	2	1	2	3	2	1	1	1	2	1	1	1	3	1	3	4	1	1	2	1	2	1	1	2
19500	-235.493089444839455	-242.348577395798827	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523625583213983	2	6	5	4	9	8	10	10	10	12	12	11	11	12	14	13	15	14	15	19	17	18	22	22	26	33	34	35	38	40	39	41	42	44	0	3	4	1	6	3	5	5	4	7	5	5	2	3	4	4	12	6	16	19	15	15	18	16	24	25	26	0	26	0	29	29	32	32	1	1	1	1	1	1	1	1	2	1	2	1	3	3	3	5	2	3	1	2	2	2	5	3	2	3	1	1	3	1	1	2	1	2
