step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30
17500	-192.365702192232646	-199.221190143192018	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.430990692261837	2	3	3	5	6	7	7	10	10	13	12	14	13	15	15	14	14	16	19	20	20	23	24	26	28	28	30	32	33	36	0	1	1	2	1	5	2	7	7	9	7	13	1	11	10	11	13	13	10	12	11	18	21	22	24	0	19	0	26	29	1	1	1	1	2	1	2	1	2	2	3	1	6	2	1	1	1	2	3	3	5	3	2	1	1	1	6	1	2	2
18000	-191.700083004146620	-198.555570955105992	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.549229465844392	1	3	3	4	6	8	8	10	10	12	14	14	12	16	14	15	15	15	18	17	20	23	22	26	27	27	28	33	33	36	0	1	1	1	3	5	2	7	7	9	7	13	3	16	10	11	13	13	14	13	11	13	21	22	24	0	11	0	26	29	1	1	1	2	2	1	3	1	1	1	3	1	4	1	1	1	1	2	1	2	3	3	1	2	1	1	7	1	3	2
18500	-200.081184445851505	-206.936672396810877	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.525778113172010	2	4	3	7	6	8	8	10	10	12	13	13	12	16	14	15	15	14	18	19	19	24	25	26	27	27	28	31	34	37	0	1	1	2	1	5	2	2	4	9	7	13	3	11	7	11	13	13	14	12	14	13	21	22	22	0	14	0	26	29	1	1	1	2	2	1	2	3	1	1	2	1	5	2	3	1	2	1	1	3	2	5	4	1	1	1	5	1	4	2
19000	-189.401758666338083	-196.257246617297454	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.732133646532350	1	3	4	6	7	8	6	9	10	13	13	13	12	14	15	16	15	16	19	18	21	24	24	26	27	27	30	33	33	36	0	1	1	2	7	5	2	4	7	9	8	13	3	11	10	14	12	13	16	12	14	18	21	22	24	0	19	0	26	29	1	1	1	1	1	1	1	2	2	1	2	1	3	1	1	1	1	2	2	2	3	4	1	1	1	1	5	1	3	1
19500	-209.695804097383046	-216.551292048342418	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496651461552697	1	4	3	5	4	8	6	10	11	13	13	14	12	15	13	14	15	15	17	19	21	24	23	27	28	27	30	31	34	36	0	1	1	2	1	5	2	7	8	8	8	13	7	11	9	11	12	13	14	12	19	18	21	22	22	0	19	0	26	29	1	2	1	1	2	2	1	2	1	1	3	1	2	1	1	1	1	2	1	2	2	6	1	3	2	1	5	1	4	1
20000	-200.617389455124140	-207.472877406083512	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610102758000751	2	4	4	6	5	6	8	9	11	13	13	13	12	15	15	15	15	16	18	19	20	23	24	25	27	26	30	32	33	35	0	1	1	1	1	5	2	7	8	9	7	13	3	11	9	11	13	13	13	13	19	18	21	22	22	0	11	0	26	29	1	1	1	1	1	1	2	1	1	1	2	1	4	1	2	1	1	2	3	4	1	4	2	2	2	1	4	1	2	1
20500	-205.635080951880695	-212.490568902840067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.476397849163389	1	3	4	6	5	7	8	9	10	12	13	13	12	16	15	14	16	17	19	20	21	25	23	26	27	28	30	32	31	37	0	1	2	1	1	5	5	7	8	9	8	13	3	11	9	8	13	13	11	12	14	18	21	22	22	0	19	0	26	29	1	1	1	2	2	1	2	1	1	2	2	1	5	1	2	3	2	2	2	4	2	4	1	1	1	1	6	1	2	2
21000	-203.092866687112007	-209.948354638071379	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.483522544654112	1	3	3	5	6	7	7	11	9	13	14	13	12	16	14	16	15	16	18	19	19	25	23	26	27	27	27	32	32	36	0	1	1	1	2	5	2	9	7	9	8	13	7	11	9	11	12	13	14	12	11	18	21	22	24	0	16	0	26	29	1	1	1	2	2	1	2	1	1	2	3	1	2	2	2	2	2	2	1	4	2	4	2	1	1	1	5	1	4	2
21500	-204.332898719035796	-211.188386669995168	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.576762274982787	2	4	3	5	6	7	9	9	10	13	13	14	12	16	14	15	16	15	18	19	20	24	24	27	26	26	29	33	34	36	0	1	1	1	1	5	2	5	8	9	8	13	8	16	10	11	12	13	16	12	19	18	19	25	22	0	19	0	26	29	1	1	1	1	3	1	2	2	1	1	2	2	2	1	1	2	1	1	2	3	1	7	3	1	1	1	4	1	3	1
22000	-186.884886949621148	-193.740374900580520	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.580310315516238	1	3	3	6	5	8	8	10	10	12	13	14	12	15	15	15	16	16	18	19	20	24	23	26	28	27	27	32	33	37	0	1	1	2	2	5	2	7	7	9	8	13	2	11	9	11	13	13	16	12	16	18	21	22	24	0	19	0	26	29	1	1	1	1	1	2	3	1	1	2	1	1	4	1	3	2	2	2	2	2	2	4	1	1	1	1	4	1	4	2
