step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25
15000	-138.513705241943200	-145.369193192902571	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.759912550533376	0	4	5	6	8	9	11	11	14	12	15	13	11	14	17	17	15	14	15	16	18	16	18	17	21	0	0	2	2	3	5	6	3	6	5	8	8	6	10	22	9	18	10	9	12	12	7	17	12	15	1	1	1	1	2	1	1	4	2	1	2	1	1	1	1	2	1	1	1	1	2	3	1	2	2
15500	-118.770532757754296	-125.626020708713668	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.695850137661514	0	5	6	6	8	10	11	11	13	11	15	12	12	14	15	16	15	13	14	14	18	15	17	16	21	0	0	2	2	3	5	6	5	7	6	19	7	8	10	7	15	18	6	12	12	12	20	17	20	15	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	3
16000	-129.294407438572023	-136.149895389531395	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.809255140216817	-1	5	6	6	7	9	11	11	13	12	15	11	13	13	16	17	15	13	14	16	17	14	15	16	20	0	0	2	2	3	5	6	5	8	6	12	6	8	7	22	20	18	10	12	12	24	10	10	12	16	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1
16500	-129.402117362193877	-136.257605313153249	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.774992127363282	0	4	5	5	7	9	10	11	14	10	14	11	12	13	15	17	15	14	14	15	17	17	18	17	21	0	0	2	2	3	5	6	6	7	5	6	6	8	10	18	9	10	10	12	12	20	15	10	20	16	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	4	1	2
17000	-120.576979364219412	-127.432467315178783	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.768900347522896	0	4	6	6	7	10	11	11	15	12	16	13	12	13	15	16	16	14	13	15	16	13	17	17	20	0	0	2	2	3	5	5	5	22	6	7	7	8	10	22	22	18	10	6	12	20	7	17	20	16	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
17500	-124.499314575053035	-131.354802526012406	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.702732748668194	0	4	6	6	8	9	10	11	15	11	13	12	12	13	15	17	13	13	15	15	17	15	17	16	21	0	0	2	2	3	5	5	6	18	6	7	7	8	10	7	15	10	10	11	12	7	10	17	12	16	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	3	3	2	2	2
18000	-117.003972236337574	-123.859460187296946	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.755595035310012	0	4	6	6	8	10	12	11	14	11	14	13	13	14	17	15	16	13	15	15	17	15	18	16	19	0	0	2	2	3	5	6	5	7	5	5	6	8	10	22	9	18	10	11	12	20	18	17	12	16	1	1	1	1	2	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	2	2
18500	-121.398784355655664	-128.254272306615036	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.860918470685371	0	4	6	6	8	9	11	12	13	11	14	12	13	14	17	16	15	14	15	16	16	17	16	18	19	0	0	2	2	3	5	6	5	7	6	12	5	8	10	10	9	18	10	11	12	11	7	17	21	22	1	1	1	1	1	1	1	2	1	1	2	2	1	2	3	1	1	1	1	2	1	2	1	1	1
19000	-118.549026610065425	-125.404514561024797	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.863049141288885	-2	4	6	6	8	10	11	11	14	12	15	13	12	14	17	17	15	13	14	15	17	15	18	16	19	0	0	2	2	3	5	5	6	5	6	12	7	8	7	9	9	18	10	7	12	12	6	17	12	16	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1
19500	-137.408725600368143	-144.264213551327515	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.494781668413388	-1	4	5	6	7	9	11	11	14	11	16	13	13	14	13	16	15	13	14	16	18	16	17	17	20	0	0	2	2	3	5	5	5	7	6	19	7	7	7	6	15	7	10	7	12	12	3	15	12	16	1	1	1	1	1	1	3	3	2	1	1	1	1	2	3	2	1	1	2	1	2	7	2	2	1
20000	-136.042825800026208	-142.898313750985579	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671930710463951	1	3	5	6	7	9	11	11	14	10	16	13	12	14	16	17	15	14	14	15	16	13	17	18	20	0	0	2	2	3	5	5	6	10	5	19	6	6	10	9	22	5	22	7	12	17	7	18	20	17	1	1	1	1	1	2	2	1	2	1	1	2	2	2	1	2	4	1	1	1	1	1	1	2	2
20500	-135.719838148037326	-142.575326098996698	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613465917658262	1	4	6	6	7	9	12	10	13	10	13	12	12	14	14	17	16	13	15	15	18	17	18	17	20	0	0	2	2	3	5	10	5	7	5	12	6	8	10	18	9	10	5	11	12	12	6	17	20	17	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	2	3	2	2	2	3	1	1	2
21000	-121.048233035255180	-127.903720986214552	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.739683512542902	1	3	5	6	7	9	12	10	12	11	16	13	12	13	16	15	16	14	15	15	17	14	18	16	20	0	0	2	3	3	5	5	6	6	6	19	10	8	10	22	7	10	7	10	12	20	7	17	12	16	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2
21500	-121.253995541573914	-128.109483492533286	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.882834791961656	0	4	5	6	7	9	11	11	13	11	14	12	13	14	16	16	15	15	14	15	17	17	17	17	21	0	0	2	2	3	5	5	6	7	6	12	7	8	10	9	18	6	10	12	12	15	15	17	12	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	2	1	1	1	2	2
22000	-133.031745539102815	-139.887233490062187	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615169710152289	1	2	5	6	7	9	11	10	14	11	15	13	12	14	16	17	15	13	14	16	17	16	18	17	20	0	0	2	2	3	5	6	5	7	3	12	10	8	18	18	15	10	10	5	12	12	10	17	12	9	1	1	2	2	2	1	1	1	2	3	1	1	2	1	1	1	2	1	3	2	2	2	2	2	2
22500	-112.651503968338929	-119.506991919298301	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.763132666067751	0	4	5	5	7	9	11	11	13	12	14	12	13	15	17	17	15	14	14	15	17	15	17	18	20	0	0	2	2	3	5	5	6	7	6	12	5	8	18	22	9	7	10	12	12	12	10	17	20	16	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	1	1
23000	-131.517104405865354	-138.372592356824725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649262837857391	0	5	6	7	8	9	11	10	13	11	16	13	12	14	16	17	14	14	13	15	16	16	16	16	21	0	0	2	2	3	5	6	6	5	5	17	7	8	10	9	15	7	10	7	12	12	17	18	9	16	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	2
23500	-135.609454704069776	-142.464942655029148	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.813813605050982	0	4	6	6	7	10	11	12	13	12	13	12	10	15	16	16	13	15	14	15	17	15	18	17	20	0	0	2	2	3	5	5	13	5	7	7	5	5	10	22	9	10	10	11	12	12	10	18	20	22	1	1	1	1	1	2	2	1	2	1	1	2	2	2	1	2	1	2	1	1	2	1	1	1	2
24000	-129.761768131406342	-136.617256082365714	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.714208503168344	0	5	6	7	8	9	11	11	14	12	16	12	13	13	17	16	15	14	14	15	15	16	17	17	19	0	0	2	2	3	5	3	5	6	7	21	7	8	10	22	9	10	7	12	7	12	7	17	12	16	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	2	2	3	1	1	1
24500	-121.682254935555846	-128.537742886515218	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.755666226710928	0	4	6	6	8	9	11	11	13	11	16	13	12	14	17	17	15	13	14	16	18	15	18	18	20	0	0	2	2	3	5	6	5	5	6	19	6	8	18	22	9	10	10	9	12	12	7	17	20	9	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	4
25000	-114.942623738406496	-121.798111689365868	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.850760311191029	1	5	6	7	7	9	12	11	14	11	15	13	13	13	16	15	14	13	14	15	17	17	18	17	20	0	0	2	2	3	5	5	6	7	6	12	7	8	10	18	9	7	10	7	12	20	18	17	20	9	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	4
