step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
15500	-160.705806528496765	-159.045233484854947	-1.660573043641824	0.000097938348474	0.000021200196757	0.216464715688349	0.667803045822577	0	1	2	3	3	4	3	4	3	5	6	5	6	6	9	9	8	11	10	13	9	12	14	14	16	18	16	15	19	20	22	0	0	2	1	2	3	2	3	3	1	4	8	8	12	12	13	9	15	13	17	12	16	6	0	24	24	24	24	27	25	30	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	2	2	4	1	2	2	1	1	1	2	1
16000	-153.227559799011743	-151.360166980041555	-1.867392818970190	0.000104163555702	0.000016865803724	0.161916551428777	0.700132396044358	0	1	2	2	3	5	3	4	3	6	6	5	6	7	9	8	9	11	10	11	10	12	14	15	16	16	17	17	19	18	22	0	0	2	1	2	2	2	3	3	4	1	8	8	12	6	8	13	21	13	6	12	16	20	0	24	24	24	26	27	25	30	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	2	1	1	3	2	2	2	1	1	1	1	1	1	1	2
16500	-158.727480743750931	-157.277924956246039	-1.449555787504902	0.000073005609514	0.000024568863942	0.336533919862594	0.751914589225526	0	1	3	4	2	4	3	5	4	4	6	6	7	7	9	8	10	12	11	13	11	12	15	15	16	17	17	16	19	18	23	0	0	2	1	2	2	2	3	3	1	1	8	8	12	12	8	13	15	17	5	12	17	20	0	24	24	24	24	27	25	30	1	1	1	2	1	1	1	1	1	2	3	1	1	1	1	1	2	2	1	4	1	1	1	1	1	1	1	1	1	1	2
17000	-175.253586498638640	-173.541638397949214	-1.711948100689415	0.000163715837176	0.000032725060175	0.199889398239568	0.796834211528657	1	1	3	3	3	5	3	4	4	5	5	6	6	7	8	8	10	12	11	13	11	11	14	15	17	17	17	17	19	20	22	0	0	2	1	2	3	2	2	2	1	1	8	8	8	7	13	2	15	13	21	15	16	20	0	24	24	24	24	27	25	30	1	1	2	1	1	1	1	1	1	2	2	1	2	2	3	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1
17500	-151.380532137161367	-149.821067546922592	-1.559464590238776	0.000098234292487	0.000025457065665	0.259146424542418	0.830793136005988	1	1	2	4	3	4	3	4	4	5	5	5	5	7	7	8	8	11	9	11	10	12	14	14	17	16	16	16	19	19	23	0	0	2	1	2	2	2	3	3	4	4	8	6	12	12	8	13	15	17	6	12	16	20	0	26	24	24	24	27	25	30	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	3	2	1	2	1	1	1	1	1	1	1	2
18000	-166.054804246313353	-164.546463970141730	-1.508340276171614	0.000080567056097	0.000023281224020	0.288967043701495	0.624147083269049	0	1	2	3	4	4	2	4	4	5	5	5	7	8	8	8	9	12	11	13	10	11	13	14	16	17	16	17	20	18	21	0	0	2	1	7	2	2	3	3	1	1	8	8	12	13	8	2	15	21	6	14	8	6	0	24	24	24	24	27	25	30	1	1	1	2	1	2	1	1	1	2	2	1	2	1	1	2	4	2	1	4	1	3	3	1	1	2	1	2	2	1	1
18500	-164.130349626394548	-162.567613996097208	-1.562735630297340	0.000095730917195	0.000024648562733	0.257477557467469	0.541369209474176	0	0	2	3	3	5	3	4	3	4	5	5	6	6	8	7	8	11	10	13	12	11	13	15	17	17	17	16	20	19	22	0	0	2	1	2	2	2	3	3	1	1	5	3	12	14	13	8	15	3	6	15	16	6	0	24	24	24	24	27	25	30	1	1	1	2	2	2	1	1	1	2	3	1	2	1	1	1	2	1	3	4	1	2	5	1	1	1	1	1	2	1	2
19000	-166.447085864433461	-164.789528448993849	-1.657557415439619	0.000104318679052	0.000022691798816	0.217523831998833	0.672171765657761	1	1	2	3	4	4	2	4	4	5	5	5	6	7	8	7	8	12	10	13	12	12	13	15	17	16	16	17	20	19	21	0	0	2	1	7	2	2	3	3	1	4	6	8	12	12	6	8	15	13	6	13	16	13	0	24	24	24	24	27	25	25	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	4	3	2	2	1	1	1	1	1	2	1	2
19500	-149.271445850335851	-147.450909672307176	-1.820536178028672	0.000101117816814	0.000017378158361	0.171860498069558	0.770992272380075	0	1	3	3	4	5	3	4	4	5	6	5	6	7	8	8	8	10	11	13	10	12	15	15	17	18	16	16	18	20	22	0	0	2	1	7	2	2	3	3	1	4	8	8	12	12	13	8	15	17	21	9	16	20	0	24	28	24	24	25	25	30	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	3	2	1	1	1	1	1	1	1	1	1
20000	-160.200714725448393	-158.548690423690005	-1.652024301758389	0.000083695569924	0.000018370747587	0.219494862194926	0.712457868643744	0	1	2	3	4	5	3	4	3	5	6	6	7	8	8	8	9	11	9	13	11	11	15	15	17	18	16	17	19	19	22	0	0	2	1	7	2	2	3	3	1	1	6	8	12	12	8	13	15	14	6	12	17	20	0	24	24	24	24	27	25	29	1	1	1	1	1	2	1	1	1	2	3	1	1	2	1	2	1	2	1	3	3	1	1	1	1	1	1	2	2	1	2
