step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
16500	-174.574099629820438	-181.429587580779810	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.555341596067496	3	1	9	13	12	15	15	17	16	17	17	18	18	20	19	20	18	21	20	21	21	21	23	22	23	25	2	0	2	3	3	4	4	7	4	4	9	6	10	8	7	13	3	15	10	10	15	8	12	16	18	17	1	1	3	2	2	2	1	2	1	2	1	1	1	2	2	1	4	1	1	2	1	1	4	2	1	4
17000	-185.410050212031933	-192.265538162991305	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590770896999159	2	0	11	12	14	15	15	17	15	17	17	19	20	21	19	19	19	20	19	22	19	21	21	21	24	24	2	0	2	3	4	3	3	7	4	5	7	6	5	11	7	10	3	15	10	16	7	7	12	13	18	14	1	1	4	1	1	3	2	1	2	3	1	2	3	2	3	1	3	1	1	2	2	2	1	1	2	1
17500	-175.358874146227436	-182.214362097186807	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.405906442438418	3	1	11	13	14	15	14	16	16	17	17	18	19	20	19	19	21	21	22	21	21	21	23	22	23	24	2	0	2	3	4	3	4	7	7	5	6	6	5	7	7	10	14	3	20	5	7	8	12	13	8	25	1	1	6	1	1	2	1	1	1	1	1	2	3	3	2	1	1	5	1	3	3	3	3	2	3	1
18000	-178.528520169072266	-185.384008120031638	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.589055087604802	1	-1	11	12	14	14	15	17	17	17	17	18	20	20	19	19	20	21	21	21	21	22	22	22	24	23	2	0	2	3	3	4	5	7	4	5	5	3	10	7	8	3	8	7	16	16	14	14	8	13	14	12	1	1	4	1	2	1	1	1	3	2	1	3	1	2	2	4	1	3	1	1	1	1	3	1	1	3
18500	-184.592652859286915	-191.448140810246286	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.486842827795862	2	1	11	12	15	14	15	14	16	17	16	18	20	18	19	18	19	21	21	20	22	21	22	22	23	25	2	0	2	3	4	3	8	4	3	5	6	3	5	7	9	5	9	17	3	10	3	15	9	13	18	14	1	1	3	1	1	2	1	1	2	2	1	4	3	2	2	2	2	1	5	1	6	1	3	1	2	3
19000	-179.445760609097135	-186.301248560056507	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569438245970663	2	1	11	12	14	14	15	16	15	16	17	17	20	19	19	19	21	21	21	22	21	19	22	22	22	24	2	0	2	3	3	3	3	7	4	5	6	3	16	8	8	5	15	15	10	19	14	7	11	16	3	23	1	1	5	1	2	2	3	1	1	1	2	4	1	2	2	3	1	1	3	1	1	3	3	2	4	2
19500	-165.920538848466776	-172.776026799426148	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.507917307648848	2	1	11	12	13	14	15	16	16	15	17	19	19	20	19	18	21	21	21	21	20	21	23	22	23	24	2	0	2	3	3	4	3	7	6	5	3	11	16	4	8	4	15	15	10	10	7	14	14	13	18	11	1	1	5	1	1	1	2	1	1	1	3	1	1	4	2	3	1	1	3	3	2	1	1	1	1	3
20000	-175.417890744526147	-182.273378695485519	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458441001150915	2	1	11	12	14	14	16	15	16	16	17	18	19	20	19	19	19	20	21	20	21	22	21	22	23	24	2	0	2	3	3	4	8	3	4	5	6	8	10	7	8	10	8	7	16	5	3	15	14	13	5	11	1	1	5	1	2	2	1	2	2	1	1	2	2	2	2	2	2	2	1	3	4	2	1	2	4	4
20500	-187.129485364028568	-193.984973314987940	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.521431478833661	2	0	11	13	14	13	14	16	16	17	16	18	19	21	19	20	19	22	18	21	21	21	21	22	20	24	2	0	2	3	3	3	4	7	5	5	4	6	10	15	7	13	3	25	5	19	15	8	12	13	15	11	1	1	5	1	1	1	1	1	1	2	3	1	1	1	3	1	3	2	2	1	2	2	2	1	1	5
21000	-174.813674979429891	-181.669162930389263	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515793103548941	3	1	12	13	14	15	15	17	16	17	17	19	19	19	19	18	21	21	21	20	21	22	22	21	23	24	2	0	2	3	3	4	4	7	4	5	6	11	16	7	7	5	14	7	10	16	14	7	3	16	15	22	1	1	8	1	1	1	1	2	1	1	1	1	1	2	2	2	1	3	2	1	1	4	4	2	1	1
21500	-181.168703931228862	-188.024191882188234	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500091184722920	3	0	11	12	14	14	14	16	15	16	16	15	19	20	19	19	18	20	21	19	20	21	20	22	23	24	2	0	2	3	3	3	4	7	3	5	3	3	5	8	7	3	11	8	20	10	3	8	7	13	21	11	1	1	5	1	1	2	1	1	2	1	3	2	3	2	2	4	1	2	1	1	4	2	2	2	1	3
