step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
24000	-168.393739126007858	-166.618196046210812	-1.775543079797049	0.000188875211232	0.000034473087270	0.182517795985256	0.381154119405986	0	7	5	8	7	8	9	9	11	10	12	14	12	13	12	14	13	12	15	16	20	0	1	0	1	1	3	5	5	4	3	2	13	5	3	7	6	4	9	11	18	14	1	4	1	4	3	3	1	1	2	3	3	1	2	4	2	3	2	1	1	3	5
24500	-154.533606634959114	-153.077723209107290	-1.455883425851819	0.000178042759371	0.000058821895804	0.330380724335740	0.633343042299443	1	6	5	7	7	7	10	10	12	8	13	14	12	13	14	12	11	11	14	15	21	0	1	0	1	2	3	2	2	2	3	7	7	8	16	5	6	4	4	13	15	14	1	2	1	2	1	1	2	2	2	1	2	2	1	1	3	1	2	2	1	1	4
25000	-149.811960054629708	-148.206319085884871	-1.605640968744833	0.000243097584941	0.000057760450357	0.237601909418843	0.293579267816905	0	6	6	7	8	7	8	11	11	11	13	13	12	12	13	14	12	12	15	17	19	0	1	0	2	2	3	2	2	2	3	9	13	2	3	7	3	4	7	2	18	10	1	3	1	1	1	1	1	2	3	2	1	1	2	3	3	4	2	2	5	3	3
25500	-139.797149929103682	-138.329481172638964	-1.467668756464715	0.000183870948246	0.000058787189588	0.319719836920059	0.542877577308446	0	6	5	7	7	7	10	11	8	11	14	13	13	13	13	12	13	12	15	17	18	0	1	0	2	2	3	5	4	2	6	15	2	8	10	7	6	4	5	17	15	14	1	3	1	1	1	1	2	2	1	1	1	3	1	1	2	2	3	3	1	2	2
26000	-145.078118565035425	-143.653693468508351	-1.424425096527084	0.000115091301069	0.000041990204529	0.364842556637981	0.579491653396570	0	6	6	7	8	7	9	10	10	11	13	12	12	11	13	12	12	12	14	15	20	0	1	0	2	2	3	5	4	2	3	7	2	4	3	7	6	8	7	13	18	14	1	4	1	1	1	1	1	1	2	2	2	3	1	2	3	1	1	2	1	2	4
26500	-157.731171337904641	-156.290785412585905	-1.440385925318739	0.000298621216055	0.000103344919964	0.346073602300887	0.589537812231492	0	6	5	6	7	6	9	10	11	11	13	14	10	12	13	10	11	12	15	16	20	0	1	0	1	1	3	2	2	8	6	13	8	2	16	7	6	4	8	13	12	14	1	3	1	2	3	1	1	2	1	1	2	2	2	1	2	2	2	1	3	1	4
27000	-152.529353747889445	-151.084924344019754	-1.444429403869687	0.000161404955800	0.000055163331475	0.341769750513239	0.607439379248635	1	6	6	7	8	7	9	8	11	11	13	14	11	11	14	14	13	11	14	16	20	0	1	0	2	2	3	5	4	1	3	9	7	4	3	7	3	4	7	8	15	14	1	3	1	1	1	1	1	1	5	3	1	2	2	3	2	4	4	1	3	1	6
27500	-158.238761076965432	-156.748106517077616	-1.490654559887819	0.000167343662912	0.000050431070444	0.301362295808273	0.632779386187094	0	6	6	7	7	7	10	10	11	11	14	11	12	12	13	12	12	12	13	17	19	0	1	0	2	1	3	2	4	1	6	7	5	8	6	5	6	8	9	9	15	10	1	2	1	1	2	1	1	2	5	1	2	2	1	3	2	2	1	1	1	3	3
28000	-138.639738645889111	-137.154033845072661	-1.485704800816447	0.000235223854573	0.000071762059968	0.305079857219287	0.764353115565477	1	6	4	8	7	8	10	10	10	12	12	13	13	12	14	14	13	13	15	16	20	0	1	0	2	2	3	5	2	2	3	2	7	11	6	11	14	8	11	13	18	10	1	2	1	1	1	2	1	1	2	3	3	2	1	2	1	1	1	1	1	1	4
28500	-156.723703209319041	-155.260983996342020	-1.462719212977027	0.000189736061631	0.000061489530913	0.324079304610688	0.436776785245697	1	7	6	7	7	7	10	11	11	11	13	11	12	12	13	12	11	13	15	14	21	0	1	0	1	1	3	4	5	5	3	4	2	4	10	7	10	2	7	8	5	14	1	3	1	4	2	1	1	2	2	2	3	3	3	1	2	1	2	2	2	2	4
