step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32
15000	-201.986383399687980	-199.329072049468095	-2.657311350219877	0.000198491324025	0.000015110836543	0.076128448519316	0.461085776197517	1	4	5	9	9	6	8	10	10	8	9	11	12	11	11	10	11	10	11	12	14	14	12	14	14	15	19	18	17	20	21	27	0	1	2	7	2	1	6	7	5	2	2	11	11	6	10	5	11	6	5	11	4	13	10	18	23	25	24	29	21	25	20	31	1	2	1	1	2	3	1	1	1	2	3	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	1	2	3	5	3
15500	-200.618505705125131	-197.566486070047887	-3.052019635077237	0.000177758370232	0.000010165715493	0.057188392758075	0.715806661482246	3	4	6	9	7	7	9	9	10	8	9	10	11	10	12	10	10	11	11	11	13	15	13	14	13	16	19	18	18	20	19	26	0	1	1	6	2	1	3	5	6	5	10	10	3	7	7	11	7	6	7	6	19	13	13	18	13	23	29	20	16	26	28	28	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	1	1	3	1	2	1	2	1	1	1	1	1	4	4	2	1	5
16000	-200.835942289242467	-198.218260555396995	-2.617681733845482	0.000198155200734	0.000015560245604	0.078525547381939	0.508526423347541	2	4	7	8	8	5	8	7	9	6	10	10	12	10	10	9	11	11	12	13	13	15	13	13	15	17	19	17	19	19	21	27	0	1	6	3	6	1	3	6	5	1	2	5	11	2	10	2	16	16	10	4	14	23	13	18	23	25	24	20	28	13	28	31	1	1	1	1	2	2	1	1	1	2	3	1	1	3	2	2	2	1	2	3	2	1	1	1	1	1	3	2	1	4	2	4
16500	-223.030850834211606	-220.831145385310151	-2.199705448901451	0.000308563404387	0.000034824775034	0.112861002112762	0.684912051025448	3	4	6	8	8	6	9	8	9	7	10	10	12	10	11	10	11	10	11	13	14	16	14	14	14	16	18	18	18	17	21	26	0	1	2	10	2	1	10	10	6	2	5	4	17	10	5	9	18	10	6	5	20	25	12	18	13	11	18	7	16	25	28	31	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	2	1	5	3	4	3	1	2	2
17000	-218.984722099903877	-216.224338024225574	-2.760384075678298	0.000203536225824	0.000014325320473	0.070382166199298	0.563815767326120	2	4	6	9	7	6	7	8	9	8	10	10	12	9	12	11	11	9	12	12	12	15	13	14	14	16	19	18	18	20	22	26	0	1	1	2	3	2	6	1	10	6	6	10	8	10	11	14	8	3	11	4	1	23	13	18	4	25	24	9	25	13	21	31	1	1	2	3	1	1	1	3	1	1	2	1	3	1	1	1	2	2	1	2	4	1	1	1	1	1	4	4	2	6	4	2
17500	-196.547143615250150	-193.991105624027938	-2.556037991222207	0.000246470268107	0.000020330491135	0.082486586683526	0.696921726584196	2	3	6	6	8	6	9	9	9	7	9	10	12	11	12	10	10	12	11	12	14	15	13	14	14	15	19	18	18	20	21	26	0	1	1	1	4	2	10	10	4	3	10	10	17	11	7	11	7	5	8	9	20	23	13	18	13	25	18	20	21	25	28	20	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	3	2	3	3	2	6
18000	-185.939306785116912	-182.628863604203787	-3.310443180913115	0.000269011701424	0.000012986999838	0.048276709782116	0.589445995850229	2	3	6	9	7	5	8	9	9	8	9	10	12	7	10	11	11	10	11	12	14	15	13	14	15	16	19	18	19	19	21	26	0	1	2	5	1	2	3	10	7	3	5	10	19	6	5	11	5	5	6	9	19	23	13	18	23	23	18	20	21	25	28	31	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	4	3	2	2	1	3
18500	-203.243978952443058	-200.916282994550073	-2.327695957892982	0.000202424818665	0.000020280032988	0.100185506507316	0.495338814726593	2	4	6	9	8	5	7	10	10	9	9	10	12	11	12	11	11	11	11	12	13	14	13	15	14	16	18	18	18	18	21	26	0	1	1	2	3	1	6	10	10	5	7	2	4	10	6	11	11	4	4	12	4	13	4	18	12	22	18	20	21	22	28	28	1	1	2	2	1	2	1	1	1	1	2	4	1	1	3	1	1	1	1	2	2	2	3	2	3	1	3	4	2	2	1	5
19000	-211.685049362133583	-208.895265904402976	-2.789783457730607	0.000253409993156	0.000017450042993	0.068860911029288	0.683082961128107	3	4	7	8	8	6	7	10	10	8	10	10	9	10	11	10	10	12	12	12	12	13	14	14	14	16	19	18	17	19	21	26	0	1	1	7	2	2	1	5	10	7	10	5	7	10	4	4	3	10	6	9	3	13	20	18	13	23	24	21	9	23	20	28	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	3	3	2	2	5	3
19500	-246.357602352651298	-243.453735594149890	-2.903866758501407	0.000295614432235	0.000018739892134	0.063393021755227	0.391553714882283	3	4	6	8	8	7	8	9	10	9	7	10	12	11	12	10	11	11	9	13	14	15	13	14	14	17	18	16	19	20	21	26	0	1	1	1	2	1	11	11	10	5	2	5	4	8	11	11	5	5	4	4	16	15	16	3	4	13	4	8	7	25	10	21	1	1	2	3	2	2	1	1	1	1	1	1	2	2	2	2	1	2	1	3	3	2	1	2	2	3	4	4	6	2	4	7
20000	-224.430625243520495	-221.936981515853006	-2.493643727667500	0.000268285077021	0.000023290643049	0.086813039724345	0.493836808037027	2	4	5	8	9	6	8	6	10	9	9	10	9	10	12	11	10	11	11	13	14	16	13	14	15	16	20	18	18	19	21	26	0	1	2	6	6	3	3	3	13	7	6	10	4	11	6	11	8	12	10	15	10	13	13	18	1	13	18	25	25	26	20	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	3	2	2	6	3	3	2	1	1	4	6
20500	-205.283094293079841	-202.309219849760240	-2.973874443319597	0.000243632776580	0.000014702226897	0.060345849615296	0.496963355421664	2	4	7	9	8	6	9	10	9	7	9	11	11	11	11	10	10	12	11	12	14	15	13	14	12	16	19	18	17	20	20	26	0	1	2	10	6	2	3	3	3	6	10	5	3	1	3	11	1	14	10	10	4	13	25	18	13	25	24	15	10	22	28	28	1	1	1	1	1	1	1	1	1	1	1	1	2	5	2	1	4	1	2	4	2	2	1	1	1	2	2	4	4	1	1	4
21000	-214.355709983793673	-211.035401759352595	-3.320308224441080	0.000225281510886	0.000010808229171	0.047976547777960	0.805974497769902	2	3	7	9	6	7	8	9	9	6	10	9	12	10	13	10	8	12	9	13	15	14	13	15	15	16	19	19	18	16	21	24	0	1	5	10	2	10	3	10	10	1	7	6	17	8	8	9	2	16	6	16	14	13	13	18	23	25	24	21	11	23	28	28	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	3	1	1	1	1	1	2	3	3	2	1	3
21500	-228.043808147803929	-224.825870642756797	-3.217937505047145	0.000236401017679	0.000012109540252	0.051224569043984	0.517353047047737	2	4	6	9	7	6	6	9	8	7	7	9	11	11	12	11	10	10	11	12	12	16	14	14	13	17	19	18	17	20	21	26	0	1	1	10	7	1	2	10	5	2	6	9	6	4	9	11	6	6	11	19	4	21	2	18	13	13	28	20	19	25	20	31	1	1	2	1	1	2	1	1	1	1	1	1	3	1	2	1	1	2	3	1	2	1	4	3	1	3	1	3	2	2	5	3
22000	-217.556440925827246	-215.572327132758375	-1.984113793068869	0.000222517109075	0.000031402387903	0.141123476005900	0.590960811439726	2	4	6	7	8	5	8	9	10	9	8	9	11	10	10	10	11	12	10	13	13	15	13	15	15	17	19	19	18	19	21	26	0	1	1	2	2	1	1	1	12	5	2	5	11	11	6	4	8	8	3	10	10	3	13	18	23	25	29	29	10	23	20	31	1	1	3	1	2	2	3	4	1	1	2	1	2	2	3	1	1	2	2	2	2	4	1	2	1	1	1	1	2	2	3	3
