step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
24500	-245.135236373314399	-243.210241259678412	-1.924995113635982	0.000280439235498	0.000042354446318	0.151028960847677	0.254167048571380	0	11	14	14	15	15	17	15	17	17	18	19	21	20	22	20	27	27	30	28	36	43	46	0	1	1	1	1	4	3	1	2	8	7	6	11	10	5	8	4	8	5	3	5	3	2	1	6	6	6	6	1	2	7	3	1	1	2	3	2	3	2	7	6	8	9	10	13	19
25000	-221.739194096073646	-219.993289074416879	-1.745905021656780	0.000192847278387	0.000036687060904	0.190238935240647	0.243590785688497	1	13	13	14	16	15	15	16	16	16	17	18	20	20	20	20	27	29	29	30	35	42	44	0	1	1	1	1	4	2	1	3	2	7	6	7	10	6	8	8	2	8	8	4	19	8	1	5	7	9	8	1	1	8	2	2	2	2	3	2	2	2	5	9	6	8	10	8	14
25500	-232.346232533080496	-230.712640846903184	-1.633591686177321	0.000208548391899	0.000047201714310	0.226334587765166	0.194360878557805	1	13	13	14	16	16	17	16	16	16	17	20	21	20	19	19	25	30	28	30	35	44	46	0	1	1	1	1	2	4	1	4	4	3	6	10	10	2	2	14	2	2	5	17	20	5	1	8	6	5	8	2	3	6	1	2	3	2	2	3	3	3	3	9	7	7	5	5	16
26000	-237.383711343739577	-235.603184788552170	-1.780526555187413	0.000166669207405	0.000030213350793	0.181277341287516	0.099124038135347	0	13	13	13	15	15	18	17	16	17	18	19	21	20	21	20	27	30	30	30	35	44	45	0	1	1	1	1	4	4	1	2	3	10	4	11	10	6	8	4	3	4	5	4	17	17	1	7	6	9	8	1	3	11	1	2	1	5	2	2	4	1	7	9	7	8	9	6	8
26500	-248.982112087706469	-247.533599899129513	-1.448512188576969	0.000209651675202	0.000070774379257	0.337580795331204	0.174364593401539	0	13	13	13	16	15	18	13	16	15	15	20	21	20	21	20	28	30	30	30	35	43	45	0	1	1	1	1	8	11	1	4	3	3	6	2	10	6	4	3	14	2	3	2	18	19	1	5	5	4	7	1	2	7	1	2	1	3	4	3	4	5	8	6	8	11	13	9	8
27000	-240.141558787419996	-238.402643204238586	-1.738915583181402	0.000272262239257	0.000052315486001	0.192151089859384	0.213919856345353	1	12	14	13	15	14	18	15	16	16	17	20	22	21	22	20	27	29	29	30	36	43	46	0	1	1	1	1	4	11	1	8	8	10	6	7	10	8	5	3	5	2	3	2	2	5	1	6	8	6	8	1	1	6	1	1	1	3	2	1	4	3	10	7	7	7	14	14	13
27500	-239.734407782610447	-238.171140062350105	-1.563267720260343	0.000212852127365	0.000054747351410	0.257208382586760	0.177456077625782	-1	14	14	13	15	16	17	17	16	14	17	17	19	21	21	20	27	30	30	30	35	43	45	0	1	1	1	1	2	10	1	10	4	10	6	3	10	3	5	14	14	4	3	4	2	3	1	6	7	6	9	2	2	8	1	1	2	1	3	4	5	4	3	5	9	9	10	17	15
28000	-238.456113894770453	-236.943635938038199	-1.512477956732250	0.000206070362694	0.000058987086986	0.286247309972386	0.204945167252493	1	13	12	14	14	16	17	14	16	17	18	20	20	19	21	21	27	31	30	30	35	43	45	0	1	1	1	1	4	2	1	4	3	4	6	14	10	6	8	2	5	10	5	5	4	5	1	6	4	6	6	1	2	9	1	2	1	3	1	2	2	4	5	8	6	7	11	10	14
28500	-235.363842986546871	-233.631019362403691	-1.732823624143173	0.000230592926715	0.000044699989291	0.193848050447569	0.160954134120685	0	14	13	14	15	15	17	15	17	16	18	19	21	19	22	21	27	29	29	31	35	43	46	0	1	1	1	1	3	5	1	10	3	4	6	4	10	6	8	4	14	3	4	3	8	5	1	10	6	7	6	1	2	9	1	2	2	2	3	1	4	3	8	5	8	8	8	14	16
29000	-238.400936731993284	-236.583741891684895	-1.817194840308391	0.000220714796281	0.000038098045878	0.172612106302856	0.193741074255775	1	13	13	13	16	15	17	17	16	17	16	19	21	20	21	22	27	30	30	31	36	43	44	0	1	1	1	1	2	2	1	2	4	2	6	7	10	6	8	4	5	4	5	10	8	8	1	6	6	5	6	1	2	7	2	1	2	3	2	1	2	2	7	6	9	9	8	15	16
29500	-228.904477759364738	-227.243668662153397	-1.660809097211348	0.000211334919632	0.000045729126290	0.216382254148122	0.227658712193467	0	13	13	14	15	16	16	14	17	16	18	19	21	21	22	22	27	30	29	30	34	41	44	0	1	1	1	1	2	8	1	8	3	7	6	7	8	6	5	4	8	3	8	5	5	5	1	8	6	7	8	1	1	6	1	1	1	2	2	5	3	4	5	11	7	9	11	11	13
