step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
19000	-192.329553063788893	-190.883459671009746	-1.446093392779140	0.000191918701466	0.000065260832659	0.340044154947785	0.378584042320845	0	4	7	5	6	9	7	7	8	9	7	11	12	12	12	11	13	12	16	17	17	15	17	25	0	1	2	2	2	2	4	5	8	8	4	3	2	11	8	4	14	0	16	18	16	18	12	13	1	2	2	1	1	3	1	1	1	1	1	2	5	4	2	4	1	1	2	2	4	3	2	9
19500	-188.582017308837521	-187.186195005281917	-1.395822303555592	0.000284863009116	0.000116610077133	0.409354929919119	0.488820549273126	1	3	7	5	8	8	7	6	7	9	8	10	12	12	11	11	12	14	15	16	17	17	16	24	0	1	4	2	8	8	4	4	8	9	8	3	15	5	11	12	10	0	13	18	3	18	19	19	1	2	1	1	2	1	1	1	1	1	2	2	1	2	1	1	2	1	2	2	3	2	1	5
20000	-172.886341557853513	-171.397327453835317	-1.489014104018193	0.000221518435743	0.000067027351039	0.302581366713285	0.545300342106443	0	4	7	5	7	9	8	8	7	10	9	9	12	13	13	12	13	14	17	16	16	16	16	25	0	1	4	1	4	3	5	9	2	8	7	3	2	11	7	3	8	0	17	18	16	18	13	4	1	2	1	2	2	1	1	1	1	1	1	1	4	2	2	2	3	1	3	1	2	1	2	11
20500	-194.656536211646852	-193.234954742838283	-1.421581468808568	0.000187897741037	0.000069247667746	0.368539117948029	0.408973974413324	1	4	7	6	7	9	8	8	7	9	10	10	13	12	11	12	12	14	16	17	15	16	17	21	0	1	2	2	2	5	2	4	2	5	9	3	7	11	4	3	9	0	15	18	16	18	13	2	1	1	1	2	2	1	2	1	2	1	2	2	3	1	2	3	2	1	2	2	1	1	2	5
21000	-179.869825072815161	-178.404397177626748	-1.465427895188424	0.000155958129923	0.000050167589529	0.321673448851080	0.547960415244973	0	5	8	4	6	7	8	8	8	10	9	10	11	12	11	12	13	13	15	16	15	16	17	23	0	1	6	1	4	4	2	5	5	9	2	3	11	11	9	3	10	0	13	18	16	18	21	11	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	2	1	1	2	1	1	2	1	8
21500	-190.908158244168646	-189.249950373271076	-1.658207870897557	0.000172524208102	0.000037488560571	0.217294494400657	0.687231421975512	1	4	7	4	8	8	7	8	7	10	9	9	12	13	12	13	14	13	17	17	15	15	16	23	0	1	4	1	7	3	4	9	4	9	2	4	7	11	10	3	13	0	10	18	16	18	6	20	1	2	1	2	1	1	2	1	2	1	2	3	2	2	2	2	1	1	3	3	1	1	3	3
22000	-190.192148838017403	-188.795150697401823	-1.396998140615570	0.000204173161048	0.000083120020022	0.407105515706248	0.391859540015178	1	2	7	5	8	8	8	5	7	9	9	10	11	13	13	11	13	14	16	16	17	17	13	24	0	1	2	1	8	2	2	2	8	5	3	3	5	11	13	2	10	0	5	18	6	18	12	7	1	1	3	2	1	3	3	1	1	1	1	2	1	2	2	4	2	1	3	1	6	1	1	9
22500	-180.264260931307348	-178.767410248403905	-1.496850682903435	0.000199242202574	0.000059148803859	0.296868851553442	0.457200239603618	1	3	8	6	6	8	6	5	7	8	8	11	12	13	12	13	14	13	16	16	16	16	16	25	0	1	7	1	8	4	8	2	5	5	2	3	3	11	5	4	15	0	15	18	3	18	4	13	1	2	2	3	1	1	1	1	1	1	3	2	3	2	3	4	1	1	2	2	4	1	5	7
23000	-195.166359973734984	-193.591647120380344	-1.574712853354651	0.000261505789091	0.000065786385131	0.251567605288982	0.477613715064992	0	5	8	5	8	9	6	7	7	9	9	9	13	12	11	11	13	12	15	15	15	16	16	24	0	1	2	1	7	4	4	1	7	5	8	1	7	11	5	6	10	0	8	18	16	18	15	13	1	3	2	2	1	2	1	4	1	1	2	4	2	2	2	1	2	1	3	1	2	2	2	6
23500	-171.863369032021325	-170.407285989539901	-1.456083042481424	0.000226672120292	0.000074845276654	0.330191805493507	0.431608453954597	1	3	6	5	7	9	7	8	7	8	9	11	12	12	11	13	13	14	16	17	15	17	17	25	0	1	4	2	2	8	1	4	2	3	5	3	5	11	10	12	9	0	5	18	16	18	21	19	1	1	1	1	2	1	4	2	1	1	1	3	3	2	2	1	2	1	6	1	2	1	1	6
