step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18
28000	-162.155225809660408	-160.466199093433460	-1.689026716226939	0.000181506846487	0.000037564903698	0.206961359445970	0.323051746980013	0	6	9	12	15	17	19	18	18	20	20	20	22	24	24	26	37	41	0	1	2	2	2	4	5	5	4	8	1	9	9	6	6	2	11	16	1	2	2	3	3	3	2	1	3	1	10	1	2	3	3	11	9	7
28500	-215.129805736599707	-213.654005488862623	-1.475800247737091	0.000301046736945	0.000094195232568	0.312892388482757	0.350150890431808	0	5	9	16	15	17	20	16	17	18	21	21	22	21	23	26	35	41	0	1	2	1	2	3	10	3	3	5	1	4	9	4	14	14	4	16	1	2	2	6	4	4	1	3	2	2	9	3	2	2	1	2	5	7
29000	-160.096013179054182	-158.552235452620039	-1.543777726434145	0.000280370773371	0.000075000971514	0.267506383108484	0.169073034932355	1	6	9	14	15	17	19	20	19	18	21	21	22	24	25	26	37	41	0	1	1	1	2	2	10	7	3	4	1	9	12	3	12	9	14	9	1	3	3	6	5	5	1	1	5	2	10	1	1	8	2	4	5	10
29500	-179.052501054136087	-177.542865291676321	-1.509635762459759	0.000237045813354	0.000068294956155	0.288108679029000	0.162271463262925	1	4	9	15	14	17	18	20	17	19	21	21	21	22	25	26	38	40	0	1	2	3	2	2	4	7	1	7	3	4	4	2	13	13	6	14	1	2	3	5	5	6	2	1	8	1	4	3	3	8	1	2	12	9
30000	-169.077345142630122	-167.338968760748998	-1.738376381881120	0.000470363140586	0.000090450895501	0.192300135143937	0.294699289479599	1	5	9	15	15	17	20	19	19	19	21	21	23	24	24	25	38	41	0	1	1	3	2	2	6	6	5	4	5	9	9	2	12	5	16	16	1	1	3	3	4	6	2	1	2	2	3	1	2	9	2	5	9	9
30500	-152.362546877746695	-150.597003677830742	-1.765543199915960	0.000224200076008	0.000041489490319	0.185055647874973	0.342902137800597	0	3	9	15	15	17	19	18	16	20	21	21	22	23	24	27	39	41	0	1	1	3	3	9	8	5	3	8	9	6	4	3	12	11	14	14	1	1	5	2	4	1	1	1	3	1	3	2	3	8	2	3	8	8
31000	-183.850602332462415	-182.212756738301181	-1.637845594161228	0.000427657153927	0.000096101934052	0.224717237089464	0.344106217400971	1	5	10	15	14	14	19	20	18	18	21	19	20	22	24	26	37	40	0	1	1	6	3	3	5	5	1	5	6	4	4	4	14	13	6	3	1	2	5	1	2	2	2	2	8	1	3	2	2	2	1	2	13	14
31500	-157.642553797565114	-155.726206780314072	-1.916347017251032	0.000290384339106	0.000044306785403	0.152579803508591	0.284785704280990	0	5	8	15	16	17	20	18	19	19	22	22	21	23	25	26	38	41	0	1	2	1	2	2	10	4	5	5	5	13	9	13	12	9	6	4	1	3	1	6	6	5	1	2	2	2	4	1	1	1	2	3	10	13
32000	-166.577282735044918	-164.938428868561090	-1.638853866483829	0.000184160540763	0.000041314096985	0.224337400475810	0.296215564415845	0	6	9	15	15	18	19	19	17	17	21	21	21	24	24	26	38	39	0	1	1	3	2	4	10	5	2	5	1	6	4	12	9	4	16	16	1	4	5	3	4	2	1	3	5	2	9	2	4	2	3	6	7	9
32500	-163.273245881625797	-161.594004776058682	-1.679241105567109	0.000191898453936	0.000040324343697	0.210133760174380	0.381689209168139	1	5	9	13	15	17	20	18	18	20	22	22	23	21	24	27	37	42	0	1	2	1	4	4	8	5	2	8	2	6	14	6	11	6	11	11	1	2	1	5	1	1	1	2	7	1	9	4	1	1	1	6	6	9
