step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
15500	-160.932279231467646	-166.871476450552876	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.775069926571418	0	1	2	2	4	3	4	6	6	6	7	7	6	7	7	9	9	11	7	8	9	10	12	11	11	13	14	14	0	0	1	1	2	3	4	6	6	6	13	9	6	13	9	12	7	12	0	13	12	14	21	0	8	21	24	25	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	2	3	2	1
16000	-162.843413813707144	-168.782611032792374	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.665198393594244	-1	0	1	3	2	3	6	5	4	7	5	6	7	6	7	10	9	11	8	9	9	11	12	11	12	12	14	14	0	0	1	3	2	3	4	6	6	6	6	9	8	6	8	12	4	21	0	14	12	14	21	0	20	21	24	20	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	1	2	1	2	1	1	2	2	1	2
16500	-147.726376378238683	-153.665573597323913	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.842628870712359	0	1	2	2	3	3	6	6	5	5	5	7	6	7	7	9	8	11	8	8	9	10	13	11	12	11	15	14	0	0	1	1	2	3	4	6	6	6	6	9	6	8	9	12	7	21	0	11	12	14	21	0	20	21	24	20	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2
17000	-167.111979369344766	-173.051176588429996	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.571770883255177	0	0	1	1	4	3	5	6	5	4	5	7	6	6	7	9	10	12	7	7	9	10	12	12	12	12	14	12	0	0	1	1	2	3	4	11	6	6	6	13	6	6	9	9	7	16	0	13	12	14	21	0	20	21	24	20	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	2	1	1	2	1	1	3
17500	-164.377532733020360	-170.316729952105590	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.624379314805183	0	1	2	2	3	3	6	7	5	7	5	7	7	6	7	9	9	11	8	8	10	9	13	11	12	13	13	12	0	0	1	1	2	3	4	14	6	6	6	9	6	6	6	12	4	12	0	15	12	15	21	0	20	21	24	20	1	1	1	1	1	1	2	1	1	2	1	1	2	2	3	1	3	2	1	1	2	1	1	1	2	2	1	3
18000	-166.966463616024896	-172.905660835110126	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.753942030002087	1	0	2	3	4	4	5	7	5	7	6	6	7	6	6	10	7	10	7	7	10	9	11	12	11	13	15	14	0	0	1	1	2	3	4	14	6	6	6	6	6	6	9	12	4	12	0	6	12	6	18	0	22	21	24	25	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	3	2	1	1	2	3	1	1	1	2	1	2
18500	-166.653028310296548	-172.592225529381778	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.892729410354877	-1	1	1	3	5	3	5	5	6	8	6	6	7	7	5	10	7	11	8	8	10	9	13	10	11	11	13	14	0	0	1	1	2	3	4	6	15	13	6	15	11	8	6	12	4	12	0	11	12	14	18	0	14	21	24	25	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2
19000	-174.420318151338165	-180.359515370423395	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.593704223556248	-1	1	2	1	4	3	5	6	5	8	5	6	7	7	6	10	9	11	7	7	10	11	12	10	12	13	13	13	0	0	1	1	2	3	4	6	6	6	6	9	6	6	9	12	7	13	0	6	12	14	21	0	20	21	24	20	1	1	1	1	2	1	2	3	1	2	1	1	3	2	1	2	2	1	1	2	2	2	1	1	3	1	2	3
19500	-166.109530869982308	-172.048728089067538	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.596589431565119	0	0	2	2	4	4	5	7	5	6	6	6	7	6	6	10	8	12	8	9	10	10	11	12	11	11	14	13	0	0	1	1	2	3	4	14	6	6	9	9	6	6	6	12	4	16	0	11	12	14	21	0	11	21	24	6	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	3	1	1	2	2	2	1	1	3	1	2	4
20000	-161.720498821908990	-167.659696040994220	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.831324741109096	0	0	1	2	3	3	5	5	5	6	7	6	8	6	6	10	9	11	7	8	7	9	11	11	12	12	13	14	0	0	1	1	2	3	4	6	6	6	10	9	10	8	9	12	7	12	0	11	12	14	21	0	20	21	24	20	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	1	2
20500	-171.652136691335073	-177.591333910420303	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.754976731411666	0	1	2	1	5	4	5	6	6	6	6	7	7	5	5	9	9	10	9	9	10	11	11	12	11	13	14	14	0	0	1	1	2	3	4	14	15	6	6	15	6	6	6	9	7	16	0	6	11	8	18	0	20	21	24	25	1	1	1	1	3	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	2	3	1	1	1	1	1	2
