step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
32500	-61.207312394710257	-68.062800345669629	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.960153014861704	0	2	3	4	3	2	6	6	5	7	8	7	7	8	9	10	0	1	6	6	6	1	9	5	0	8	8	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
33000	-56.867133588970049	-63.722621539929420	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.992145754563296	1	2	3	4	4	2	6	6	5	7	6	7	8	8	10	10	0	1	6	6	3	1	9	5	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33500	-87.416248066773093	-94.271736017732465	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.809013836673750	-2	0	2	3	3	1	5	7	4	7	7	7	7	9	9	10	0	1	6	6	2	1	9	6	0	5	3	9	7	12	12	14	1	1	1	1	1	1	1	4	1	1	2	1	1	1	2	1
34000	-76.027247245658273	-82.882735196617645	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746861489394528	-2	1	1	3	2	3	6	7	5	7	7	7	7	8	8	10	0	1	1	1	3	3	9	5	0	5	5	9	7	9	13	14	1	1	1	3	1	1	1	3	1	2	2	1	1	1	1	1
34500	-63.590518250159633	-70.446006201119005	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.928428558831279	0	2	2	4	3	4	6	5	5	8	6	7	7	7	10	9	0	1	1	3	3	3	9	5	0	5	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1
35000	-63.438471500704580	-70.293959451663952	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.776909935193341	0	1	2	3	4	4	6	7	5	7	7	7	8	9	10	10	0	1	1	3	3	3	9	5	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1
35500	-57.568957532426353	-64.424445483385725	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.954530831918289	0	1	2	3	4	3	6	6	5	7	7	7	7	7	9	9	0	1	1	3	6	3	9	5	0	8	5	9	7	9	12	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36000	-59.119659141354873	-65.975147092314245	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.930155789451514	0	1	2	3	4	1	6	6	5	8	7	8	8	7	10	9	0	1	6	3	3	1	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36500	-65.727474082187854	-72.582962033147226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.944034717226426	0	1	3	3	4	2	5	6	4	7	7	7	6	8	9	10	0	1	6	6	6	1	9	5	0	8	5	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
37000	-70.591144690845397	-77.446632641804769	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749386275389034	1	2	3	3	4	2	6	6	4	8	8	7	8	8	8	8	0	1	6	6	3	1	9	5	0	5	5	9	7	9	12	12	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1
37500	-59.745803041066424	-66.601290992025795	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.940120585234311	0	2	3	4	4	2	6	6	5	8	7	7	7	8	10	9	0	1	6	6	6	1	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
38000	-57.416066615348882	-64.271554566308254	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.999780935107438	1	2	3	4	4	2	6	6	5	8	7	7	8	7	9	8	0	1	6	6	3	1	9	5	0	8	8	9	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38500	-69.328936521887627	-76.184424472846999	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647750802278303	0	2	3	4	4	2	5	7	4	7	6	7	6	8	10	9	0	1	6	6	3	1	9	5	0	5	5	7	7	9	13	14	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
39000	-65.760795701517509	-72.616283652476881	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.812400389270751	0	2	3	4	4	2	6	7	5	8	6	7	8	8	9	9	0	1	6	6	6	1	9	5	0	11	5	9	7	9	13	14	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1
39500	-62.754249347357401	-69.609737298316773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.896678271980882	0	2	3	4	4	2	6	7	5	7	6	7	7	8	10	9	0	1	6	3	6	1	9	5	0	5	5	9	7	12	13	14	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1
